<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
06/03/2015,AALI,Astra Agro Lestari Tbk.,25200,25850,25200,25650,1745800
06/03/2015,ABBA,Mahaka Media Tbk.,50,51,50,51,79100
06/03/2015,ABDA,Asuransi Bina Dana Arta Tbk.,7425,7425,7425,7425,100
06/03/2015,ABMM,ABM Investama Tbk.,2690,2690,2690,2690,100
06/03/2015,ACES,Ace Hardware Indonesia Tbk.,670,690,665,680,50705000
06/03/2015,ACST,Acset Indonusa Tbk.,4900,4900,4700,4700,11000
06/03/2015,ADES,Akasha Wira International Tbk.,1405,1410,1385,1385,53100
06/03/2015,ADHI,Adhi Karya (Persero) Tbk.,2074,2108,2062,2087,29633179
06/03/2015,ADMF,Adira Dinamika Multi Finance Tbk.,5525,5625,5500,5525,11500
06/03/2015,ADMG,Polychem Indonesia Tbk,126,126,123,125,87100
06/03/2015,ADRO,Adaro Energy Tbk.,900,925,900,925,84589000
06/03/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,97,97,94,95,1014067
06/03/2015,AGRS,Bank Agris Tbk.,134,135,120,120,4900
06/03/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,189,189,180,188,52129
06/03/2015,AIMS,Akbar Indo Makmur Stimec Tbk,420,420,420,420,0
06/03/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,1840,1915,1840,1895,4123900
06/03/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
06/03/2015,AKPI,Argha Karya Prima Industry Tbk.,600,600,600,600,100
06/03/2015,AKRA,AKR Corporindo Tbk.,5550,5550,5350,5450,5031000
06/03/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
06/03/2015,ALDO,Alkindo Naratama Tbk.,735,735,735,735,139000
06/03/2015,ALKA,Alakasa Industrindo Tbk,925,925,925,925,300
06/03/2015,ALMI,Alumindo Light Metal Industry Tbk.,221,235,221,235,3700
06/03/2015,ALTO,Tri Banyan Tirta Tbk.,350,350,348,348,290000
06/03/2015,AMAG,Asuransi Multi Artha Guna Tbk.,372,375,366,366,1697200
06/03/2015,AMFG,Asahimas Flat Glass Tbk.,7300,7400,7250,7400,91700
06/03/2015,AMRT,Sumber Alfaria Trijaya Tbk.,550,570,520,555,1232400
06/03/2015,ANJT,Austindo Nusantara Jaya Tbk.,1200,1200,1200,1200,0
06/03/2015,ANTM,Aneka Tambang (Persero) Tbk.,651,655,634,638,19191375
