<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
01/07/2014,AALI,Astra Agro Lestari Tbk.,22025,22300,21100,21500,1136400
01/07/2014,ABBA,Mahaka Media Tbk.,101,101,95,101,1403600
01/07/2014,ABDA,Asuransi Bina Dana Arta Tbk.,4000,4000,4000,4000,2300
01/07/2014,ABMM,ABM Investama Tbk.,2950,2950,2900,2900,1500
01/07/2014,ACES,Ace Hardware Indonesia Tbk.,620,635,615,635,17217700
01/07/2014,ACST,Acset Indonusa Tbk.,1900,1900,1880,1880,85000
01/07/2014,ADES,Akasha Wira International Tbk.,1930,1930,1850,1850,469000
01/07/2014,ADHI,Adhi Karya (Persero) Tbk.,1247,1247,1213,1213,17910804
01/07/2014,ADMF,Adira Dinamika Multi Finance Tbk.,7950,8000,7950,8000,4500
01/07/2014,ADMG,Polychem Indonesia Tbk,220,220,210,212,232800
01/07/2014,ADRO,Adaro Energy Tbk.,930,945,870,880,161316000
01/07/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,120,120,112,112,70467
01/07/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,144,145,144,144,2965
01/07/2014,AIMS,Akbar Indo Makmur Stimec Tbk,1150,1170,1100,1100,1900
01/07/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,1455,1525,1455,1525,9754500
01/07/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
01/07/2014,AKPI,Argha Karya Prima Industry Tbk.,810,810,810,810,0
01/07/2014,AKRA,AKR Corporindo Tbk.,4430,4430,4375,4420,8312900
01/07/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
01/07/2014,ALDO,Alkindo Naratama Tbk.,655,665,645,645,5622600
01/07/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
01/07/2014,ALMI,Alumindo Light Metal Industry Tbk.,300,300,300,300,0
01/07/2014,ALTO,Tri Banyan Tirta Tbk.,550,550,545,545,5051400
01/07/2014,AMAG,Asuransi Multi Artha Guna Tbk.,195,199,195,195,31800
