<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
11/25/2014,AALI,Astra Agro Lestari Tbk.,24700,24950,24025,24025,2492000
11/25/2014,ABBA,Mahaka Media Tbk.,68,69,64,64,593200
11/25/2014,ABDA,Asuransi Bina Dana Arta Tbk.,6050,6050,6050,6050,1000
11/25/2014,ABMM,ABM Investama Tbk.,2750,2750,2750,2750,0
11/25/2014,ACES,Ace Hardware Indonesia Tbk.,815,815,795,800,12518100
11/25/2014,ACST,Acset Indonusa Tbk.,3225,3350,3225,3280,68100
11/25/2014,ADES,Akasha Wira International Tbk.,1405,1410,1395,1395,30700
11/25/2014,ADHI,Adhi Karya (Persero) Tbk.,2363,2367,2338,2350,40740334
11/25/2014,ADMF,Adira Dinamika Multi Finance Tbk.,7725,7725,7650,7725,77200
11/25/2014,ADMG,Polychem Indonesia Tbk,165,165,164,164,48500
11/25/2014,ADRO,Adaro Energy Tbk.,1080,1110,1060,1095,85564800
11/25/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,106,107,105,106,2441833
11/25/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,234,234,234,234,0
11/25/2014,AIMS,Akbar Indo Makmur Stimec Tbk,395,395,395,395,100
11/25/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2215,2305,2200,2295,12372100
11/25/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
11/25/2014,AKPI,Argha Karya Prima Industry Tbk.,740,740,740,740,2900
11/25/2014,AKRA,AKR Corporindo Tbk.,4670,4670,4605,4625,9117300
11/25/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
11/25/2014,ALDO,Alkindo Naratama Tbk.,710,720,710,720,744300
11/25/2014,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
11/25/2014,ALMI,Alumindo Light Metal Industry Tbk.,253,253,253,253,101500
11/25/2014,ALTO,Tri Banyan Tirta Tbk.,342,342,341,342,222600
11/25/2014,AMAG,Asuransi Multi Artha Guna Tbk.,225,230,225,230,631000
11/25/2014,AMFG,Asahimas Flat Glass Tbk.,7750,7750,7550,7625,97600
11/25/2014,AMRT,Sumber Alfaria Trijaya Tbk.,525,525,525,525,800
11/25/2014,ANJT,Austindo Nusantara Jaya Tbk.,1300,1300,1300,1300,0
11/25/2014,ANTM,Aneka Tambang (Persero) Tbk.,840,840,823,832,20441970
11/25/2014,APEX,Apexindo Pratama Duta Tbk.,3475,3475,3475,3475,64200
11/25/2014,APIC,Pacific Strategic Financial Tbk.,545,545,540,540,15126900
11/25/2014,APII,Arita Prima Indonesia Tbk.,440,440,440,440,0
11/25/2014,APLI,Asiaplast Industries Tbk.,83,83,83,83,0
11/25/2014,APLN,Agung Podomoro Land Tbk.,349,353,342,351,29958000
11/25/2014,APOL,Arpeni Pratama Ocean Line Tbk.,56,59,55,56,39105400
11/25/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
11/25/2014,ARII,Atlas Resources Tbk.,335,335,315,335,15000
11/25/2014,ARNA,Arwana Citramulia Tbk.,930,935,915,915,1146900
11/25/2014,ARTA,Arthavest Tbk,225,225,225,225,0
