<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
02/27/2015,AALI,Astra Agro Lestari Tbk.,25000,25375,24650,24650,1396600
02/27/2015,ABBA,Mahaka Media Tbk.,63,64,60,60,22100
02/27/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6650,6650,6650,6650,0
02/27/2015,ABMM,ABM Investama Tbk.,3000,3000,3000,3000,550000
02/27/2015,ACES,Ace Hardware Indonesia Tbk.,845,855,835,845,25065400
02/27/2015,ACST,Acset Indonusa Tbk.,5400,5650,5275,5575,1445200
02/27/2015,ADES,Akasha Wira International Tbk.,1380,1385,1380,1380,31700
02/27/2015,ADHI,Adhi Karya (Persero) Tbk.,2923,2927,2898,2919,11114036
02/27/2015,ADMF,Adira Dinamika Multi Finance Tbk.,6650,6700,6575,6625,22000
02/27/2015,ADMG,Polychem Indonesia Tbk,150,150,145,149,129800
02/27/2015,ADRO,Adaro Energy Tbk.,945,965,940,960,98493000
02/27/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,104,105,102,103,1710567
02/27/2015,AGRS,Bank Agris Tbk.,139,142,135,135,2100
02/27/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,189,189,189,189,0
02/27/2015,AIMS,Akbar Indo Makmur Stimec Tbk,380,380,380,380,0
02/27/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2205,2210,2180,2200,2841700
02/27/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
02/27/2015,AKPI,Argha Karya Prima Industry Tbk.,840,840,840,840,0
02/27/2015,AKRA,AKR Corporindo Tbk.,4850,4875,4830,4870,6821600
02/27/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
02/27/2015,ALDO,Alkindo Naratama Tbk.,720,720,720,720,186000
02/27/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
02/27/2015,ALMI,Alumindo Light Metal Industry Tbk.,242,245,242,245,200
02/27/2015,ALTO,Tri Banyan Tirta Tbk.,353,355,352,353,3031700
02/27/2015,AMAG,Asuransi Multi Artha Guna Tbk.,237,237,233,236,505300
02/27/2015,AMFG,Asahimas Flat Glass Tbk.,8125,8150,7975,8000,58300
02/27/2015,AMRT,Sumber Alfaria Trijaya Tbk.,470,471,466,471,2012900
02/27/2015,ANJT,Austindo Nusantara Jaya Tbk.,1170,1170,1170,1170,0
02/27/2015,ANTM,Aneka Tambang (Persero) Tbk.,844,857,840,844,14848286
02/27/2015,APEX,Apexindo Pratama Duta Tbk.,3325,3325,3325,3325,0
02/27/2015,APIC,Pacific Strategic Financial Tbk.,545,545,540,540,14194400
02/27/2015,APII,Arita Prima Indonesia Tbk.,380,380,380,380,10000
02/27/2015,APLI,Asiaplast Industries Tbk.,75,76,75,76,29400
02/27/2015,APLN,Agung Podomoro Land Tbk.,466,466,458,459,28261700
02/27/2015,APOL,Arpeni Pratama Ocean Line Tbk.,63,68,62,67,34822000
02/27/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
02/27/2015,ARII,Atlas Resources Tbk.,410,428,410,428,100100
02/27/2015,ARNA,Arwana Citramulia Tbk.,955,960,945,955,905600
02/27/2015,ARTA,Arthavest Tbk,221,221,221,221,0
02/27/2015,ARTI,Ratu Prabu Energi Tbk,89,90,87,89,1726000
02/27/2015,ASBI,Asuransi Bintang Tbk.,585,585,585,585,0
02/27/2015,ASDM,Asuransi Dayin Mitra Tbk.,995,995,995,995,0
02/27/2015,ASGR,Astra Graphia Tbk.,1985,2020,1985,2005,911900
02/27/2015,ASII,Astra International Tbk.,8075,8075,7850,7850,41396200
02/27/2015,ASJT,Asuransi Jasa Tania Tbk.,150,151,150,150,597000
02/27/2015,ASMI,Asuransi Kresna Mitra Tbk.,675,680,665,665,1599700
02/27/2015,ASRI,Alam Sutera Realty Tbk.,665,675,660,670,58321800
02/27/2015,ASRM,Asuransi Ramayana Tbk.,1200,1200,1200,1200,0
02/27/2015,ASSA,Adi Sarana Armada Tbk.,214,214,207,207,4709300
02/27/2015,ATPK,Bara Jaya Internasional Tbk.,175,180,175,180,3200
02/27/2015,AUTO,Astra Otoparts Tbk.,3700,3700,3695,3700,579700
02/27/2015,BABP,Bank MNC Internasional Tbk.,93,106,92,103,340480000
02/27/2015,BACA,Bank Capital Indonesia Tbk.,118,120,117,117,969100
02/27/2015,BAEK,Bank Ekonomi Raharja Tbk.,2100,2100,2100,2100,0
02/27/2015,BAJA,Saranacentral Bajatama Tbk.,237,237,235,236,320100
02/27/2015,BALI,Bali Towerindo Sentra Tbk.,410,419,410,419,1000
02/27/2015,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,100
02/27/2015,BATA,Sepatu Bata Tbk.,1120,1120,1120,1120,0
02/27/2015,BAYU,Bayu Buana Tbk,1015,1015,1015,1015,100
02/27/2015,BBCA,Bank Central Asia Tbk.,14000,14150,14000,14100,18251500
02/27/2015,BBKP,Bank Bukopin Tbk.,795,795,785,795,8738600
02/27/2015,BBLD,Buana Finance Tbk.,730,985,730,985,300
02/27/2015,BBMD,Bank Mestika Dharma Tbk.,1590,1590,1590,1590,0
02/27/2015,BBNI,Bank Negara Indonesia (Persero) Tbk.,6975,6975,6875,6875,18975500
02/27/2015,BBNP,Bank Nusantara Parahyangan Tbk.,2310,2310,2310,2310,0
02/27/2015,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,13050,13050,12875,12875,18784300
02/27/2015,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,170,170,170,170,10100
02/27/2015,BBTN,Bank Tabungan Negara (Persero) Tbk.,1060,1070,1055,1070,46427500
02/27/2015,BBYB,Bank Yudha Bhakti Tbk.,102,105,97,98,471800
02/27/2015,BCAP,MNC Kapital Indonesia Tbk.,1304,1333,1304,1324,25925850
02/27/2015,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
02/27/2015,BCIP,Bumi Citra Permai Tbk.,765,775,765,770,26581300
02/27/2015,BDMN,Bank Danamon Indonesia Tbk.,4670,4800,4645,4800,5494300
02/27/2015,BEKS,Bank Pembangunan Daerah Banten Tbk.,68,70,68,70,6800
02/27/2015,BEST,Bekasi Fajar Industrial Estate Tbk.,705,710,695,695,9905700
02/27/2015,BFIN,BFI Finance  Indonesia Tbk.,2700,2700,2700,2700,10800
02/27/2015,BHIT,MNC Investama Tbk.,319,340,317,340,89531100
02/27/2015,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
02/27/2015,BINA,Bank Ina Perdana Tbk.,280,280,280,280,0
02/27/2015,BIPI,Benakat Integra Tbk.,113,113,108,111,10159700
02/27/2015,BIPP,Bhuwanatala Indah Permai Tbk.,99,99,99,99,0
02/27/2015,BIRD,Blue Bird Tbk.,10650,10900,10575,10900,523000
02/27/2015,BISI,BISI International Tbk.,1075,1110,1075,1075,3556200
02/27/2015,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,970,980,970,980,5289700
02/27/2015,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,545,550,540,545,7173500
02/27/2015,BKDP,Bukit Darmo Property Tbk,100,101,100,100,205800
02/27/2015,BKSL,Sentul City Tbk.,146,149,145,145,128645000
02/27/2015,BKSW,Bank QNB Indonesia Tbk.,400,400,400,400,0
02/27/2015,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
02/27/2015,BLTZ,Graha Layar Prima Tbk.,2900,2900,2900,2900,0
02/27/2015,BMAS,Bank Maspion Indonesia Tbk.,338,338,338,338,0
02/27/2015,BMRI,Bank Mandiri (Persero) Tbk.,11900,12075,11800,12000,21367000
02/27/2015,BMSR,Bintang Mitra Semestaraya Tbk,152,152,152,152,0
02/27/2015,BMTR,Global Mediacom Tbk.,1995,2050,1980,2015,28712800
02/27/2015,BNBA,Bank Bumi Arta Tbk.,161,161,161,161,0
02/27/2015,BNBR,Bakrie & Brothers Tbk,50,50,50,50,400
02/27/2015,BNGA,Bank CIMB Niaga Tbk.,785,800,785,795,971700
02/27/2015,BNII,Bank Maybank Indonesia Tbk.,199,204,199,202,119300
02/27/2015,BNLI,Bank Permata Tbk.,1620,1640,1600,1640,38700
02/27/2015,BORN,Borneo Lumbung Energi & Metal Tbk.,50,50,50,50,311900
02/27/2015,BPFI,Batavia Prosperindo Finance Tbk.,550,550,550,550,0
