<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
09/03/2014,AALI,Astra Agro Lestari Tbk.,25625,25950,25625,25850,479700
09/03/2014,ABBA,Mahaka Media Tbk.,71,72,70,71,78500
09/03/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5775,5775,5775,5775,10000
09/03/2014,ABMM,ABM Investama Tbk.,2500,2725,2500,2725,32300
09/03/2014,ACES,Ace Hardware Indonesia Tbk.,970,995,970,990,11109000
09/03/2014,ACST,Acset Indonusa Tbk.,3500,3700,3500,3535,182800
09/03/2014,ADES,Akasha Wira International Tbk.,1660,1660,1655,1660,45000
09/03/2014,ADHI,Adhi Karya (Persero) Tbk.,2592,2656,2592,2647,26411772
09/03/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11375,11375,11200,11200,10100
09/03/2014,ADMG,Polychem Indonesia Tbk,204,204,204,204,149100
09/03/2014,ADRO,Adaro Energy Tbk.,1340,1370,1330,1370,85146400
09/03/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,130,130,127,130,1446900
09/03/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,180,181,180,180,438529
09/03/2014,AIMS,Akbar Indo Makmur Stimec Tbk,420,420,400,400,200
09/03/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2510,2530,2500,2510,6968000
09/03/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
09/03/2014,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,0
09/03/2014,AKRA,AKR Corporindo Tbk.,5650,5825,5550,5600,6352900
09/03/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
09/03/2014,ALDO,Alkindo Naratama Tbk.,760,770,750,750,4475800
09/03/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
09/03/2014,ALMI,Alumindo Light Metal Industry Tbk.,332,334,331,334,95200
09/03/2014,ALTO,Tri Banyan Tirta Tbk.,350,351,350,350,51200
09/03/2014,AMAG,Asuransi Multi Artha Guna Tbk.,255,262,255,260,15623700
09/03/2014,AMFG,Asahimas Flat Glass Tbk.,8500,8500,8450,8450,2300
09/03/2014,AMRT,Sumber Alfaria Trijaya Tbk.,500,500,499,499,14800
09/03/2014,ANJT,Austindo Nusantara Jaya Tbk.,1150,1150,1150,1150,43700
09/03/2014,ANTM,Aneka Tambang (Persero) Tbk.,979,983,966,970,19519196
09/03/2014,APEX,Apexindo Pratama Duta Tbk.,3700,3700,3695,3695,152600
09/03/2014,APIC,Pacific Strategic Financial Tbk.,550,555,545,555,19635300
09/03/2014,APII,Arita Prima Indonesia Tbk.,300,335,300,330,96800
09/03/2014,APLI,Asiaplast Industries Tbk.,72,72,72,72,10000
09/03/2014,APLN,Agung Podomoro Land Tbk.,370,388,369,386,105254300
09/03/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,0
09/03/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
09/03/2014,ARII,Atlas Resources Tbk.,296,296,296,296,0
09/03/2014,ARNA,Arwana Citramulia Tbk.,1015,1020,1010,1015,2417900
09/03/2014,ARTA,Arthavest Tbk,236,236,236,236,0
09/03/2014,ARTI,Ratu Prabu Energi Tbk,140,143,139,141,1615700
09/03/2014,ASBI,Asuransi Bintang Tbk.,1050,1050,1050,1050,0
09/03/2014,ASDM,Asuransi Dayin Mitra Tbk.,905,905,905,905,100
09/03/2014,ASGR,Astra Graphia Tbk.,2230,2230,2200,2225,779100
09/03/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
09/03/2014,ASII,Astra International Tbk.,7750,7750,7650,7675,8153700
09/03/2014,ASJT,Asuransi Jasa Tania Tbk.,300,300,300,300,0
09/03/2014,ASMI,Asuransi Kresna Mitra Tbk.,485,485,483,484,1088500
09/03/2014,ASRI,Alam Sutera Realty Tbk.,500,505,500,505,22732100
09/03/2014,ASRM,Asuransi Ramayana Tbk.,1020,1020,1020,1020,0
09/03/2014,ASSA,Adi Sarana Armada Tbk.,219,219,214,215,734500
09/03/2014,ATPK,Bara Jaya Internasional Tbk.,235,235,235,235,50000
09/03/2014,AUTO,Astra Otoparts Tbk.,3985,3995,3985,3995,404700
09/03/2014,BABP,Bank MNC Internasional Tbk.,127,129,123,125,181995800
09/03/2014,BACA,Bank Capital Indonesia Tbk.,93,93,90,92,265200
09/03/2014,BAEK,Bank Ekonomi Raharja Tbk.,1800,1800,1800,1800,0
09/03/2014,BAJA,Saranacentral Bajatama Tbk.,374,421,374,406,16448500
09/03/2014,BALI,Bali Towerindo Sentra Tbk.,456,457,453,453,142500
09/03/2014,BAPA,Bekasi Asri Pemula Tbk.,54,56,53,53,3400
09/03/2014,BATA,Sepatu Bata Tbk.,965,965,965,965,1700
09/03/2014,BAYU,Bayu Buana Tbk,1325,1400,1325,1400,33500
09/03/2014,BBCA,Bank Central Asia Tbk.,11725,11800,11700,11700,5884100
09/03/2014,BBKP,Bank Bukopin Tbk.,740,740,730,740,2067800
09/03/2014,BBLD,Buana Finance Tbk.,1980,1980,1980,1980,0
09/03/2014,BBMD,Bank Mestika Dharma Tbk.,1475,1475,1475,1475,0
09/03/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,5525,5675,5525,5650,28164600
09/03/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1850,1850,1850,1850,0
09/03/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,11150,11175,11075,11125,14994100
09/03/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,179,179,179,179,3326
09/03/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1140,1150,1135,1145,37685000
09/03/2014,BCAP,MNC Kapital Indonesia Tbk.,1309,1319,1259,1304,60420550
09/03/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
09/03/2014,BCIP,Bumi Citra Permai Tbk.,645,655,640,655,25311700
09/03/2014,BDMN,Bank Danamon Indonesia Tbk.,3890,3920,3885,3900,6406500
09/03/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,89,90,89,89,559800
09/03/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,615,640,615,625,19003800
09/03/2014,BFIN,BFI Finance  Indonesia Tbk.,2125,2125,2100,2100,4300
09/03/2014,BHIT,MNC Investama Tbk.,373,376,372,374,18534900
09/03/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
09/03/2014,BINA,Bank Ina Perdana Tbk.,270,270,270,270,0
09/03/2014,BIPI,Benakat Integra Tbk.,127,130,125,127,46543200
09/03/2014,BIPP,Bhuwanatala Indah Permai Tbk.,97,98,97,98,149722
09/03/2014,BISI,BISI International Tbk.,530,535,525,530,473200
09/03/2014,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,865,865,855,860,5472200
09/03/2014,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,455,459,452,453,10458700
09/03/2014,BKDP,Bukit Darmo Property Tbk,84,93,84,89,21828700
09/03/2014,BKSL,Sentul City Tbk.,117,120,117,119,98637700
09/03/2014,BKSW,Bank QNB Indonesia Tbk.,361,361,361,361,0
09/03/2014,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
09/03/2014,BLTZ,Graha Layar Prima Tbk.,3090,3090,3090,3090,0
09/03/2014,BMAS,Bank Maspion Indonesia Tbk.,340,340,340,340,100
09/03/2014,BMRI,Bank Mandiri (Persero) Tbk.,10500,10575,10500,10550,16557000
09/03/2014,BMSR,Bintang Mitra Semestaraya Tbk,150,150,150,150,0
09/03/2014,BMTR,Global Mediacom Tbk.,1960,2020,1960,2000,38116300
09/03/2014,BNBA,Bank Bumi Arta Tbk.,153,153,153,153,0
09/03/2014,BNBR,Bakrie & Brothers Tbk,50,50,50,50,1100
09/03/2014,BNGA,Bank CIMB Niaga Tbk.,995,1000,990,990,227700
09/03/2014,BNII,Bank Maybank Indonesia Tbk.,288,291,288,288,5511000
09/03/2014,BNLI,Bank Permata Tbk.,1400,1400,1390,1400,82200
09/03/2014,BORN,Borneo Lumbung Energi & Metal Tbk.,97,97,97,97,0
09/03/2014,BPFI,Batavia Prosperindo Finance Tbk.,487,487,487,487,1214
09/03/2014,BPII,Batavia Prosperindo Internasional Tbk.,540,540,540,540,0
09/03/2014,BRAM,Indo Kordsa Tbk.,2500,2500,2500,2500,0
09/03/2014,BRAU,Berau Coal Energy Tbk.,108,116,108,112,12549900
09/03/2014,BRMS,Bumi Resources Minerals Tbk.,268,270,265,265,5036000
09/03/2014,BRNA,Berlina Tbk.,715,715,715,715,10500
09/03/2014,BRPT,Barito Pacific Tbk.,282,284,281,284,86500
09/03/2014,BSDE,Bumi Serpong Damai Tbk.,1620,1645,1620,1640,9869000
09/03/2014,BSIM,Bank Sinarmas Tbk.,277,284,277,282,1018000
09/03/2014,BSSR,Baramulti Suksessarana Tbk.,1630,1630,1605,1605,5800
09/03/2014,BSWD,Bank Of India Indonesia Tbk.,6709,6709,6709,6709,0
09/03/2014,BTEK,Bumi Teknokultura Unggul Tbk,1385,1385,1385,1385,0
09/03/2014,BTEL,Bakrie Telecom Tbk.,50,50,50,50,0
09/03/2014,BTON,Betonjaya Manunggal Tbk.,489,489,489,489,0
09/03/2014,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,4300,4395,4300,4330,332000
09/03/2014,BUDI,Budi Starch & Sweetener Tbk.,114,114,113,113,5800
09/03/2014,BULL,Buana Listya Tama Tbk.,400,400,400,400,0
09/03/2014,BUMI,Bumi Resources Tbk.,190,194,190,190,39895300
09/03/2014,BUVA,Bukit Uluwatu Villa Tbk.,600,605,600,605,64700
09/03/2014,BVIC,Bank Victoria International Tbk.,125,126,124,124,101700
09/03/2014,BWPT,Eagle High Plantations Tbk.,898,927,898,914,30760100
09/03/2014,BYAN,Bayan Resources Tbk.,7000,7000,7000,7000,2600
09/03/2014,CANI,Capitol Nusantara Indonesia Tbk.,254,255,254,255,716000
09/03/2014,CASS,Cardig Aero Services Tbk.,1100,1100,1065,1070,679300
09/03/2014,CEKA,Wilmar Cahaya Indonesia Tbk.,900,900,893,895,18600
09/03/2014,CENT,Centratama Telekomunikasi Indonesia Tbk.,197,202,196,202,100800
09/03/2014,CFIN,Clipan Finance Indonesia Tbk.,434,434,425,426,762000
09/03/2014,CINT,Chitose Internasional Tbk.,373,375,370,371,2398000
09/03/2014,CITA,Cita Mineral Investindo Tbk.,940,940,940,940,0
09/03/2014,CKRA,Cakra Mineral Tbk.,204,210,204,205,21400
09/03/2014,CLPI,Colorpak Indonesia Tbk.,870,890,855,865,263300
09/03/2014,CMNP,Citra Marga Nusaphala Persada Tbk.,3120,3172,3040,3100,100625
09/03/2014,CMPP,Rimau Multi Putra Pratama Tbk.,200,225,191,191,547800
09/03/2014,CNKO,Exploitasi Energi Indonesia Tbk.,205,209,203,205,5848200
09/03/2014,CNTB,Saham Seri B ( Centex Tbk ),5000,5000,5000,5000,0
09/03/2014,CNTX,Century Textile Industry Tbk.,11000,11400,11000,11400,300
09/03/2014,COWL,Cowell Development Tbk.,575,580,570,575,20184600
09/03/2014,CPGT,Citra Maharlika Nusantara Corpora Tbk.,108,108,103,104,133627700
09/03/2014,CPIN,Charoen Pokphand Indonesia Tbk,4050,4065,3990,4050,5399200
09/03/2014,CPRO,Central Proteina Prima Tbk.,50,50,50,50,100000
09/03/2014,CSAP,Catur Sentosa Adiprana Tbk.,735,740,705,735,972000
09/03/2014,CTBN,Citra Tubindo Tbk.,5550,5550,5550,5550,0
09/03/2014,CTRA,Ciputra Development Tbk.,1160,1180,1160,1165,17188300
09/03/2014,CTRP,Ciputra Property Tbk.,740,750,740,740,3289500
09/03/2014,CTRS,Ciputra Surya Tbk.,2320,2345,2295,2320,188600
09/03/2014,CTTH,Citatah Tbk.,69,70,69,70,222500
09/03/2014,DAJK,Dwi Aneka Jaya Kemasindo Tbk.,510,510,498,498,15250200
09/03/2014,DART,Duta Anggada Realty Tbk.,725,745,700,705,197600
09/03/2014,DAVO,Davomas Abadi Tbk,50,50,50,50,0
09/03/2014,DEFI,Danasupra Erapacific Tbk,1250,1250,1250,1250,0
09/03/2014,DEWA,Darma Henwa Tbk,50,50,50,50,0
