<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
11/07/2014,AALI,Astra Agro Lestari Tbk.,23025,23300,22775,22925,901600
11/07/2014,ABBA,Mahaka Media Tbk.,75,75,70,73,104600
11/07/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5875,5875,5875,5875,0
11/07/2014,ABMM,ABM Investama Tbk.,2520,2520,2400,2450,611300
11/07/2014,ACES,Ace Hardware Indonesia Tbk.,785,800,785,785,129866700
11/07/2014,ACST,Acset Indonusa Tbk.,3250,3250,3240,3250,88200
11/07/2014,ADES,Akasha Wira International Tbk.,1365,1380,1360,1360,14800
11/07/2014,ADHI,Adhi Karya (Persero) Tbk.,2104,2113,2066,2079,33766691
11/07/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11000,11050,10975,10975,344900
11/07/2014,ADMG,Polychem Indonesia Tbk,180,180,165,165,561900
11/07/2014,ADRO,Adaro Energy Tbk.,1080,1100,1075,1095,18869700
11/07/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,105,106,103,105,493033
11/07/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,199,199,199,199,0
11/07/2014,AIMS,Akbar Indo Makmur Stimec Tbk,390,390,370,380,1300
11/07/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2250,2290,2220,2225,2081600
11/07/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
11/07/2014,AKPI,Argha Karya Prima Industry Tbk.,895,895,895,895,0
11/07/2014,AKRA,AKR Corporindo Tbk.,4800,4820,4770,4775,3846800
11/07/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
11/07/2014,ALDO,Alkindo Naratama Tbk.,700,705,700,700,198000
11/07/2014,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
11/07/2014,ALMI,Alumindo Light Metal Industry Tbk.,266,266,261,261,69700
11/07/2014,ALTO,Tri Banyan Tirta Tbk.,340,345,340,345,459100
11/07/2014,AMAG,Asuransi Multi Artha Guna Tbk.,215,219,214,215,232000
11/07/2014,AMFG,Asahimas Flat Glass Tbk.,6650,6850,6600,6650,478900
11/07/2014,AMRT,Sumber Alfaria Trijaya Tbk.,525,525,520,525,333000
11/07/2014,ANJT,Austindo Nusantara Jaya Tbk.,1190,1190,1190,1190,0
11/07/2014,ANTM,Aneka Tambang (Persero) Tbk.,794,798,781,785,14818936
11/07/2014,APEX,Apexindo Pratama Duta Tbk.,3615,3615,3595,3595,62400
11/07/2014,APIC,Pacific Strategic Financial Tbk.,530,530,520,525,16139100
11/07/2014,APII,Arita Prima Indonesia Tbk.,440,440,440,440,3000
11/07/2014,APLI,Asiaplast Industries Tbk.,85,85,85,85,0
11/07/2014,APLN,Agung Podomoro Land Tbk.,335,340,331,333,16413100
11/07/2014,APOL,Arpeni Pratama Ocean Line Tbk.,98,114,96,100,192714500
11/07/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
11/07/2014,ARII,Atlas Resources Tbk.,372,372,372,372,0
11/07/2014,ARNA,Arwana Citramulia Tbk.,900,920,885,900,2733400
11/07/2014,ARTA,Arthavest Tbk,225,225,225,225,0
11/07/2014,ARTI,Ratu Prabu Energi Tbk,100,100,99,100,660500
11/07/2014,ASBI,Asuransi Bintang Tbk.,1090,1090,1090,1090,0
11/07/2014,ASDM,Asuransi Dayin Mitra Tbk.,990,990,990,990,0
11/07/2014,ASGR,Astra Graphia Tbk.,2175,2175,2175,2175,74100
11/07/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
11/07/2014,ASII,Astra International Tbk.,6950,7000,6925,6950,28593900
11/07/2014,ASJT,Asuransi Jasa Tania Tbk.,300,300,300,300,0
11/07/2014,ASMI,Asuransi Kresna Mitra Tbk.,488,490,488,489,1409400
11/07/2014,ASRI,Alam Sutera Realty Tbk.,454,455,445,445,22218700
11/07/2014,ASRM,Asuransi Ramayana Tbk.,1290,1290,1290,1290,0
11/07/2014,ASSA,Adi Sarana Armada Tbk.,181,181,178,181,374700
11/07/2014,ATPK,Bara Jaya Internasional Tbk.,219,221,219,220,952900
11/07/2014,AUTO,Astra Otoparts Tbk.,3840,3840,3780,3795,193700
11/07/2014,BABP,Bank MNC Internasional Tbk.,109,109,107,107,39015550
11/07/2014,BACA,Bank Capital Indonesia Tbk.,88,88,88,88,0
11/07/2014,BAEK,Bank Ekonomi Raharja Tbk.,1800,1800,1800,1800,0
11/07/2014,BAJA,Saranacentral Bajatama Tbk.,269,273,267,267,1219500
11/07/2014,BALI,Bali Towerindo Sentra Tbk.,455,455,455,455,0
11/07/2014,BAPA,Bekasi Asri Pemula Tbk.,53,53,51,53,10800
11/07/2014,BATA,Sepatu Bata Tbk.,940,940,940,940,3500
11/07/2014,BAYU,Bayu Buana Tbk,1300,1300,1200,1200,400
11/07/2014,BBCA,Bank Central Asia Tbk.,12850,13000,12600,12700,14539200
11/07/2014,BBKP,Bank Bukopin Tbk.,770,775,760,770,3733700
11/07/2014,BBLD,Buana Finance Tbk.,1980,1980,1980,1980,0
11/07/2014,BBMD,Bank Mestika Dharma Tbk.,1505,1505,1505,1505,0
11/07/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,5700,5725,5550,5725,10977500
11/07/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1850,1850,1850,1850,0
11/07/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10700,10800,10600,10650,16559800
11/07/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,195,195,191,191,75158
11/07/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1100,1110,1090,1100,25557300
11/07/2014,BCAP,MNC Kapital Indonesia Tbk.,1116,1161,1116,1161,22100
