<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
03/21/2014,AALI,Astra Agro Lestari Tbk.,25900,26250,25400,26100,1185800
03/21/2014,ABBA,Mahaka Media Tbk.,94,94,94,94,100
03/21/2014,ABDA,Asuransi Bina Dana Arta Tbk.,4405,4405,4405,4405,5500
03/21/2014,ABMM,ABM Investama Tbk.,2850,2850,2850,2850,0
03/21/2014,ACES,Ace Hardware Indonesia Tbk.,740,765,735,750,55081500
03/21/2014,ACST,Acset Indonusa Tbk.,2230,2230,2000,2170,119600
03/21/2014,ADES,Akasha Wira International Tbk.,2115,2125,2080,2100,207600
03/21/2014,ADHI,Adhi Karya (Persero) Tbk.,2452,2469,2333,2427,75516269
03/21/2014,ADMF,Adira Dinamika Multi Finance Tbk.,9375,9375,9300,9300,2800
03/21/2014,ADMG,Polychem Indonesia Tbk,215,218,213,214,816700
03/21/2014,ADRO,Adaro Energy Tbk.,980,990,945,990,113423300
03/21/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,125,125,116,118,700
03/21/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,162,162,162,162,0
03/21/2014,AIMS,Akbar Indo Makmur Stimec Tbk,590,600,505,505,218000
03/21/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,1985,1995,1975,1985,1106600
03/21/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
03/21/2014,AKPI,Argha Karya Prima Industry Tbk.,750,750,750,750,0
03/21/2014,AKRA,AKR Corporindo Tbk.,4875,4905,4860,4875,7270300
03/21/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
03/21/2014,ALDO,Alkindo Naratama Tbk.,645,650,635,640,4720300
03/21/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
03/21/2014,ALMI,Alumindo Light Metal Industry Tbk.,295,297,295,297,2000
03/21/2014,ALTO,Tri Banyan Tirta Tbk.,545,550,545,545,259600
03/21/2014,AMAG,Asuransi Multi Artha Guna Tbk.,239,250,239,240,746400
03/21/2014,AMFG,Asahimas Flat Glass Tbk.,7000,7025,7000,7025,28300
03/21/2014,AMRT,Sumber Alfaria Trijaya Tbk.,510,520,510,520,1996100
03/21/2014,ANJT,Austindo Nusantara Jaya Tbk.,1620,1620,1620,1620,0
03/21/2014,ANTM,Aneka Tambang (Persero) Tbk.,958,966,928,953,95496402
03/21/2014,APEX,Apexindo Pratama Duta Tbk.,2565,2570,2555,2560,54500
03/21/2014,APIC,Pacific Strategic Financial Tbk.,505,510,505,505,5501500
03/21/2014,APII,Arita Prima Indonesia Tbk.,240,240,240,240,1700
03/21/2014,APLI,Asiaplast Industries Tbk.,68,69,60,68,11400
03/21/2014,APLN,Agung Podomoro Land Tbk.,282,284,270,284,47256500
03/21/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,0
03/21/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
03/21/2014,ARII,Atlas Resources Tbk.,695,700,695,695,4847200
03/21/2014,ARNA,Arwana Citramulia Tbk.,840,845,810,825,21904200
03/21/2014,ARTA,Arthavest Tbk,198,198,171,178,1300
03/21/2014,ARTI,Ratu Prabu Energi Tbk,172,174,170,172,50700
03/21/2014,ASBI,Asuransi Bintang Tbk.,475,475,475,475,10000
03/21/2014,ASDM,Asuransi Dayin Mitra Tbk.,700,715,670,715,1400
03/21/2014,ASGR,Astra Graphia Tbk.,1850,1855,1835,1835,304900
03/21/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
03/21/2014,ASII,Astra International Tbk.,7600,7725,7325,7350,66302100
03/21/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
03/21/2014,ASMI,Asuransi Kresna Mitra Tbk.,461,463,459,460,3908900
03/21/2014,ASRI,Alam Sutera Realty Tbk.,640,645,615,635,99674900
03/21/2014,ASRM,Asuransi Ramayana Tbk.,965,1010,965,1010,7800
03/21/2014,ASSA,Adi Sarana Armada Tbk.,296,296,293,293,39700
03/21/2014,ATPK,Bara Jaya Internasional Tbk.,250,260,250,260,20000
03/21/2014,AUTO,Astra Otoparts Tbk.,3825,3895,3795,3865,972700
03/21/2014,BABP,Bank MNC Internasional Tbk.,143,144,141,144,8078445
03/21/2014,BACA,Bank Capital Indonesia Tbk.,79,79,79,79,16800
03/21/2014,BAEK,Bank Ekonomi Raharja Tbk.,1750,1750,1750,1750,0
03/21/2014,BAJA,Saranacentral Bajatama Tbk.,1490,1500,1480,1490,4325300
03/21/2014,BALI,Bali Towerindo Sentra Tbk.,291,291,291,291,0
03/21/2014,BAPA,Bekasi Asri Pemula Tbk.,59,59,59,59,20800
03/21/2014,BATA,Sepatu Bata Tbk.,990,995,955,965,75100
03/21/2014,BAYU,Bayu Buana Tbk,460,460,460,460,2000
03/21/2014,BBCA,Bank Central Asia Tbk.,10425,10500,10200,10325,25481700
03/21/2014,BBKP,Bank Bukopin Tbk.,645,650,635,645,4041600
03/21/2014,BBLD,Buana Finance Tbk.,980,990,980,990,10000
03/21/2014,BBMD,Bank Mestika Dharma Tbk.,1745,1765,1745,1755,3972400
03/21/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,4810,4825,4730,4800,24240100
03/21/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1480,1480,1480,1480,0
03/21/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,9550,9625,9275,9300,63335400
03/21/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,143,143,143,143,6319
03/21/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1240,1260,1215,1255,26939000
03/21/2014,BCAP,MNC Kapital Indonesia Tbk.,1086,1151,1062,1151,125639
03/21/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
03/21/2014,BCIP,Bumi Citra Permai Tbk.,498,505,498,505,10068200
03/21/2014,BDMN,Bank Danamon Indonesia Tbk.,4170,4380,4160,4220,8114600
03/21/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,84,84,82,84,517500
03/21/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,605,620,575,590,49139600
03/21/2014,BFIN,BFI Finance  Indonesia Tbk.,2190,2200,2190,2200,8200
03/21/2014,BHIT,MNC Investama Tbk.,333,348,330,348,11627500
03/21/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
03/21/2014,BINA,Bank Ina Perdana Tbk.,262,265,262,265,20900
03/21/2014,BIPI,Benakat Integra Tbk.,103,105,102,103,18907600
03/21/2014,BIPP,Bhuwanatala Indah Permai Tbk.,98,98,96,97,1026381
03/21/2014,BISI,BISI International Tbk.,680,695,645,660,4592000
03/21/2014,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,1010,1030,975,995,47170400
03/21/2014,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,459,475,449,475,7989400
03/21/2014,BKDP,Bukit Darmo Property Tbk,69,69,68,68,76300
03/21/2014,BKSL,Sentul City Tbk.,187,189,179,186,142567400
03/21/2014,BKSW,Bank QNB Indonesia Tbk.,350,350,350,350,400
03/21/2014,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
03/21/2014,BMAS,Bank Maspion Indonesia Tbk.,310,310,310,310,0
03/21/2014,BMRI,Bank Mandiri (Persero) Tbk.,9425,9500,9325,9375,37900800
03/21/2014,BMSR,Bintang Mitra Semestaraya Tbk,176,176,176,176,0
03/21/2014,BMTR,Global Mediacom Tbk.,2420,2500,2370,2405,7653600
03/21/2014,BNBA,Bank Bumi Arta Tbk.,172,172,172,172,200
03/21/2014,BNBR,Bakrie & Brothers Tbk,50,50,50,50,100
03/21/2014,BNGA,Bank CIMB Niaga Tbk.,1035,1055,1025,1030,392700
03/21/2014,BNII,Bank Maybank Indonesia Tbk.,310,316,308,308,8308000
03/21/2014,BNLI,Bank Permata Tbk.,1345,1360,1340,1355,155900
03/21/2014,BORN,Borneo Lumbung Energi & Metal Tbk.,140,140,137,139,6967900
03/21/2014,BPFI,Batavia Prosperindo Finance Tbk.,397,397,397,397,0
03/21/2014,BRAM,Indo Kordsa Tbk.,2100,2100,2100,2100,0
03/21/2014,BRAU,Berau Coal Energy Tbk.,186,188,177,177,22607700
03/21/2014,BRMS,Bumi Resources Minerals Tbk.,240,241,234,237,19308600
03/21/2014,BRNA,Berlina Tbk.,499,499,499,499,500
03/21/2014,BRPT,Barito Pacific Tbk.,345,345,344,345,195900
03/21/2014,BSDE,Bumi Serpong Damai Tbk.,1640,1685,1600,1675,39617500
03/21/2014,BSIM,Bank Sinarmas Tbk.,250,250,250,250,5000
03/21/2014,BSSR,Baramulti Suksessarana Tbk.,1975,1975,1975,1975,2500
03/21/2014,BSWD,Bank Of India Indonesia Tbk.,2534,2534,2534,2534,0
03/21/2014,BTEK,Bumi Teknokultura Unggul Tbk,1375,1375,1375,1375,1776300
