<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
03/02/2015,AALI,Astra Agro Lestari Tbk.,25000,25575,24675,25550,1474900
03/02/2015,ABBA,Mahaka Media Tbk.,60,60,59,59,57000
03/02/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6650,6650,6650,6650,0
03/02/2015,ABMM,ABM Investama Tbk.,3000,3000,3000,3000,0
03/02/2015,ACES,Ace Hardware Indonesia Tbk.,850,850,820,830,23352800
03/02/2015,ACST,Acset Indonusa Tbk.,5600,5975,5575,5700,2621000
03/02/2015,ADES,Akasha Wira International Tbk.,1380,1380,1370,1370,40100
03/02/2015,ADHI,Adhi Karya (Persero) Tbk.,2910,2948,2885,2889,19773464
03/02/2015,ADMF,Adira Dinamika Multi Finance Tbk.,6625,6650,6550,6600,17500
03/02/2015,ADMG,Polychem Indonesia Tbk,145,149,145,146,59800
03/02/2015,ADRO,Adaro Energy Tbk.,970,1025,965,1020,210962800
03/02/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,103,104,102,103,565367
03/02/2015,AGRS,Bank Agris Tbk.,135,139,127,135,115500
03/02/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,189,189,189,189,0
03/02/2015,AIMS,Akbar Indo Makmur Stimec Tbk,310,316,310,316,1500
03/02/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2200,2285,2190,2275,9593400
03/02/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
03/02/2015,AKPI,Argha Karya Prima Industry Tbk.,840,840,840,840,0
03/02/2015,AKRA,AKR Corporindo Tbk.,4870,4980,4870,4975,8094400
03/02/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
03/02/2015,ALDO,Alkindo Naratama Tbk.,720,720,720,720,101000
03/02/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
03/02/2015,ALMI,Alumindo Light Metal Industry Tbk.,260,260,245,245,100100
03/02/2015,ALTO,Tri Banyan Tirta Tbk.,353,356,352,353,2467900
03/02/2015,AMAG,Asuransi Multi Artha Guna Tbk.,235,237,235,235,11800
03/02/2015,AMFG,Asahimas Flat Glass Tbk.,7975,8000,7850,7875,39500
03/02/2015,AMRT,Sumber Alfaria Trijaya Tbk.,480,495,470,470,748300
03/02/2015,ANJT,Austindo Nusantara Jaya Tbk.,1170,1170,1170,1170,0
03/02/2015,ANTM,Aneka Tambang (Persero) Tbk.,844,857,844,848,10334736
03/02/2015,APEX,Apexindo Pratama Duta Tbk.,3275,3275,3250,3275,31500
03/02/2015,APIC,Pacific Strategic Financial Tbk.,540,545,540,545,14411200
03/02/2015,APII,Arita Prima Indonesia Tbk.,380,380,380,380,0
03/02/2015,APLI,Asiaplast Industries Tbk.,72,72,71,72,6600
03/02/2015,APLN,Agung Podomoro Land Tbk.,461,461,458,458,4552100
03/02/2015,APOL,Arpeni Pratama Ocean Line Tbk.,67,70,64,66,39898700
03/02/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
03/02/2015,ARII,Atlas Resources Tbk.,413,415,413,415,64400
