<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
05/28/2015,AALI,Astra Agro Lestari Tbk.,26700,27025,26150,26225,973100
05/28/2015,ABBA,Mahaka Media Tbk.,50,50,50,50,500
05/28/2015,ABDA,Asuransi Bina Dana Arta Tbk.,7425,7425,7425,7425,0
05/28/2015,ABMM,ABM Investama Tbk.,2825,2910,2825,2910,2600
05/28/2015,ACES,Ace Hardware Indonesia Tbk.,680,680,665,670,3587800
05/28/2015,ACST,Acset Indonusa Tbk.,4800,4800,4620,4750,452900
05/28/2015,ADES,Akasha Wira International Tbk.,1385,1405,1375,1400,10300
05/28/2015,ADHI,Adhi Karya (Persero) Tbk.,2282,2282,2198,2206,31428853
05/28/2015,ADMF,Adira Dinamika Multi Finance Tbk.,6125,6175,6100,6100,382300
05/28/2015,ADMG,Polychem Indonesia Tbk,126,129,125,125,122200
05/28/2015,ADRO,Adaro Energy Tbk.,905,910,890,900,65621500
05/28/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,98,98,96,97,1152433
05/28/2015,AGRS,Bank Agris Tbk.,132,132,120,132,1100
05/28/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,187,188,187,188,5435
05/28/2015,AIMS,Akbar Indo Makmur Stimec Tbk,420,420,420,420,0
05/28/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,1865,1880,1850,1850,925600
05/28/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
05/28/2015,AKPI,Argha Karya Prima Industry Tbk.,600,600,600,600,0
05/28/2015,AKRA,AKR Corporindo Tbk.,5475,5600,5425,5500,5019600
05/28/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
05/28/2015,ALDO,Alkindo Naratama Tbk.,735,735,735,735,86500
05/28/2015,ALKA,Alakasa Industrindo Tbk,390,480,370,480,1200
05/28/2015,ALMI,Alumindo Light Metal Industry Tbk.,236,236,236,236,100
05/28/2015,ALTO,Tri Banyan Tirta Tbk.,350,350,350,350,0
05/28/2015,AMAG,Asuransi Multi Artha Guna Tbk.,395,395,379,379,9787200
05/28/2015,AMFG,Asahimas Flat Glass Tbk.,7300,7400,7300,7400,121000
05/28/2015,AMRT,Sumber Alfaria Trijaya Tbk.,605,605,570,570,4800
05/28/2015,ANJT,Austindo Nusantara Jaya Tbk.,1200,1200,1200,1200,0
05/28/2015,ANTM,Aneka Tambang (Persero) Tbk.,693,697,676,680,4754814
05/28/2015,APEX,Apexindo Pratama Duta Tbk.,3320,3320,3320,3320,7400
05/28/2015,APIC,Pacific Strategic Financial Tbk.,565,565,565,565,12455500
05/28/2015,APII,Arita Prima Indonesia Tbk.,305,305,305,305,0
05/28/2015,APLI,Asiaplast Industries Tbk.,76,78,76,78,3600
05/28/2015,APLN,Agung Podomoro Land Tbk.,388,391,380,381,7096500
05/28/2015,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
05/28/2015,ARGO,Argo Pantes Tbk,850,850,850,850,0
05/28/2015,ARII,Atlas Resources Tbk.,433,433,433,433,65000
05/28/2015,ARNA,Arwana Citramulia Tbk.,705,705,660,665,351000
05/28/2015,ARTA,Arthavest Tbk,237,237,237,237,0
05/28/2015,ARTI,Ratu Prabu Energi Tbk,174,185,170,181,42202100
05/28/2015,ASBI,Asuransi Bintang Tbk.,475,475,475,475,0
05/28/2015,ASDM,Asuransi Dayin Mitra Tbk.,1000,1000,1000,1000,0
05/28/2015,ASGR,Astra Graphia Tbk.,2105,2205,2105,2150,40600
05/28/2015,ASII,Astra International Tbk.,7425,7475,7350,7375,16165500
05/28/2015,ASJT,Asuransi Jasa Tania Tbk.,140,140,140,140,50000
05/28/2015,ASMI,Asuransi Kresna Mitra Tbk.,790,790,790,790,1071700
05/28/2015,ASRI,Alam Sutera Realty Tbk.,630,630,615,615,20246800
05/28/2015,ASRM,Asuransi Ramayana Tbk.,1300,1330,1300,1330,9500
05/28/2015,ASSA,Adi Sarana Armada Tbk.,154,156,152,152,218000
05/28/2015,ATPK,Bara Jaya Internasional Tbk.,202,202,202,202,10000
05/28/2015,AUTO,Astra Otoparts Tbk.,2920,2920,2910,2910,8600
05/28/2015,BABP,Bank MNC Internasional Tbk.,99,100,97,97,32329850
05/28/2015,BACA,Bank Capital Indonesia Tbk.,201,201,199,200,3938200
05/28/2015,BAEK,Bank Ekonomi Raharja Tbk.,2100,2100,2100,2100,0
05/28/2015,BAJA,Saranacentral Bajatama Tbk.,185,185,182,183,26700
