<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
05/12/2016,AALI,Astra Agro Lestari Tbk.,15500,15800,15425,15675,822000
05/12/2016,ABBA,Mahaka Media Tbk.,50,51,50,50,53200
05/12/2016,ABDA,Asuransi Bina Dana Arta Tbk.,7750,7750,7750,7750,0
05/12/2016,ABMM,ABM Investama Tbk.,2530,2530,2410,2520,26400
05/12/2016,ACES,Ace Hardware Indonesia Tbk.,940,940,910,915,2598500
05/12/2016,ACST,Acset Indonusa Tbk.,3580,3600,3580,3600,688900
05/12/2016,ADES,Akasha Wira International Tbk.,1040,1060,1025,1030,13600
05/12/2016,ADHI,Adhi Karya (Persero) Tbk.,2490,2570,2480,2520,19108500
05/12/2016,ADMF,Adira Dinamika Multi Finance Tbk.,4600,4600,4560,4560,10000
05/12/2016,ADMG,Polychem Indonesia Tbk,107,109,106,107,392800
05/12/2016,ADRO,Adaro Energy Tbk.,685,700,685,695,13931200
05/12/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,170,175,158,168,6169600
05/12/2016,AGRS,Bank Agris Tbk.,97,97,94,94,600
05/12/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,175,175,175,175,500
05/12/2016,AIMS,Akbar Indo Makmur Stimec Tbk,300,300,300,300,0
05/12/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,1170,1220,1150,1180,24114500
05/12/2016,AKKU,Alam Karya Unggul Tbk.,135,135,135,135,200
05/12/2016,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,200
05/12/2016,AKRA,AKR Corporindo Tbk.,6350,6450,6250,6375,11228100
05/12/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
05/12/2016,ALDO,Alkindo Naratama Tbk.,730,735,730,735,60600
05/12/2016,ALKA,Alakasa Industrindo Tbk,160,160,160,160,0
05/12/2016,ALMI,Alumindo Light Metal Industry Tbk.,177,192,177,192,300
05/12/2016,ALTO,Tri Banyan Tirta Tbk.,326,328,326,328,210100
05/12/2016,AMAG,Asuransi Multi Artha Guna Tbk.,348,350,348,350,51400
05/12/2016,AMFG,Asahimas Flat Glass Tbk.,6500,6500,6500,6500,0
05/12/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,130,130,130,130,0
05/12/2016,AMRT,Sumber Alfaria Trijaya Tbk.,600,600,600,600,0
05/12/2016,ANJT,Austindo Nusantara Jaya Tbk.,1790,1790,1790,1790,0
05/12/2016,ANTM,Aneka Tambang (Persero) Tbk.,715,730,705,715,45063400
05/12/2016,APEX,Apexindo Pratama Duta Tbk.,3230,3230,3230,3230,0
05/12/2016,APIC,Pacific Strategic Financial Tbk.,620,625,620,620,1268500
05/12/2016,APII,Arita Prima Indonesia Tbk.,261,261,261,261,0
05/12/2016,APLI,Asiaplast Industries Tbk.,69,70,67,69,158700
05/12/2016,APLN,Agung Podomoro Land Tbk.,244,246,242,242,2432900
05/12/2016,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
05/12/2016,ARGO,Argo Pantes Tbk,900,900,900,900,0
05/12/2016,ARII,Atlas Resources Tbk.,470,470,470,470,0
05/12/2016,ARNA,Arwana Citramulia Tbk.,590,590,575,580,1093300
05/12/2016,ARTA,Arthavest Tbk,240,256,240,256,18100
05/12/2016,ARTI,Ratu Prabu Energi Tbk,204,206,200,204,2220400
