<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
04/11/2016,AALI,Astra Agro Lestari Tbk.,16850,16900,16050,16375,1834900
04/11/2016,ABBA,Mahaka Media Tbk.,50,51,50,50,22000
04/11/2016,ABDA,Asuransi Bina Dana Arta Tbk.,8000,8000,7950,7950,200
04/11/2016,ABMM,ABM Investama Tbk.,2745,2745,2745,2745,0
04/11/2016,ACES,Ace Hardware Indonesia Tbk.,840,840,830,840,3571200
04/11/2016,ACST,Acset Indonusa Tbk.,3600,3600,3600,3600,100
04/11/2016,ADES,Akasha Wira International Tbk.,1040,1040,1035,1035,5800
04/11/2016,ADHI,Adhi Karya (Persero) Tbk.,2765,2780,2715,2735,26678300
04/11/2016,ADMF,Adira Dinamika Multi Finance Tbk.,3215,3230,3150,3190,90600
04/11/2016,ADMG,Polychem Indonesia Tbk,103,105,103,104,735500
04/11/2016,ADRO,Adaro Energy Tbk.,715,715,700,710,50281500
04/11/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,90,90,90,90,218100
04/11/2016,AGRS,Bank Agris Tbk.,100,109,92,92,3500
04/11/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,178,178,178,178,600
04/11/2016,AIMS,Akbar Indo Makmur Stimec Tbk,415,415,381,381,3000
04/11/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,1160,1180,1140,1150,1361700
04/11/2016,AKKU,Alam Karya Unggul Tbk.,154,154,145,145,3800
04/11/2016,AKPI,Argha Karya Prima Industry Tbk.,990,990,990,990,100
04/11/2016,AKRA,AKR Corporindo Tbk.,6750,6775,6500,6600,7627400
04/11/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
04/11/2016,ALDO,Alkindo Naratama Tbk.,735,735,730,730,93000
04/11/2016,ALKA,Alakasa Industrindo Tbk,160,160,160,160,0
04/11/2016,ALMI,Alumindo Light Metal Industry Tbk.,186,189,185,186,368100
04/11/2016,ALTO,Tri Banyan Tirta Tbk.,328,328,325,326,139700
04/11/2016,AMAG,Asuransi Multi Artha Guna Tbk.,369,369,333,333,39400
04/11/2016,AMFG,Asahimas Flat Glass Tbk.,6800,6800,6800,6800,0
04/11/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,119,119,115,115,1400
04/11/2016,AMRT,Sumber Alfaria Trijaya Tbk.,605,605,595,600,17400
04/11/2016,ANJT,Austindo Nusantara Jaya Tbk.,1755,1755,1755,1755,0
04/11/2016,ANTM,Aneka Tambang (Persero) Tbk.,650,685,640,665,211665800
04/11/2016,APEX,Apexindo Pratama Duta Tbk.,3230,3230,3230,3230,0
04/11/2016,APIC,Pacific Strategic Financial Tbk.,640,640,630,635,1194900
04/11/2016,APII,Arita Prima Indonesia Tbk.,261,261,261,261,0
04/11/2016,APLI,Asiaplast Industries Tbk.,70,70,70,70,5600
04/11/2016,APLN,Agung Podomoro Land Tbk.,263,266,257,258,12394000
04/11/2016,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
04/11/2016,ARGO,Argo Pantes Tbk,900,900,900,900,0
04/11/2016,ARII,Atlas Resources Tbk.,404,404,404,404,0
04/11/2016,ARNA,Arwana Citramulia Tbk.,625,635,615,625,3514700
04/11/2016,ARTA,Arthavest Tbk,256,274,256,274,1100
04/11/2016,ARTI,Ratu Prabu Energi Tbk,172,172,170,172,5720700
04/11/2016,ARTO,Bank Artos Indonesia Tbk.,140,143,138,142,181200
04/11/2016,ASBI,Asuransi Bintang Tbk.,450,450,431,449,7700
04/11/2016,ASDM,Asuransi Dayin Mitra Tbk.,1200,1200,1200,1200,1500
04/11/2016,ASGR,Astra Graphia Tbk.,1930,1970,1930,1970,1700
04/11/2016,ASII,Astra International Tbk.,7125,7200,6900,6975,31261500
04/11/2016,ASJT,Asuransi Jasa Tania Tbk.,175,175,175,175,5000
04/11/2016,ASMI,Asuransi Kresna Mitra Tbk.,1450,1455,1450,1455,703200
04/11/2016,ASRI,Alam Sutera Realty Tbk.,386,394,386,389,39282100
04/11/2016,ASRM,Asuransi Ramayana Tbk.,2100,2300,2100,2300,6000
04/11/2016,ASSA,Adi Sarana Armada Tbk.,116,116,114,115,6812800
04/11/2016,ATIC,Anabatic Technologies Tbk.,590,590,575,575,2748600
04/11/2016,ATPK,Bara Jaya Internasional Tbk.,194,194,194,194,0
04/11/2016,AUTO,Astra Otoparts Tbk.,1865,1920,1865,1900,40100
04/11/2016,BABP,Bank MNC Internasional Tbk.,76,78,74,76,7037900
04/11/2016,BACA,Bank Capital Indonesia Tbk.,204,204,203,203,1122400
04/11/2016,BAJA,Saranacentral Bajatama Tbk.,114,115,109,112,269600
04/11/2016,BALI,Bali Towerindo Sentra Tbk.,920,930,920,930,29000
04/11/2016,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,0
04/11/2016,BATA,Sepatu Bata Tbk.,845,845,845,845,400
04/11/2016,BAYU,Bayu Buana Tbk,1035,1035,1035,1035,10100
04/11/2016,BBCA,Bank Central Asia Tbk.,13050,13100,12875,12975,26426100
04/11/2016,BBHI,Bank Harda Internasional Tbk.,105,105,105,105,1000
04/11/2016,BBKP,Bank Bukopin Tbk.,590,590,580,590,3966200
04/11/2016,BBLD,Buana Finance Tbk.,1300,1300,1300,1300,0
04/11/2016,BBMD,Bank Mestika Dharma Tbk.,1555,1555,1555,1555,0
04/11/2016,BBNI,Bank Negara Indonesia (Persero) Tbk.,5225,5275,5025,5075,26048600
04/11/2016,BBNP,Bank Nusantara Parahyangan Tbk.,1860,1860,1860,1860,0
04/11/2016,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10800,10875,10450,10475,28162200
