<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
11/21/2014,AALI,Astra Agro Lestari Tbk.,24750,25225,24525,25100,2335000
11/21/2014,ABBA,Mahaka Media Tbk.,72,72,70,72,46200
11/21/2014,ABDA,Asuransi Bina Dana Arta Tbk.,6025,6025,6025,6025,0
11/21/2014,ABMM,ABM Investama Tbk.,2750,2750,2750,2750,0
11/21/2014,ACES,Ace Hardware Indonesia Tbk.,805,815,805,815,12696200
11/21/2014,ACST,Acset Indonusa Tbk.,3280,3285,3250,3285,359200
11/21/2014,ADES,Akasha Wira International Tbk.,1410,1420,1410,1415,23300
11/21/2014,ADHI,Adhi Karya (Persero) Tbk.,2265,2299,2253,2295,30939915
11/21/2014,ADMF,Adira Dinamika Multi Finance Tbk.,7775,7775,7650,7700,31300
11/21/2014,ADMG,Polychem Indonesia Tbk,163,164,159,164,60200
11/21/2014,ADRO,Adaro Energy Tbk.,1070,1085,1060,1075,69492800
11/21/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,107,109,105,105,3542700
11/21/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,194,203,194,203,99071
11/21/2014,AIMS,Akbar Indo Makmur Stimec Tbk,380,380,372,380,12200
11/21/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2205,2220,2205,2210,1568200
11/21/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
11/21/2014,AKPI,Argha Karya Prima Industry Tbk.,740,740,740,740,0
11/21/2014,AKRA,AKR Corporindo Tbk.,4600,4645,4600,4635,6933400
11/21/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
11/21/2014,ALDO,Alkindo Naratama Tbk.,700,700,695,695,343500
11/21/2014,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
11/21/2014,ALMI,Alumindo Light Metal Industry Tbk.,259,260,256,258,1440100
11/21/2014,ALTO,Tri Banyan Tirta Tbk.,340,341,340,340,241400
11/21/2014,AMAG,Asuransi Multi Artha Guna Tbk.,231,240,229,230,839400
11/21/2014,AMFG,Asahimas Flat Glass Tbk.,7825,7875,7600,7700,66200
11/21/2014,AMRT,Sumber Alfaria Trijaya Tbk.,525,525,520,520,2803500
11/21/2014,ANJT,Austindo Nusantara Jaya Tbk.,1300,1300,1300,1300,0
11/21/2014,ANTM,Aneka Tambang (Persero) Tbk.,806,827,806,823,55652137
11/21/2014,APEX,Apexindo Pratama Duta Tbk.,3480,3480,3475,3480,69900
11/21/2014,APIC,Pacific Strategic Financial Tbk.,540,545,535,540,26104000
11/21/2014,APII,Arita Prima Indonesia Tbk.,440,440,440,440,0
11/21/2014,APLI,Asiaplast Industries Tbk.,83,83,83,83,2000
11/21/2014,APLN,Agung Podomoro Land Tbk.,336,348,336,347,37010900
11/21/2014,APOL,Arpeni Pratama Ocean Line Tbk.,65,70,60,63,111087300
11/21/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
11/21/2014,ARII,Atlas Resources Tbk.,316,335,316,335,108200
11/21/2014,ARNA,Arwana Citramulia Tbk.,905,935,895,930,3458700
11/21/2014,ARTA,Arthavest Tbk,225,225,225,225,0
11/21/2014,ARTI,Ratu Prabu Energi Tbk,100,103,100,101,1756200
11/21/2014,ASBI,Asuransi Bintang Tbk.,950,950,950,950,0
11/21/2014,ASDM,Asuransi Dayin Mitra Tbk.,990,990,990,990,0
11/21/2014,ASGR,Astra Graphia Tbk.,2100,2145,2100,2100,925100
11/21/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
11/21/2014,ASII,Astra International Tbk.,6925,7050,6850,6950,14981800
11/21/2014,ASJT,Asuransi Jasa Tania Tbk.,300,300,300,300,0
11/21/2014,ASMI,Asuransi Kresna Mitra Tbk.,520,525,520,525,1424000
11/21/2014,ASRI,Alam Sutera Realty Tbk.,470,510,469,505,203509500
11/21/2014,ASRM,Asuransi Ramayana Tbk.,1290,1290,1290,1290,0
11/21/2014,ASSA,Adi Sarana Armada Tbk.,174,174,169,173,147000
11/21/2014,ATPK,Bara Jaya Internasional Tbk.,222,224,222,224,1637100
11/21/2014,AUTO,Astra Otoparts Tbk.,3850,3850,3800,3840,10100
11/21/2014,BABP,Bank MNC Internasional Tbk.,109,110,108,109,113067850
11/21/2014,BACA,Bank Capital Indonesia Tbk.,92,92,92,92,100
11/21/2014,BAEK,Bank Ekonomi Raharja Tbk.,1800,1800,1800,1800,0
