<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
10/05/2016,AALI,Astra Agro Lestari Tbk.,15075,15100,14925,15000,1820700
10/05/2016,ABBA,Mahaka Media Tbk.,50,50,50,50,0
10/05/2016,ABDA,Asuransi Bina Dana Arta Tbk.,6800,6800,6800,6800,0
10/05/2016,ABMM,ABM Investama Tbk.,2220,2220,2220,2220,0
10/05/2016,ACES,Ace Hardware Indonesia Tbk.,880,885,860,865,3237200
10/05/2016,ACST,Acset Indonusa Tbk.,2890,3040,2860,3020,973000
10/05/2016,ADES,Akasha Wira International Tbk.,1275,1275,1270,1270,700
10/05/2016,ADHI,Adhi Karya (Persero) Tbk.,2430,2460,2420,2430,17869200
10/05/2016,ADMF,Adira Dinamika Multi Finance Tbk.,6100,6225,6025,6075,11300
10/05/2016,ADMG,Polychem Indonesia Tbk,149,150,138,138,3345700
10/05/2016,ADRO,Adaro Energy Tbk.,1305,1325,1280,1290,32273300
10/05/2016,AGII,Aneka Gas Industri Tbk.,1100,1120,1100,1110,24592600
10/05/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,340,340,320,320,23616900
10/05/2016,AGRS,Bank Agris Tbk.,97,97,89,89,22000
10/05/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,185,185,185,185,0
10/05/2016,AIMS,Akbar Indo Makmur Stimec Tbk,268,268,268,268,0
10/05/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,2060,2120,2060,2090,1399200
10/05/2016,AKKU,Alam Karya Unggul Tbk.,226,226,226,226,1000
10/05/2016,AKPI,Argha Karya Prima Industry Tbk.,860,860,860,860,0
10/05/2016,AKRA,AKR Corporindo Tbk.,6650,6675,6500,6600,1518900
10/05/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
10/05/2016,ALDO,Alkindo Naratama Tbk.,715,715,715,715,0
10/05/2016,ALKA,Alakasa Industrindo Tbk,300,300,300,300,0
10/05/2016,ALMI,Alumindo Light Metal Industry Tbk.,181,181,181,181,0
10/05/2016,ALTO,Tri Banyan Tirta Tbk.,330,330,328,330,234600
10/05/2016,AMAG,Asuransi Multi Artha Guna Tbk.,372,372,350,356,206200
10/05/2016,AMFG,Asahimas Flat Glass Tbk.,7100,7100,6750,6950,4500
10/05/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,164,165,152,163,995200
10/05/2016,AMRT,Sumber Alfaria Trijaya Tbk.,525,525,520,520,4059800
10/05/2016,ANJT,Austindo Nusantara Jaya Tbk.,2000,2000,2000,2000,100
10/05/2016,ANTM,Aneka Tambang (Persero) Tbk.,825,845,790,795,220020500
10/05/2016,APEX,Apexindo Pratama Duta Tbk.,3270,3270,3260,3260,44700
10/05/2016,APIC,Pacific Strategic Financial Tbk.,500,505,496,500,1352700
10/05/2016,APII,Arita Prima Indonesia Tbk.,368,368,368,368,0
10/05/2016,APLI,Asiaplast Industries Tbk.,97,99,94,94,363100
10/05/2016,APLN,Agung Podomoro Land Tbk.,298,298,290,294,10481400
10/05/2016,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
10/05/2016,ARGO,Argo Pantes Tbk,900,900,900,900,0
10/05/2016,ARII,Atlas Resources Tbk.,500,500,500,500,0
10/05/2016,ARNA,Arwana Citramulia Tbk.,600,645,595,635,19720700
10/05/2016,ARTA,Arthavest Tbk,300,300,300,300,0
