<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
08/08/2014,AALI,Astra Agro Lestari Tbk.,26300,26450,26200,26225,1433800
08/08/2014,ABBA,Mahaka Media Tbk.,77,78,76,76,12200
08/08/2014,ABDA,Asuransi Bina Dana Arta Tbk.,4810,4810,4810,4810,4100
08/08/2014,ABMM,ABM Investama Tbk.,2490,2600,2490,2600,9000
08/08/2014,ACES,Ace Hardware Indonesia Tbk.,875,880,860,865,6318800
08/08/2014,ACST,Acset Indonusa Tbk.,2800,2900,2800,2810,169500
08/08/2014,ADES,Akasha Wira International Tbk.,1655,1670,1655,1655,14400
08/08/2014,ADHI,Adhi Karya (Persero) Tbk.,2609,2626,2592,2596,16191830
08/08/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11200,11200,11175,11175,3000
08/08/2014,ADMG,Polychem Indonesia Tbk,203,204,201,201,18000
08/08/2014,ADRO,Adaro Energy Tbk.,1270,1270,1250,1255,31926800
08/08/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,105,106,104,104,990733
08/08/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,188,188,188,188,0
08/08/2014,AIMS,Akbar Indo Makmur Stimec Tbk,441,441,441,441,0
08/08/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2360,2360,2330,2330,2252800
08/08/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
08/08/2014,AKPI,Argha Karya Prima Industry Tbk.,790,790,790,790,0
08/08/2014,AKRA,AKR Corporindo Tbk.,4580,4615,4580,4600,5715600
08/08/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
08/08/2014,ALDO,Alkindo Naratama Tbk.,715,715,705,705,3133900
08/08/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
08/08/2014,ALMI,Alumindo Light Metal Industry Tbk.,345,345,345,345,0
08/08/2014,ALTO,Tri Banyan Tirta Tbk.,359,363,350,359,598600
08/08/2014,AMAG,Asuransi Multi Artha Guna Tbk.,243,243,235,243,59700
08/08/2014,AMFG,Asahimas Flat Glass Tbk.,8500,8500,8250,8250,50200
08/08/2014,AMRT,Sumber Alfaria Trijaya Tbk.,500,505,498,505,30400
08/08/2014,ANJT,Austindo Nusantara Jaya Tbk.,1220,1220,1220,1220,100
08/08/2014,ANTM,Aneka Tambang (Persero) Tbk.,1050,1067,1046,1046,26670735
08/08/2014,APEX,Apexindo Pratama Duta Tbk.,3780,3780,3780,3780,0
08/08/2014,APIC,Pacific Strategic Financial Tbk.,550,550,550,550,19314300
08/08/2014,APII,Arita Prima Indonesia Tbk.,250,250,250,250,9000
08/08/2014,APLI,Asiaplast Industries Tbk.,74,74,74,74,0
08/08/2014,APLN,Agung Podomoro Land Tbk.,339,348,338,348,39067100
08/08/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,100
08/08/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
08/08/2014,ARII,Atlas Resources Tbk.,296,296,296,296,0
08/08/2014,ARNA,Arwana Citramulia Tbk.,1005,1015,995,1005,1490500
08/08/2014,ARTA,Arthavest Tbk,237,237,237,237,200
08/08/2014,ARTI,Ratu Prabu Energi Tbk,163,164,162,164,1762300
08/08/2014,ASBI,Asuransi Bintang Tbk.,640,670,640,670,137300
08/08/2014,ASDM,Asuransi Dayin Mitra Tbk.,890,890,890,890,0
08/08/2014,ASGR,Astra Graphia Tbk.,2225,2225,2195,2195,3800
08/08/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
08/08/2014,ASII,Astra International Tbk.,7650,7650,7550,7550,12435700
08/08/2014,ASJT,Asuransi Jasa Tania Tbk.,300,300,300,300,0
08/08/2014,ASMI,Asuransi Kresna Mitra Tbk.,505,505,495,500,1242700
08/08/2014,ASRI,Alam Sutera Realty Tbk.,535,540,530,535,27320700
08/08/2014,ASRM,Asuransi Ramayana Tbk.,1000,1000,1000,1000,0
08/08/2014,ASSA,Adi Sarana Armada Tbk.,223,223,219,220,1026200
08/08/2014,ATPK,Bara Jaya Internasional Tbk.,262,262,259,260,29793000
08/08/2014,AUTO,Astra Otoparts Tbk.,3905,3940,3905,3940,122800
08/08/2014,BABP,Bank MNC Internasional Tbk.,110,111,109,110,17050950
08/08/2014,BACA,Bank Capital Indonesia Tbk.,99,100,93,93,5200
08/08/2014,BAEK,Bank Ekonomi Raharja Tbk.,1800,1800,1800,1800,0
08/08/2014,BAJA,Saranacentral Bajatama Tbk.,510,510,510,510,0
08/08/2014,BALI,Bali Towerindo Sentra Tbk.,440,442,440,442,63500
08/08/2014,BAPA,Bekasi Asri Pemula Tbk.,53,53,53,53,300
08/08/2014,BATA,Sepatu Bata Tbk.,975,975,975,975,0
08/08/2014,BAYU,Bayu Buana Tbk,605,705,605,615,50800
08/08/2014,BBCA,Bank Central Asia Tbk.,11675,11675,11600,11625,5583700
08/08/2014,BBKP,Bank Bukopin Tbk.,690,705,690,700,2730000
08/08/2014,BBLD,Buana Finance Tbk.,1950,1950,1950,1950,300
08/08/2014,BBMD,Bank Mestika Dharma Tbk.,1485,1485,1480,1485,1070200
08/08/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,5100,5100,5025,5075,12521300
08/08/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1480,1480,1480,1480,0
08/08/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10800,10800,10675,10750,22056200
08/08/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,197,197,197,197,0
08/08/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1130,1130,1100,1105,47049800
08/08/2014,BCAP,MNC Kapital Indonesia Tbk.,899,899,899,899,0
08/08/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
08/08/2014,BCIP,Bumi Citra Permai Tbk.,620,625,620,620,24030200
08/08/2014,BDMN,Bank Danamon Indonesia Tbk.,3820,3820,3780,3785,2878300
08/08/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,85,85,85,85,0
08/08/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,565,575,560,560,4137400
08/08/2014,BFIN,BFI Finance  Indonesia Tbk.,2300,2300,2300,2300,0
08/08/2014,BHIT,MNC Investama Tbk.,369,369,363,365,20027200
08/08/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
08/08/2014,BINA,Bank Ina Perdana Tbk.,255,255,255,255,100
08/08/2014,BIPI,Benakat Integra Tbk.,117,118,116,117,38335000
08/08/2014,BIPP,Bhuwanatala Indah Permai Tbk.,95,96,95,96,52189
08/08/2014,BISI,BISI International Tbk.,515,515,510,515,506600
08/08/2014,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,830,830,810,820,26785900
08/08/2014,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,430,435,424,433,3530500
08/08/2014,BKDP,Bukit Darmo Property Tbk,70,70,70,70,44600
08/08/2014,BKSL,Sentul City Tbk.,127,129,124,124,151753000
08/08/2014,BKSW,Bank QNB Indonesia Tbk.,360,360,360,360,0
08/08/2014,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
08/08/2014,BLTZ,Graha Layar Prima Tbk.,3115,3115,3115,3115,0
08/08/2014,BMAS,Bank Maspion Indonesia Tbk.,340,340,340,340,0
08/08/2014,BMRI,Bank Mandiri (Persero) Tbk.,10150,10225,10150,10200,14995200
08/08/2014,BMSR,Bintang Mitra Semestaraya Tbk,150,150,150,150,0
08/08/2014,BMTR,Global Mediacom Tbk.,1795,1805,1745,1755,27811400
08/08/2014,BNBA,Bank Bumi Arta Tbk.,155,155,155,155,0
08/08/2014,BNBR,Bakrie & Brothers Tbk,50,50,50,50,0
08/08/2014,BNGA,Bank CIMB Niaga Tbk.,985,995,970,990,168300
08/08/2014,BNII,Bank Maybank Indonesia Tbk.,293,297,279,287,6822000
08/08/2014,BNLI,Bank Permata Tbk.,1360,1380,1360,1380,495500
08/08/2014,BORN,Borneo Lumbung Energi & Metal Tbk.,97,97,97,97,0
08/08/2014,BPFI,Batavia Prosperindo Finance Tbk.,473,473,473,473,0
08/08/2014,BPII,Batavia Prosperindo Internasional Tbk.,530,555,530,555,165500
08/08/2014,BRAM,Indo Kordsa Tbk.,3000,3000,3000,3000,9200
08/08/2014,BRAU,Berau Coal Energy Tbk.,108,123,108,114,58076900
08/08/2014,BRMS,Bumi Resources Minerals Tbk.,270,270,265,265,3642900
08/08/2014,BRNA,Berlina Tbk.,700,710,695,710,45500
08/08/2014,BRPT,Barito Pacific Tbk.,286,290,286,289,15900
08/08/2014,BSDE,Bumi Serpong Damai Tbk.,1595,1600,1575,1600,10259300
08/08/2014,BSIM,Bank Sinarmas Tbk.,281,281,279,280,477100
08/08/2014,BSSR,Baramulti Suksessarana Tbk.,1680,1685,1680,1685,5400
08/08/2014,BSWD,Bank Of India Indonesia Tbk.,5417,5417,5417,5417,0
08/08/2014,BTEK,Bumi Teknokultura Unggul Tbk,1425,1425,1385,1385,1600100
08/08/2014,BTEL,Bakrie Telecom Tbk.,50,50,50,50,0
