<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
06/09/2014,AALI,Astra Agro Lestari Tbk.,26950,27125,26050,26250,1229300
06/09/2014,ABBA,Mahaka Media Tbk.,82,89,82,83,50600
06/09/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5500,5500,5500,5500,0
06/09/2014,ABMM,ABM Investama Tbk.,3150,3150,3150,3150,0
06/09/2014,ACES,Ace Hardware Indonesia Tbk.,860,860,820,845,18369100
06/09/2014,ACST,Acset Indonusa Tbk.,2330,2330,2315,2315,235400
06/09/2014,ADES,Akasha Wira International Tbk.,1865,1865,1835,1835,76100
06/09/2014,ADHI,Adhi Karya (Persero) Tbk.,2524,2545,2418,2427,37186830
06/09/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11600,11600,11425,11475,10500
06/09/2014,ADMG,Polychem Indonesia Tbk,191,191,187,187,560500
06/09/2014,ADRO,Adaro Energy Tbk.,1335,1340,1265,1280,51211400
06/09/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,105,105,103,103,1020600
06/09/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,180,180,180,180,0
06/09/2014,AIMS,Akbar Indo Makmur Stimec Tbk,405,445,390,440,133000
06/09/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2555,2575,2380,2405,12150000
06/09/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
06/09/2014,AKPI,Argha Karya Prima Industry Tbk.,790,790,790,790,0
06/09/2014,AKRA,AKR Corporindo Tbk.,4310,4315,4245,4260,11158600
06/09/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
06/09/2014,ALDO,Alkindo Naratama Tbk.,680,680,670,670,4564500
06/09/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
06/09/2014,ALMI,Alumindo Light Metal Industry Tbk.,360,360,360,360,0
06/09/2014,ALTO,Tri Banyan Tirta Tbk.,540,540,540,540,0
06/09/2014,AMAG,Asuransi Multi Artha Guna Tbk.,245,245,240,240,412100
06/09/2014,AMFG,Asahimas Flat Glass Tbk.,7100,7100,7100,7100,0
06/09/2014,AMRT,Sumber Alfaria Trijaya Tbk.,510,510,510,510,10200
06/09/2014,ANJT,Austindo Nusantara Jaya Tbk.,1500,1500,1500,1500,0
06/09/2014,ANTM,Aneka Tambang (Persero) Tbk.,991,1000,962,962,26436601
06/09/2014,APEX,Apexindo Pratama Duta Tbk.,3880,3880,3865,3865,40000
06/09/2014,APIC,Pacific Strategic Financial Tbk.,530,530,520,525,35895700
06/09/2014,APII,Arita Prima Indonesia Tbk.,250,257,250,256,19600
06/09/2014,APLI,Asiaplast Industries Tbk.,68,68,58,58,636800
06/09/2014,APLN,Agung Podomoro Land Tbk.,269,271,264,265,21530300
06/09/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,100
06/09/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
06/09/2014,ARII,Atlas Resources Tbk.,690,695,690,690,4300300
06/09/2014,ARNA,Arwana Citramulia Tbk.,995,995,960,985,2359300
06/09/2014,ARTA,Arthavest Tbk,244,244,244,244,0
06/09/2014,ARTI,Ratu Prabu Energi Tbk,198,203,194,203,6765600
06/09/2014,ASBI,Asuransi Bintang Tbk.,500,500,500,500,10000
06/09/2014,ASDM,Asuransi Dayin Mitra Tbk.,805,805,805,805,0
06/09/2014,ASGR,Astra Graphia Tbk.,2125,2150,2125,2125,247000
06/09/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
06/09/2014,ASII,Astra International Tbk.,7250,7275,7175,7225,22738200
06/09/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
06/09/2014,ASMI,Asuransi Kresna Mitra Tbk.,477,478,476,477,1341200
06/09/2014,ASRI,Alam Sutera Realty Tbk.,488,490,467,468,58048900
06/09/2014,ASRM,Asuransi Ramayana Tbk.,1300,1300,1300,1300,0
06/09/2014,ASSA,Adi Sarana Armada Tbk.,273,273,263,263,354000
06/09/2014,ATPK,Bara Jaya Internasional Tbk.,225,230,210,230,650000
06/09/2014,AUTO,Astra Otoparts Tbk.,3700,3700,3635,3640,53400
06/09/2014,BABP,Bank MNC Internasional Tbk.,127,129,126,126,1715287
06/09/2014,BACA,Bank Capital Indonesia Tbk.,94,95,92,95,59200
06/09/2014,BAEK,Bank Ekonomi Raharja Tbk.,1600,1600,1600,1600,0
06/09/2014,BAJA,Saranacentral Bajatama Tbk.,1645,1655,1635,1640,2017800
06/09/2014,BALI,Bali Towerindo Sentra Tbk.,540,540,498,498,1352500
