<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
01/13/2015,AALI,Astra Agro Lestari Tbk.,25800,25975,25700,25900,1146300
01/13/2015,ABBA,Mahaka Media Tbk.,62,62,58,61,358200
01/13/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6250,6250,6250,6250,0
01/13/2015,ABMM,ABM Investama Tbk.,2700,2700,2700,2700,0
01/13/2015,ACES,Ace Hardware Indonesia Tbk.,755,770,755,760,16344300
01/13/2015,ACST,Acset Indonusa Tbk.,3680,3695,3680,3695,9700
01/13/2015,ADES,Akasha Wira International Tbk.,1560,1560,1495,1500,327300
01/13/2015,ADHI,Adhi Karya (Persero) Tbk.,3029,3067,3025,3033,18226306
01/13/2015,ADMF,Adira Dinamika Multi Finance Tbk.,7125,7150,7025,7100,47900
01/13/2015,ADMG,Polychem Indonesia Tbk,153,156,152,155,3098200
01/13/2015,ADRO,Adaro Energy Tbk.,990,1000,960,965,88452200
01/13/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,105,107,105,105,2272900
01/13/2015,AGRS,Bank Agris Tbk.,142,146,140,143,406100
01/13/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,216,216,216,216,0
01/13/2015,AIMS,Akbar Indo Makmur Stimec Tbk,450,450,450,450,0
01/13/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2125,2130,2085,2110,2140600
01/13/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
01/13/2015,AKPI,Argha Karya Prima Industry Tbk.,900,900,900,900,0
01/13/2015,AKRA,AKR Corporindo Tbk.,4625,4625,4550,4585,8323200
01/13/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
01/13/2015,ALDO,Alkindo Naratama Tbk.,720,735,720,730,1402700
01/13/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
01/13/2015,ALMI,Alumindo Light Metal Industry Tbk.,260,260,260,260,100
01/13/2015,ALTO,Tri Banyan Tirta Tbk.,347,347,340,345,660700
01/13/2015,AMAG,Asuransi Multi Artha Guna Tbk.,236,241,236,241,576500
01/13/2015,AMFG,Asahimas Flat Glass Tbk.,8000,8100,7950,8100,1195300
01/13/2015,AMRT,Sumber Alfaria Trijaya Tbk.,486,486,485,486,757000
01/13/2015,ANJT,Austindo Nusantara Jaya Tbk.,1325,1325,1325,1325,0
01/13/2015,ANTM,Aneka Tambang (Persero) Tbk.,916,932,903,911,20667316
01/13/2015,APEX,Apexindo Pratama Duta Tbk.,3300,3300,3300,3300,0
01/13/2015,APIC,Pacific Strategic Financial Tbk.,555,560,555,560,22624200
01/13/2015,APII,Arita Prima Indonesia Tbk.,430,430,430,430,100
01/13/2015,APLI,Asiaplast Industries Tbk.,86,86,85,85,7500
01/13/2015,APLN,Agung Podomoro Land Tbk.,420,430,418,424,64972100
01/13/2015,APOL,Arpeni Pratama Ocean Line Tbk.,91,94,88,89,113509900
01/13/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
01/13/2015,ARII,Atlas Resources Tbk.,379,390,368,390,84200
01/13/2015,ARNA,Arwana Citramulia Tbk.,865,870,855,865,730900
01/13/2015,ARTA,Arthavest Tbk,292,292,292,292,100
01/13/2015,ARTI,Ratu Prabu Energi Tbk,110,123,108,115,12342800
01/13/2015,ASBI,Asuransi Bintang Tbk.,850,850,850,850,0
01/13/2015,ASDM,Asuransi Dayin Mitra Tbk.,1150,1150,1150,1150,0
01/13/2015,ASGR,Astra Graphia Tbk.,1855,1860,1850,1860,380400
01/13/2015,ASII,Astra International Tbk.,7050,7175,7025,7175,23876900
01/13/2015,ASJT,Asuransi Jasa Tania Tbk.,158,160,156,157,2591600
01/13/2015,ASMI,Asuransi Kresna Mitra Tbk.,570,575,570,575,1622000
01/13/2015,ASRI,Alam Sutera Realty Tbk.,590,600,585,590,34685500
01/13/2015,ASRM,Asuransi Ramayana Tbk.,1285,1285,1285,1285,0
01/13/2015,ASSA,Adi Sarana Armada Tbk.,135,136,134,135,11346500
01/13/2015,ATPK,Bara Jaya Internasional Tbk.,208,208,200,208,474200
01/13/2015,AUTO,Astra Otoparts Tbk.,3830,3830,3755,3755,99500
01/13/2015,BABP,Bank MNC Internasional Tbk.,93,99,93,98,96964700
01/13/2015,BACA,Bank Capital Indonesia Tbk.,88,88,88,88,5300
01/13/2015,BAEK,Bank Ekonomi Raharja Tbk.,1800,1800,1800,1800,0
01/13/2015,BAJA,Saranacentral Bajatama Tbk.,276,280,270,270,994400
01/13/2015,BALI,Bali Towerindo Sentra Tbk.,416,416,416,416,0
01/13/2015,BAPA,Bekasi Asri Pemula Tbk.,51,51,50,51,100800
01/13/2015,BATA,Sepatu Bata Tbk.,1170,1170,1170,1170,0
01/13/2015,BAYU,Bayu Buana Tbk,1000,1000,1000,1000,100
01/13/2015,BBCA,Bank Central Asia Tbk.,13050,13050,12975,13000,7204800
01/13/2015,BBKP,Bank Bukopin Tbk.,750,755,745,755,2413700
01/13/2015,BBLD,Buana Finance Tbk.,755,755,755,755,100
01/13/2015,BBMD,Bank Mestika Dharma Tbk.,1595,1595,1595,1595,0
01/13/2015,BBNI,Bank Negara Indonesia (Persero) Tbk.,6075,6175,6075,6150,16151400
01/13/2015,BBNP,Bank Nusantara Parahyangan Tbk.,2310,2310,2310,2310,0
01/13/2015,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,11700,11850,11700,11825,15770400
01/13/2015,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,197,197,189,190,18700
