<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
10/11/2016,AALI,Astra Agro Lestari Tbk.,15175,15300,15100,15125,1689700
10/11/2016,ABBA,Mahaka Media Tbk.,50,50,50,50,200
10/11/2016,ABDA,Asuransi Bina Dana Arta Tbk.,7200,7200,7200,7200,0
10/11/2016,ABMM,ABM Investama Tbk.,2330,2430,2230,2430,182900
10/11/2016,ACES,Ace Hardware Indonesia Tbk.,850,855,840,850,4171200
10/11/2016,ACST,Acset Indonusa Tbk.,2970,2970,2920,2940,95100
10/11/2016,ADES,Akasha Wira International Tbk.,1270,1270,1270,1270,1000
10/11/2016,ADHI,Adhi Karya (Persero) Tbk.,2380,2400,2330,2340,16395900
10/11/2016,ADMF,Adira Dinamika Multi Finance Tbk.,6125,6175,6125,6150,89100
10/11/2016,ADMG,Polychem Indonesia Tbk,141,141,136,140,218800
10/11/2016,ADRO,Adaro Energy Tbk.,1400,1415,1375,1400,53416100
10/11/2016,AGII,Aneka Gas Industri Tbk.,1120,1165,1120,1145,26567900
10/11/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,320,330,316,320,14920200
10/11/2016,AGRS,Bank Agris Tbk.,93,93,93,93,100
10/11/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,199,220,199,200,682900
10/11/2016,AIMS,Akbar Indo Makmur Stimec Tbk,268,268,268,268,0
10/11/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,2040,2050,2000,2050,898300
10/11/2016,AKKU,Alam Karya Unggul Tbk.,270,270,230,230,1600
10/11/2016,AKPI,Argha Karya Prima Industry Tbk.,860,860,860,860,0
10/11/2016,AKRA,AKR Corporindo Tbk.,6450,6450,6375,6400,4167800
10/11/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
10/11/2016,ALDO,Alkindo Naratama Tbk.,715,715,715,715,0
10/11/2016,ALKA,Alakasa Industrindo Tbk,300,300,300,300,0
10/11/2016,ALMI,Alumindo Light Metal Industry Tbk.,179,182,179,180,6900
10/11/2016,ALTO,Tri Banyan Tirta Tbk.,328,330,328,330,194600
10/11/2016,AMAG,Asuransi Multi Artha Guna Tbk.,390,412,366,366,2163300
10/11/2016,AMFG,Asahimas Flat Glass Tbk.,7000,7100,7000,7075,13000
10/11/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,200,216,180,210,1395500
10/11/2016,AMRT,Sumber Alfaria Trijaya Tbk.,515,515,505,510,947500
10/11/2016,ANJT,Austindo Nusantara Jaya Tbk.,1990,1990,1990,1990,0
10/11/2016,ANTM,Aneka Tambang (Persero) Tbk.,800,835,790,830,378940600
10/11/2016,APEX,Apexindo Pratama Duta Tbk.,3270,3280,3270,3270,62200
10/11/2016,APIC,Pacific Strategic Financial Tbk.,208,212,197,212,5081600
10/11/2016,APII,Arita Prima Indonesia Tbk.,366,366,366,366,0
10/11/2016,APLI,Asiaplast Industries Tbk.,98,99,96,96,207400
10/11/2016,APLN,Agung Podomoro Land Tbk.,284,288,282,284,13816700
10/11/2016,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
10/11/2016,ARGO,Argo Pantes Tbk,900,900,900,900,0
10/11/2016,ARII,Atlas Resources Tbk.,500,500,500,500,0
10/11/2016,ARNA,Arwana Citramulia Tbk.,615,620,605,615,569800
10/11/2016,ARTA,Arthavest Tbk,300,300,300,300,0
10/11/2016,ARTI,Ratu Prabu Energi Tbk,55,55,55,55,0
10/11/2016,ARTO,Bank Artos Indonesia Tbk.,150,150,147,147,9700
10/11/2016,ASBI,Asuransi Bintang Tbk.,380,404,360,392,4500
10/11/2016,ASDM,Asuransi Dayin Mitra Tbk.,945,945,945,945,0
10/11/2016,ASGR,Astra Graphia Tbk.,2050,2050,2050,2050,0
10/11/2016,ASII,Astra International Tbk.,8300,8400,8250,8325,43085200
10/11/2016,ASJT,Asuransi Jasa Tania Tbk.,240,240,240,240,10400
10/11/2016,ASMI,Asuransi Kresna Mitra Tbk.,446,468,446,468,7136500
