<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
07/15/2016,AALI,Astra Agro Lestari Tbk.,14475,14900,14425,14800,4065700
07/15/2016,ABBA,Mahaka Media Tbk.,50,50,50,50,500
07/15/2016,ABDA,Asuransi Bina Dana Arta Tbk.,7100,7100,7100,7100,0
07/15/2016,ABMM,ABM Investama Tbk.,2590,2590,2590,2590,2500
07/15/2016,ACES,Ace Hardware Indonesia Tbk.,970,985,960,970,4362400
07/15/2016,ACST,Acset Indonusa Tbk.,3130,3150,3100,3100,343000
07/15/2016,ADES,Akasha Wira International Tbk.,1300,1410,1300,1350,53400
07/15/2016,ADHI,Adhi Karya (Persero) Tbk.,2840,2850,2810,2810,13325400
07/15/2016,ADMF,Adira Dinamika Multi Finance Tbk.,4470,4650,4470,4500,352800
07/15/2016,ADMG,Polychem Indonesia Tbk,129,140,129,139,6872700
07/15/2016,ADRO,Adaro Energy Tbk.,1045,1060,995,995,84782600
07/15/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,458,458,458,458,0
07/15/2016,AGRS,Bank Agris Tbk.,112,113,112,113,8400
07/15/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,195,195,190,195,1000
07/15/2016,AIMS,Akbar Indo Makmur Stimec Tbk,302,302,302,302,0
07/15/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,1920,2030,1900,1960,7514000
07/15/2016,AKKU,Alam Karya Unggul Tbk.,350,350,350,350,0
07/15/2016,AKPI,Argha Karya Prima Industry Tbk.,820,820,820,820,0
07/15/2016,AKRA,AKR Corporindo Tbk.,6525,6625,6475,6550,5505000
07/15/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
07/15/2016,ALDO,Alkindo Naratama Tbk.,730,730,730,730,41000
07/15/2016,ALKA,Alakasa Industrindo Tbk,160,160,160,160,0
07/15/2016,ALMI,Alumindo Light Metal Industry Tbk.,188,188,184,184,12700
07/15/2016,ALTO,Tri Banyan Tirta Tbk.,330,336,328,336,208000
07/15/2016,AMAG,Asuransi Multi Artha Guna Tbk.,346,352,346,346,332300
07/15/2016,AMFG,Asahimas Flat Glass Tbk.,7000,7000,7000,7000,0
07/15/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,180,200,180,200,600
07/15/2016,AMRT,Sumber Alfaria Trijaya Tbk.,580,595,580,590,309300
07/15/2016,ANJT,Austindo Nusantara Jaya Tbk.,1790,1790,1790,1790,0
07/15/2016,ANTM,Aneka Tambang (Persero) Tbk.,775,805,775,780,106108800
07/15/2016,APEX,Apexindo Pratama Duta Tbk.,3280,3280,3280,3280,9500
07/15/2016,APIC,Pacific Strategic Financial Tbk.,615,620,615,620,1324300
07/15/2016,APII,Arita Prima Indonesia Tbk.,214,214,214,214,0
07/15/2016,APLI,Asiaplast Industries Tbk.,74,75,73,74,398700
07/15/2016,APLN,Agung Podomoro Land Tbk.,266,270,258,258,12936800
07/15/2016,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
07/15/2016,ARGO,Argo Pantes Tbk,900,900,900,900,0
07/15/2016,ARII,Atlas Resources Tbk.,500,500,500,500,0
07/15/2016,ARNA,Arwana Citramulia Tbk.,625,625,620,625,2204200
07/15/2016,ARTA,Arthavest Tbk,268,268,268,268,0
07/15/2016,ARTI,Ratu Prabu Energi Tbk,177,178,170,172,2282700
07/15/2016,ARTO,Bank Artos Indonesia Tbk.,152,152,152,152,0
07/15/2016,ASBI,Asuransi Bintang Tbk.,575,590,575,590,1100
07/15/2016,ASDM,Asuransi Dayin Mitra Tbk.,940,940,940,940,0
07/15/2016,ASGR,Astra Graphia Tbk.,2050,2060,2050,2060,2600
07/15/2016,ASII,Astra International Tbk.,7050,7175,6975,7100,59396300
07/15/2016,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
07/15/2016,ASMI,Asuransi Kresna Mitra Tbk.,1945,1970,1800,1920,2788500
07/15/2016,ASRI,Alam Sutera Realty Tbk.,496,498,480,484,58274000
07/15/2016,ASRM,Asuransi Ramayana Tbk.,3100,3100,3100,3100,0
07/15/2016,ASSA,Adi Sarana Armada Tbk.,125,167,125,167,84741800
07/15/2016,ATIC,Anabatic Technologies Tbk.,600,605,595,605,1500
07/15/2016,ATPK,Bara Jaya Internasional Tbk.,194,194,194,194,0
