<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
05/14/2014,AALI,Astra Agro Lestari Tbk.,28500,28975,28500,28775,1588100
05/14/2014,ABBA,Mahaka Media Tbk.,85,85,85,85,300
05/14/2014,ABDA,Asuransi Bina Dana Arta Tbk.,4750,4800,4750,4800,200
05/14/2014,ABMM,ABM Investama Tbk.,2925,2925,2925,2925,0
05/14/2014,ACES,Ace Hardware Indonesia Tbk.,875,890,865,870,14163300
05/14/2014,ACST,Acset Indonusa Tbk.,2350,2400,2340,2340,291900
05/14/2014,ADES,Akasha Wira International Tbk.,1925,1985,1920,1965,262700
05/14/2014,ADHI,Adhi Karya (Persero) Tbk.,2766,2821,2766,2774,86276351
05/14/2014,ADMF,Adira Dinamika Multi Finance Tbk.,10050,10275,10050,10275,22800
05/14/2014,ADMG,Polychem Indonesia Tbk,198,198,196,197,495500
05/14/2014,ADRO,Adaro Energy Tbk.,1230,1250,1210,1235,94556500
05/14/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,112,115,110,111,1492167
05/14/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,197,197,197,197,988
05/14/2014,AIMS,Akbar Indo Makmur Stimec Tbk,348,348,340,345,6800
05/14/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2325,2375,2325,2365,5375600
05/14/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
05/14/2014,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,0
05/14/2014,AKRA,AKR Corporindo Tbk.,4650,4715,4650,4710,14360200
05/14/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
05/14/2014,ALDO,Alkindo Naratama Tbk.,670,680,670,675,3906200
05/14/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
05/14/2014,ALMI,Alumindo Light Metal Industry Tbk.,366,366,350,350,13300
05/14/2014,ALTO,Tri Banyan Tirta Tbk.,540,540,540,540,0
05/14/2014,AMAG,Asuransi Multi Artha Guna Tbk.,246,257,246,250,13600
05/14/2014,AMFG,Asahimas Flat Glass Tbk.,7000,7200,6775,7200,36900
05/14/2014,AMRT,Sumber Alfaria Trijaya Tbk.,499,500,499,500,3241100
05/14/2014,ANJT,Austindo Nusantara Jaya Tbk.,1595,1595,1595,1595,0
05/14/2014,ANTM,Aneka Tambang (Persero) Tbk.,1050,1071,1046,1058,48559960
05/14/2014,APEX,Apexindo Pratama Duta Tbk.,4175,4180,4145,4145,104800
05/14/2014,APIC,Pacific Strategic Financial Tbk.,510,510,500,505,24890100
05/14/2014,APII,Arita Prima Indonesia Tbk.,258,265,258,260,220400
05/14/2014,APLI,Asiaplast Industries Tbk.,71,72,66,66,16700
05/14/2014,APLN,Agung Podomoro Land Tbk.,282,285,279,280,41774500
05/14/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,0
05/14/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
05/14/2014,ARII,Atlas Resources Tbk.,700,700,695,700,3174700
05/14/2014,ARNA,Arwana Citramulia Tbk.,1025,1025,1005,1005,1660100
05/14/2014,ARTA,Arthavest Tbk,230,230,219,226,3500
05/14/2014,ARTI,Ratu Prabu Energi Tbk,206,219,203,216,23708200
05/14/2014,ASBI,Asuransi Bintang Tbk.,490,490,490,490,10000
05/14/2014,ASDM,Asuransi Dayin Mitra Tbk.,810,810,810,810,0
05/14/2014,ASGR,Astra Graphia Tbk.,2150,2200,2140,2195,842200
05/14/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
05/14/2014,ASII,Astra International Tbk.,7500,7600,7425,7575,51446300
05/14/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
05/14/2014,ASMI,Asuransi Kresna Mitra Tbk.,478,480,478,478,2205100
05/14/2014,ASRI,Alam Sutera Realty Tbk.,535,545,530,540,92745300
05/14/2014,ASRM,Asuransi Ramayana Tbk.,1005,1005,1005,1005,26000
05/14/2014,ASSA,Adi Sarana Armada Tbk.,298,299,298,298,366300
05/14/2014,ATPK,Bara Jaya Internasional Tbk.,229,234,229,234,76000
05/14/2014,AUTO,Astra Otoparts Tbk.,3980,3980,3945,3950,132200
05/14/2014,BABP,Bank MNC Internasional Tbk.,133,136,133,135,3006168
05/14/2014,BACA,Bank Capital Indonesia Tbk.,98,98,98,98,600
05/14/2014,BAEK,Bank Ekonomi Raharja Tbk.,1500,1500,1500,1500,0
05/14/2014,BAJA,Saranacentral Bajatama Tbk.,1645,1665,1640,1640,9708600
05/14/2014,BALI,Bali Towerindo Sentra Tbk.,420,453,400,449,2310500
05/14/2014,BAPA,Bekasi Asri Pemula Tbk.,58,58,58,58,100
05/14/2014,BATA,Sepatu Bata Tbk.,975,975,975,975,100
05/14/2014,BAYU,Bayu Buana Tbk,600,600,560,575,30800
05/14/2014,BBCA,Bank Central Asia Tbk.,11300,11500,11200,11350,20836900
05/14/2014,BBKP,Bank Bukopin Tbk.,640,645,635,635,5129500
05/14/2014,BBLD,Buana Finance Tbk.,1000,1000,1000,1000,200
05/14/2014,BBMD,Bank Mestika Dharma Tbk.,1595,1600,1590,1590,4030300
05/14/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,4870,4965,4865,4960,76451700
05/14/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1480,1480,1480,1480,0
05/14/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10100,10575,10075,10575,48112600
05/14/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,138,138,138,138,6651
05/14/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1090,1115,1080,1105,62580700
05/14/2014,BCAP,MNC Kapital Indonesia Tbk.,958,1007,914,993,4454323
05/14/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
05/14/2014,BCIP,Bumi Citra Permai Tbk.,575,585,575,575,11051300
05/14/2014,BDMN,Bank Danamon Indonesia Tbk.,4360,4365,4280,4300,3092300
05/14/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,86,86,86,86,100
05/14/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,505,530,505,515,55362200
05/14/2014,BFIN,BFI Finance  Indonesia Tbk.,2450,2475,2400,2475,60500
05/14/2014,BHIT,MNC Investama Tbk.,313,314,312,313,16096400
05/14/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
05/14/2014,BINA,Bank Ina Perdana Tbk.,260,260,260,260,800
05/14/2014,BIPI,Benakat Integra Tbk.,134,135,131,132,26968700
05/14/2014,BIPP,Bhuwanatala Indah Permai Tbk.,99,99,95,99,80707
05/14/2014,BISI,BISI International Tbk.,610,615,610,610,841600
05/14/2014,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,905,920,900,905,41783400
05/14/2014,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,415,419,413,418,31893800
05/14/2014,BKDP,Bukit Darmo Property Tbk,67,70,67,69,59900
05/14/2014,BKSL,Sentul City Tbk.,154,159,154,154,176913300
05/14/2014,BKSW,Bank QNB Indonesia Tbk.,409,409,409,409,0
05/14/2014,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
05/14/2014,BLTZ,Graha Layar Prima Tbk.,3200,3200,3200,3200,0
05/14/2014,BMAS,Bank Maspion Indonesia Tbk.,300,300,300,300,10500
05/14/2014,BMRI,Bank Mandiri (Persero) Tbk.,10100,10350,10075,10325,54952100
05/14/2014,BMSR,Bintang Mitra Semestaraya Tbk,180,180,180,180,0
05/14/2014,BMTR,Global Mediacom Tbk.,2245,2280,2245,2280,27606300
05/14/2014,BNBA,Bank Bumi Arta Tbk.,179,179,179,179,0
05/14/2014,BNBR,Bakrie & Brothers Tbk,50,50,50,50,570000
05/14/2014,BNGA,Bank CIMB Niaga Tbk.,1030,1050,1030,1040,167200
05/14/2014,BNII,Bank Maybank Indonesia Tbk.,302,303,299,299,5877000
05/14/2014,BNLI,Bank Permata Tbk.,1350,1355,1305,1345,121800
05/14/2014,BORN,Borneo Lumbung Energi & Metal Tbk.,115,121,115,118,11506700
05/14/2014,BPFI,Batavia Prosperindo Finance Tbk.,416,416,416,416,0
05/14/2014,BRAM,Indo Kordsa Tbk.,2500,2500,2500,2500,11000
05/14/2014,BRAU,Berau Coal Energy Tbk.,122,131,122,125,23937600
05/14/2014,BRMS,Bumi Resources Minerals Tbk.,215,223,214,214,32038100
05/14/2014,BRNA,Berlina Tbk.,600,610,585,590,1717200
05/14/2014,BRPT,Barito Pacific Tbk.,302,302,300,302,362100
05/14/2014,BSDE,Bumi Serpong Damai Tbk.,1580,1610,1575,1600,29334800
05/14/2014,BSIM,Bank Sinarmas Tbk.,273,273,270,270,200
05/14/2014,BSSR,Baramulti Suksessarana Tbk.,1890,1890,1890,1890,0
05/14/2014,BSWD,Bank Of India Indonesia Tbk.,4556,4556,4556,4556,0
05/14/2014,BTEK,Bumi Teknokultura Unggul Tbk,1235,1235,1230,1235,3890500
05/14/2014,BTEL,Bakrie Telecom Tbk.,50,50,50,50,6400
05/14/2014,BTON,Betonjaya Manunggal Tbk.,590,590,580,580,63700
05/14/2014,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,4145,4150,4140,4140,497000
05/14/2014,BUDI,Budi Starch & Sweetener Tbk.,123,125,123,123,355400
05/14/2014,BULL,Buana Listya Tama Tbk.,400,400,400,400,0
05/14/2014,BUMI,Bumi Resources Tbk.,247,272,247,266,477372339
05/14/2014,BUVA,Bukit Uluwatu Villa Tbk.,630,630,630,630,10400
05/14/2014,BVIC,Bank Victoria International Tbk.,126,128,126,126,484800
05/14/2014,BWPT,Eagle High Plantations Tbk.,1139,1151,1118,1131,23079467
05/14/2014,BYAN,Bayan Resources Tbk.,8000,8000,7975,7975,1100
05/14/2014,CANI,Capitol Nusantara Indonesia Tbk.,259,259,259,259,0
05/14/2014,CASS,Cardig Aero Services Tbk.,960,960,935,935,3300
05/14/2014,CEKA,Wilmar Cahaya Indonesia Tbk.,1300,1325,1233,1248,488600
05/14/2014,CENT,Centratama Telekomunikasi Indonesia Tbk.,194,194,190,193,1989400
05/14/2014,CFIN,Clipan Finance Indonesia Tbk.,408,409,405,405,863400
05/14/2014,CITA,Cita Mineral Investindo Tbk.,940,940,940,940,0
05/14/2014,CKRA,Cakra Mineral Tbk.,185,185,185,185,0
05/14/2014,CLPI,Colorpak Indonesia Tbk.,775,790,755,765,176300
05/14/2014,CMNP,Citra Marga Nusaphala Persada Tbk.,2796,2796,2796,2796,0
05/14/2014,CMPP,Rimau Multi Putra Pratama Tbk.,118,118,118,118,400
05/14/2014,CNKO,Exploitasi Energi Indonesia Tbk.,200,202,198,198,36806900
05/14/2014,CNTB,Saham Seri B ( Centex Tbk ),5000,5000,5000,5000,0
05/14/2014,CNTX,Century Textile Industry Tbk.,8800,8800,8800,8800,0
05/14/2014,COWL,Cowell Development Tbk.,595,600,585,585,23222000
05/14/2014,CPGT,Citra Maharlika Nusantara Corpora Tbk.,114,121,113,114,23717400
05/14/2014,CPIN,Charoen Pokphand Indonesia Tbk,3900,3940,3885,3940,11405900
05/14/2014,CPRO,Central Proteina Prima Tbk.,50,50,50,50,10000
05/14/2014,CSAP,Catur Sentosa Adiprana Tbk.,264,267,259,266,2539700
05/14/2014,CTBN,Citra Tubindo Tbk.,5200,5200,5200,5200,0
05/14/2014,CTRA,Ciputra Development Tbk.,1075,1125,1065,1120,56099900
05/14/2014,CTRP,Ciputra Property Tbk.,740,760,735,755,6708500
05/14/2014,CTRS,Ciputra Surya Tbk.,2550,2600,2550,2600,1809400
05/14/2014,CTTH,Citatah Tbk.,71,73,71,71,2124900
05/14/2014,DAJK,Dwi Aneka Jaya Kemasindo Tbk.,480,520,475,520,59023400
05/14/2014,DART,Duta Anggada Realty Tbk.,620,635,600,625,34900
05/14/2014,DAVO,Davomas Abadi Tbk,50,50,50,50,0
05/14/2014,DEFI,Danasupra Erapacific Tbk,1170,1170,1170,1170,0
05/14/2014,DEWA,Darma Henwa Tbk,50,50,50,50,2900
05/14/2014,DGIK,Nusa Konstruksi Enjiniring Tbk.,144,149,143,148,1199200
05/14/2014,DILD,Intiland Development Tbk.,475,485,474,480,56783200
05/14/2014,DKFT,Central Omega Resources Tbk.,397,397,397,397,0
05/14/2014,DLTA,Delta Djakarta Tbk.,370000,370000,370000,370000,0
05/14/2014,DNET,Indoritel Makmur Internasional Tbk.,780,785,770,775,564700
05/14/2014,DOID,Delta Dunia Makmur Tbk.,192,194,184,188,59420500
05/14/2014,DPNS,Duta Pertiwi Nusantara Tbk.,414,415,403,415,10300
05/14/2014,DSFI,Dharma Samudera Fishing Industries Tbk.,54,54,52,53,920100
05/14/2014,DSNG,Dharma Satya Nusantara Tbk.,668,668,668,668,2500
05/14/2014,DSSA,Dian Swastatika Sentosa Tbk,12900,12900,12900,12900,0
05/14/2014,DUTI,Duta Pertiwi Tbk,4475,4475,4475,4475,0
05/14/2014,DVLA,Darya-Varia Laboratoria Tbk.,2025,2025,2020,2025,5900
05/14/2014,DYAN,Dyandra Media International Tbk.,233,233,227,227,3439500
05/14/2014,ECII,Electronic City Indonesia Tbk.,2340,2355,2300,2355,380200
05/14/2014,EKAD,Ekadharma International Tbk.,429,429,423,428,205500
05/14/2014,ELSA,Elnusa Tbk.,494,494,490,493,24373300
05/14/2014,ELTY,Bakrieland Development Tbk.,50,50,50,50,76600
05/14/2014,EMDE,Megapolitan Developments Tbk.,129,132,129,130,556000
05/14/2014,EMTK,Elang Mahkota Teknologi Tbk.,6000,6000,6000,6000,0
05/14/2014,ENRG,Energi Mega Persada Tbk.,97,103,95,101,426956700
