<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
04/23/2014,AALI,Astra Agro Lestari Tbk.,28450,29100,28450,29100,1252800
04/23/2014,ABBA,Mahaka Media Tbk.,85,85,81,81,59200
04/23/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5500,5500,5400,5475,2200
04/23/2014,ABMM,ABM Investama Tbk.,2775,2890,2775,2890,8700
04/23/2014,ACES,Ace Hardware Indonesia Tbk.,790,795,760,760,22187100
04/23/2014,ACST,Acset Indonusa Tbk.,2375,2375,2375,2375,10100
04/23/2014,ADES,Akasha Wira International Tbk.,1945,1945,1930,1930,107600
04/23/2014,ADHI,Adhi Karya (Persero) Tbk.,2503,2516,2427,2456,73181266
04/23/2014,ADMF,Adira Dinamika Multi Finance Tbk.,9500,9650,9500,9650,128900
04/23/2014,ADMG,Polychem Indonesia Tbk,200,201,199,200,1824500
04/23/2014,ADRO,Adaro Energy Tbk.,1015,1070,1010,1070,145607900
04/23/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,112,114,110,114,892500
04/23/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,162,162,162,162,0
04/23/2014,AIMS,Akbar Indo Makmur Stimec Tbk,340,344,335,335,17900
04/23/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2070,2095,2050,2080,3681000
04/23/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
04/23/2014,AKPI,Argha Karya Prima Industry Tbk.,750,750,750,750,100
04/23/2014,AKRA,AKR Corporindo Tbk.,4790,4810,4740,4760,7139600
04/23/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
04/23/2014,ALDO,Alkindo Naratama Tbk.,645,650,645,645,4060000
04/23/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
04/23/2014,ALMI,Alumindo Light Metal Industry Tbk.,430,430,430,430,0
04/23/2014,ALTO,Tri Banyan Tirta Tbk.,530,530,525,530,4421600
04/23/2014,AMAG,Asuransi Multi Artha Guna Tbk.,265,265,256,258,71800
04/23/2014,AMFG,Asahimas Flat Glass Tbk.,7000,7050,7000,7050,1500
04/23/2014,AMRT,Sumber Alfaria Trijaya Tbk.,530,530,510,510,600
04/23/2014,ANJT,Austindo Nusantara Jaya Tbk.,1600,1600,1600,1600,0
04/23/2014,ANTM,Aneka Tambang (Persero) Tbk.,974,1042,970,1042,211667250
04/23/2014,APEX,Apexindo Pratama Duta Tbk.,4210,4210,4200,4200,29600
04/23/2014,APIC,Pacific Strategic Financial Tbk.,510,515,505,510,9646900
04/23/2014,APII,Arita Prima Indonesia Tbk.,240,241,240,241,107000
04/23/2014,APLI,Asiaplast Industries Tbk.,66,66,65,65,8700
04/23/2014,APLN,Agung Podomoro Land Tbk.,267,270,264,265,16864100
04/23/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,0
04/23/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
04/23/2014,ARII,Atlas Resources Tbk.,685,695,685,690,3925900
04/23/2014,ARNA,Arwana Citramulia Tbk.,960,965,940,950,2862400
04/23/2014,ARTA,Arthavest Tbk,209,209,206,207,20800
04/23/2014,ARTI,Ratu Prabu Energi Tbk,171,176,170,173,8338500
04/23/2014,ASBI,Asuransi Bintang Tbk.,505,505,505,505,0
04/23/2014,ASDM,Asuransi Dayin Mitra Tbk.,780,780,780,780,0
04/23/2014,ASGR,Astra Graphia Tbk.,1990,1990,1945,1945,118100
04/23/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
04/23/2014,ASII,Astra International Tbk.,7900,7925,7850,7900,38386300
04/23/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
04/23/2014,ASMI,Asuransi Kresna Mitra Tbk.,476,478,474,476,5257900
04/23/2014,ASRI,Alam Sutera Realty Tbk.,545,550,525,530,84490000
04/23/2014,ASRM,Asuransi Ramayana Tbk.,965,1020,965,1020,300
04/23/2014,ASSA,Adi Sarana Armada Tbk.,308,308,305,305,94700
04/23/2014,ATPK,Bara Jaya Internasional Tbk.,235,244,230,244,99900
04/23/2014,AUTO,Astra Otoparts Tbk.,4000,4000,3970,3970,47400
04/23/2014,BABP,Bank MNC Internasional Tbk.,139,140,137,139,2632970
04/23/2014,BACA,Bank Capital Indonesia Tbk.,96,101,96,100,19500
04/23/2014,BAEK,Bank Ekonomi Raharja Tbk.,1560,1560,1560,1560,0
04/23/2014,BAJA,Saranacentral Bajatama Tbk.,1440,1520,1415,1520,21363800
04/23/2014,BALI,Bali Towerindo Sentra Tbk.,291,291,291,291,0
04/23/2014,BAPA,Bekasi Asri Pemula Tbk.,57,57,57,57,200
04/23/2014,BATA,Sepatu Bata Tbk.,990,990,990,990,0
04/23/2014,BAYU,Bayu Buana Tbk,540,540,540,540,2000
04/23/2014,BBCA,Bank Central Asia Tbk.,10900,11075,10900,11050,13158100
04/23/2014,BBKP,Bank Bukopin Tbk.,645,645,635,635,2532800
04/23/2014,BBLD,Buana Finance Tbk.,1100,1100,1050,1050,500400
04/23/2014,BBMD,Bank Mestika Dharma Tbk.,1800,1800,1795,1795,3133200
04/23/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,5100,5125,5050,5075,15855100
04/23/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1480,1480,1480,1480,0
