<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
07/25/2014,AALI,Astra Agro Lestari Tbk.,26575,26775,26575,26700,1513600
07/25/2014,ABBA,Mahaka Media Tbk.,81,81,81,81,100
07/25/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5500,5500,5500,5500,5300
07/25/2014,ABMM,ABM Investama Tbk.,2800,2800,2750,2800,20800
07/25/2014,ACES,Ace Hardware Indonesia Tbk.,925,935,910,925,10349000
07/25/2014,ACST,Acset Indonusa Tbk.,2590,2600,2490,2600,158600
07/25/2014,ADES,Akasha Wira International Tbk.,1685,1685,1680,1685,22200
07/25/2014,ADHI,Adhi Karya (Persero) Tbk.,2609,2651,2588,2639,40132804
07/25/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11375,11400,11300,11300,30200
07/25/2014,ADMG,Polychem Indonesia Tbk,215,215,205,206,440100
07/25/2014,ADRO,Adaro Energy Tbk.,1155,1185,1140,1185,114488700
07/25/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,106,107,104,105,1351700
07/25/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,189,189,189,189,0
07/25/2014,AIMS,Akbar Indo Makmur Stimec Tbk,460,460,460,460,1000
07/25/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2375,2410,2360,2375,991900
07/25/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
07/25/2014,AKPI,Argha Karya Prima Industry Tbk.,790,790,790,790,0
07/25/2014,AKRA,AKR Corporindo Tbk.,4520,4520,4390,4400,6320600
07/25/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
07/25/2014,ALDO,Alkindo Naratama Tbk.,705,710,695,710,3304400
07/25/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
07/25/2014,ALMI,Alumindo Light Metal Industry Tbk.,351,351,350,351,531000
07/25/2014,ALTO,Tri Banyan Tirta Tbk.,370,373,369,373,375900
