<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
03/30/2015,AALI,Astra Agro Lestari Tbk.,23650,24100,23650,23800,840700
03/30/2015,ABBA,Mahaka Media Tbk.,56,56,54,55,147400
03/30/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6800,6800,6800,6800,400
03/30/2015,ABMM,ABM Investama Tbk.,2705,2780,2705,2780,6200
03/30/2015,ACES,Ace Hardware Indonesia Tbk.,720,725,720,725,10022900
03/30/2015,ACST,Acset Indonusa Tbk.,5275,5500,5225,5500,710700
03/30/2015,ADES,Akasha Wira International Tbk.,1370,1375,1370,1370,46400
03/30/2015,ADHI,Adhi Karya (Persero) Tbk.,2596,2605,2558,2579,35353311
03/30/2015,ADMF,Adira Dinamika Multi Finance Tbk.,6225,6375,6225,6325,6600
03/30/2015,ADMG,Polychem Indonesia Tbk,131,131,130,131,126300
03/30/2015,ADRO,Adaro Energy Tbk.,960,965,950,960,29992400
03/30/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,103,107,103,105,3261300
03/30/2015,AGRS,Bank Agris Tbk.,140,148,140,148,26900
03/30/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,180,180,180,180,0
03/30/2015,AIMS,Akbar Indo Makmur Stimec Tbk,350,350,350,350,0
03/30/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2100,2110,2075,2095,1596500
03/30/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
03/30/2015,AKPI,Argha Karya Prima Industry Tbk.,680,680,680,680,0
03/30/2015,AKRA,AKR Corporindo Tbk.,5000,5150,4995,5000,7796500
03/30/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
03/30/2015,ALDO,Alkindo Naratama Tbk.,725,725,725,725,185000
03/30/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
03/30/2015,ALMI,Alumindo Light Metal Industry Tbk.,255,255,255,255,100
03/30/2015,ALTO,Tri Banyan Tirta Tbk.,349,349,347,348,1608200
03/30/2015,AMAG,Asuransi Multi Artha Guna Tbk.,236,237,235,237,95500
03/30/2015,AMFG,Asahimas Flat Glass Tbk.,7500,7600,7325,7450,323900
03/30/2015,AMRT,Sumber Alfaria Trijaya Tbk.,560,570,555,565,2016600
03/30/2015,ANJT,Austindo Nusantara Jaya Tbk.,1170,1170,1170,1170,0
03/30/2015,ANTM,Aneka Tambang (Persero) Tbk.,718,731,718,722,7284856
03/30/2015,APEX,Apexindo Pratama Duta Tbk.,3325,3325,3325,3325,0
03/30/2015,APIC,Pacific Strategic Financial Tbk.,540,545,540,545,14494300
03/30/2015,APII,Arita Prima Indonesia Tbk.,400,400,380,380,208000
03/30/2015,APLI,Asiaplast Industries Tbk.,76,84,75,79,144700
03/30/2015,APLN,Agung Podomoro Land Tbk.,421,440,419,440,27883900
03/30/2015,APOL,Arpeni Pratama Ocean Line Tbk.,58,61,57,59,23707100
03/30/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
03/30/2015,ARII,Atlas Resources Tbk.,424,424,424,424,0
03/30/2015,ARNA,Arwana Citramulia Tbk.,805,810,795,800,8916100
03/30/2015,ARTA,Arthavest Tbk,234,234,234,234,0
03/30/2015,ARTI,Ratu Prabu Energi Tbk,105,110,95,97,4714500
03/30/2015,ASBI,Asuransi Bintang Tbk.,465,465,465,465,0
03/30/2015,ASDM,Asuransi Dayin Mitra Tbk.,980,980,980,980,100
03/30/2015,ASGR,Astra Graphia Tbk.,1980,2025,1980,2015,275100
03/30/2015,ASII,Astra International Tbk.,8250,8450,8200,8375,41823500
03/30/2015,ASJT,Asuransi Jasa Tania Tbk.,144,144,144,144,0
03/30/2015,ASMI,Asuransi Kresna Mitra Tbk.,705,705,705,705,1368300
03/30/2015,ASRI,Alam Sutera Realty Tbk.,540,565,540,555,70530300
03/30/2015,ASRM,Asuransi Ramayana Tbk.,1040,1040,1040,1040,200
03/30/2015,ASSA,Adi Sarana Armada Tbk.,164,164,158,164,1015800
03/30/2015,ATPK,Bara Jaya Internasional Tbk.,170,170,130,170,85000
03/30/2015,AUTO,Astra Otoparts Tbk.,3375,3400,3315,3320,51500
03/30/2015,BABP,Bank MNC Internasional Tbk.,101,102,99,99,23360750
03/30/2015,BACA,Bank Capital Indonesia Tbk.,200,204,197,201,12809500
03/30/2015,BAEK,Bank Ekonomi Raharja Tbk.,2100,2100,2100,2100,0
03/30/2015,BAJA,Saranacentral Bajatama Tbk.,210,224,210,213,1289200
03/30/2015,BALI,Bali Towerindo Sentra Tbk.,490,490,480,480,21500
03/30/2015,BAPA,Bekasi Asri Pemula Tbk.,50,51,50,50,27200
03/30/2015,BATA,Sepatu Bata Tbk.,1120,1120,1120,1120,700
03/30/2015,BAYU,Bayu Buana Tbk,950,985,950,985,400
03/30/2015,BBCA,Bank Central Asia Tbk.,14450,14650,14450,14500,10197100
03/30/2015,BBKP,Bank Bukopin Tbk.,705,710,700,710,6685100
03/30/2015,BBLD,Buana Finance Tbk.,925,925,925,925,0
03/30/2015,BBMD,Bank Mestika Dharma Tbk.,1590,1590,1590,1590,0
03/30/2015,BBNI,Bank Negara Indonesia (Persero) Tbk.,7150,7200,7000,7000,22375900
03/30/2015,BBNP,Bank Nusantara Parahyangan Tbk.,2310,2310,2310,2310,0
03/30/2015,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,13000,13200,12975,13025,26255100
03/30/2015,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,170,170,170,170,0
03/30/2015,BBTN,Bank Tabungan Negara (Persero) Tbk.,1225,1230,1215,1225,26244900
03/30/2015,BBYB,Bank Yudha Bhakti Tbk.,93,97,92,95,271400
03/30/2015,BCAP,MNC Kapital Indonesia Tbk.,1689,1699,1684,1694,18649000
03/30/2015,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
03/30/2015,BCIP,Bumi Citra Permai Tbk.,785,800,785,790,22380900
03/30/2015,BDMN,Bank Danamon Indonesia Tbk.,5125,5125,5000,5000,3205300
03/30/2015,BEKS,Bank Pembangunan Daerah Banten Tbk.,65,68,65,65,285200
03/30/2015,BEST,Bekasi Fajar Industrial Estate Tbk.,570,590,565,580,17604800
03/30/2015,BFIN,BFI Finance  Indonesia Tbk.,2550,2675,2550,2550,415400
03/30/2015,BHIT,MNC Investama Tbk.,290,293,287,290,13073700
03/30/2015,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
03/30/2015,BINA,Bank Ina Perdana Tbk.,287,287,286,286,11200
03/30/2015,BIPI,Benakat Integra Tbk.,103,103,98,100,17243500
03/30/2015,BIPP,Bhuwanatala Indah Permai Tbk.,94,96,94,96,37644
03/30/2015,BIRD,Blue Bird Tbk.,9700,10000,9625,10000,904700
03/30/2015,BISI,BISI International Tbk.,1230,1300,1230,1295,3910000
03/30/2015,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,960,965,950,960,14128300
03/30/2015,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,530,545,525,535,13888800
03/30/2015,BKDP,Bukit Darmo Property Tbk,100,109,100,109,18976700
03/30/2015,BKSL,Sentul City Tbk.,118,123,118,122,60328600
03/30/2015,BKSW,Bank QNB Indonesia Tbk.,330,330,330,330,0
03/30/2015,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
03/30/2015,BLTZ,Graha Layar Prima Tbk.,2800,2800,2800,2800,0
03/30/2015,BMAS,Bank Maspion Indonesia Tbk.,338,338,338,338,0
03/30/2015,BMRI,Bank Mandiri (Persero) Tbk.,12050,12300,12000,12100,18955700
03/30/2015,BMSR,Bintang Mitra Semestaraya Tbk,152,152,152,152,0
03/30/2015,BMTR,Global Mediacom Tbk.,1710,1740,1685,1710,15062100
03/30/2015,BNBA,Bank Bumi Arta Tbk.,153,160,153,160,20500
03/30/2015,BNBR,Bakrie & Brothers Tbk,50,50,50,50,500
03/30/2015,BNGA,Bank CIMB Niaga Tbk.,790,800,785,800,252000
03/30/2015,BNII,Bank Maybank Indonesia Tbk.,193,200,193,194,344900
03/30/2015,BNLI,Bank Permata Tbk.,1600,1610,1600,1600,10100
03/30/2015,BORN,Borneo Lumbung Energi & Metal Tbk.,50,50,50,50,1200
03/30/2015,BPFI,Batavia Prosperindo Finance Tbk.,550,550,550,550,0
03/30/2015,BPII,Batavia Prosperindo Internasional Tbk.,1400,1400,1400,1400,0
03/30/2015,BRAM,Indo Kordsa Tbk.,3900,3900,3900,3900,0
03/30/2015,BRAU,Berau Coal Energy Tbk.,75,76,73,74,3023900
03/30/2015,BRMS,Bumi Resources Minerals Tbk.,153,157,147,152,6812200
03/30/2015,BRNA,Berlina Tbk.,710,710,675,695,204100
03/30/2015,BRPT,Barito Pacific Tbk.,275,280,275,280,15100
03/30/2015,BSDE,Bumi Serpong Damai Tbk.,2035,2110,2015,2100,43107400
03/30/2015,BSIM,Bank Sinarmas Tbk.,405,406,405,406,431400
