<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
02/29/2016,AALI,Astra Agro Lestari Tbk.,14200,14850,14200,14850,2134600
02/29/2016,ABBA,Mahaka Media Tbk.,50,50,50,50,0
02/29/2016,ABDA,Asuransi Bina Dana Arta Tbk.,7200,7200,7200,7200,0
02/29/2016,ABMM,ABM Investama Tbk.,2625,2700,2625,2700,20100
02/29/2016,ACES,Ace Hardware Indonesia Tbk.,870,915,865,915,3791000
02/29/2016,ACST,Acset Indonusa Tbk.,3080,3180,3080,3100,53000
02/29/2016,ADES,Akasha Wira International Tbk.,1015,1035,1015,1035,700
02/29/2016,ADHI,Adhi Karya (Persero) Tbk.,2640,2660,2595,2610,25478400
02/29/2016,ADMF,Adira Dinamika Multi Finance Tbk.,3000,3025,3000,3000,346200
02/29/2016,ADMG,Polychem Indonesia Tbk,89,95,88,90,3890600
02/29/2016,ADRO,Adaro Energy Tbk.,600,610,595,605,55046300
02/29/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,90,93,87,89,2102600
02/29/2016,AGRS,Bank Agris Tbk.,94,94,94,94,0
02/29/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,190,190,190,190,0
02/29/2016,AIMS,Akbar Indo Makmur Stimec Tbk,500,500,500,500,0
02/29/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,1050,1065,1050,1050,1232600
02/29/2016,AKKU,Alam Karya Unggul Tbk.,250,250,215,215,12400
02/29/2016,AKPI,Argha Karya Prima Industry Tbk.,1020,1020,1020,1020,100
02/29/2016,AKRA,AKR Corporindo Tbk.,7725,8175,7450,8175,11542900
02/29/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
02/29/2016,ALDO,Alkindo Naratama Tbk.,725,725,725,725,61500
02/29/2016,ALKA,Alakasa Industrindo Tbk,700,700,700,700,0
02/29/2016,ALMI,Alumindo Light Metal Industry Tbk.,199,206,192,206,31900
02/29/2016,ALTO,Tri Banyan Tirta Tbk.,325,325,325,325,20000
02/29/2016,AMAG,Asuransi Multi Artha Guna Tbk.,288,305,284,305,14400
02/29/2016,AMFG,Asahimas Flat Glass Tbk.,6500,6500,6500,6500,900
02/29/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,125,125,125,125,900
02/29/2016,AMRT,Sumber Alfaria Trijaya Tbk.,580,580,570,570,423400
02/29/2016,ANJT,Austindo Nusantara Jaya Tbk.,1700,1700,1700,1700,0
02/29/2016,ANTM,Aneka Tambang (Persero) Tbk.,370,371,364,364,39757400
02/29/2016,APEX,Apexindo Pratama Duta Tbk.,3230,3230,3230,3230,0
02/29/2016,APIC,Pacific Strategic Financial Tbk.,655,655,655,655,1014700
02/29/2016,APII,Arita Prima Indonesia Tbk.,262,262,262,262,0
02/29/2016,APLI,Asiaplast Industries Tbk.,57,69,57,69,15200
02/29/2016,APLN,Agung Podomoro Land Tbk.,328,328,315,325,379200
02/29/2016,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
02/29/2016,ARGO,Argo Pantes Tbk,900,900,900,900,0
02/29/2016,ARII,Atlas Resources Tbk.,500,500,500,500,350000
02/29/2016,ARNA,Arwana Citramulia Tbk.,555,565,550,565,56400
02/29/2016,ARTA,Arthavest Tbk,240,240,240,240,0
02/29/2016,ARTI,Ratu Prabu Energi Tbk,153,156,153,156,2351300
02/29/2016,ARTO,Bank Artos Indonesia Tbk.,117,119,116,116,89900
02/29/2016,ASBI,Asuransi Bintang Tbk.,499,499,444,445,4200
02/29/2016,ASDM,Asuransi Dayin Mitra Tbk.,1190,1190,1190,1190,0
02/29/2016,ASGR,Astra Graphia Tbk.,1780,1800,1750,1750,186900
02/29/2016,ASII,Astra International Tbk.,6825,6900,6675,6800,42601200
02/29/2016,ASJT,Asuransi Jasa Tania Tbk.,170,170,170,170,25100
02/29/2016,ASMI,Asuransi Kresna Mitra Tbk.,1275,1280,1260,1280,989500
02/29/2016,ASRI,Alam Sutera Realty Tbk.,349,353,344,344,14478200
02/29/2016,ASRM,Asuransi Ramayana Tbk.,2300,2300,2300,2300,0
02/29/2016,ASSA,Adi Sarana Armada Tbk.,99,100,99,100,1237200
02/29/2016,ATIC,Anabatic Technologies Tbk.,595,605,595,605,2026600
02/29/2016,ATPK,Bara Jaya Internasional Tbk.,194,194,194,194,0
02/29/2016,AUTO,Astra Otoparts Tbk.,1785,1795,1720,1795,50300
02/29/2016,BABP,Bank MNC Internasional Tbk.,61,63,61,61,1850400
02/29/2016,BACA,Bank Capital Indonesia Tbk.,174,179,163,178,2713200
02/29/2016,BAJA,Saranacentral Bajatama Tbk.,79,80,78,79,226300
02/29/2016,BALI,Bali Towerindo Sentra Tbk.,850,910,850,910,5500
02/29/2016,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,1000
02/29/2016,BATA,Sepatu Bata Tbk.,880,880,880,880,0
02/29/2016,BAYU,Bayu Buana Tbk,1025,1025,1025,1025,0
02/29/2016,BBCA,Bank Central Asia Tbk.,13500,13525,13375,13475,27767400
