<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
11/05/2014,AALI,Astra Agro Lestari Tbk.,23200,23900,22775,23000,2090700
11/05/2014,ABBA,Mahaka Media Tbk.,69,72,67,71,203500
11/05/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5875,5875,5875,5875,0
11/05/2014,ABMM,ABM Investama Tbk.,2700,2700,2700,2700,3000
11/05/2014,ACES,Ace Hardware Indonesia Tbk.,780,800,770,790,87568600
11/05/2014,ACST,Acset Indonusa Tbk.,3280,3300,3255,3300,233300
11/05/2014,ADES,Akasha Wira International Tbk.,1385,1390,1355,1355,30200
11/05/2014,ADHI,Adhi Karya (Persero) Tbk.,2248,2257,2142,2151,67760041
11/05/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11125,11125,10975,11000,183800
11/05/2014,ADMG,Polychem Indonesia Tbk,178,178,171,175,301600
11/05/2014,ADRO,Adaro Energy Tbk.,1140,1140,1090,1100,34054100
11/05/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,104,105,104,104,847000
11/05/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,199,201,199,199,167012
11/05/2014,AIMS,Akbar Indo Makmur Stimec Tbk,381,381,381,381,0
11/05/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2305,2305,2200,2210,2652900
11/05/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
11/05/2014,AKPI,Argha Karya Prima Industry Tbk.,895,895,895,895,0
11/05/2014,AKRA,AKR Corporindo Tbk.,4880,4910,4830,4840,3261700
11/05/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
11/05/2014,ALDO,Alkindo Naratama Tbk.,700,710,695,700,1825200
11/05/2014,ALKA,Alakasa Industrindo Tbk,800,800,800,800,0
11/05/2014,ALMI,Alumindo Light Metal Industry Tbk.,280,280,270,270,110200
11/05/2014,ALTO,Tri Banyan Tirta Tbk.,340,347,340,347,518200
11/05/2014,AMAG,Asuransi Multi Artha Guna Tbk.,220,225,219,219,1789600
11/05/2014,AMFG,Asahimas Flat Glass Tbk.,6800,6900,6500,6600,388200
11/05/2014,AMRT,Sumber Alfaria Trijaya Tbk.,525,525,525,525,2100
11/05/2014,ANJT,Austindo Nusantara Jaya Tbk.,1190,1190,1190,1190,100
11/05/2014,ANTM,Aneka Tambang (Persero) Tbk.,785,794,785,785,13814746
11/05/2014,APEX,Apexindo Pratama Duta Tbk.,3615,3620,3615,3620,67800
11/05/2014,APIC,Pacific Strategic Financial Tbk.,535,535,530,535,14129000
11/05/2014,APII,Arita Prima Indonesia Tbk.,400,415,400,415,36400
11/05/2014,APLI,Asiaplast Industries Tbk.,80,90,80,85,1772600
11/05/2014,APLN,Agung Podomoro Land Tbk.,354,355,325,335,55222000
11/05/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,67,50,67,277727100
11/05/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
