<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
09/06/2016,AALI,Astra Agro Lestari Tbk.,16500,16600,16450,16575,1040000
09/06/2016,ABBA,Mahaka Media Tbk.,50,50,50,50,0
09/06/2016,ABDA,Asuransi Bina Dana Arta Tbk.,6200,6200,6200,6200,100
09/06/2016,ABMM,ABM Investama Tbk.,2250,2250,2190,2190,1100
09/06/2016,ACES,Ace Hardware Indonesia Tbk.,980,980,950,965,3397700
09/06/2016,ACST,Acset Indonusa Tbk.,3130,3130,3060,3080,328000
09/06/2016,ADES,Akasha Wira International Tbk.,1390,1390,1350,1390,300
09/06/2016,ADHI,Adhi Karya (Persero) Tbk.,2720,2730,2680,2690,6661600
09/06/2016,ADMF,Adira Dinamika Multi Finance Tbk.,6125,6125,6000,6050,56900
09/06/2016,ADMG,Polychem Indonesia Tbk,177,183,176,176,273700
09/06/2016,ADRO,Adaro Energy Tbk.,1230,1245,1215,1225,28467400
09/06/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,316,322,312,314,6126400
09/06/2016,AGRS,Bank Agris Tbk.,96,96,90,96,23300
09/06/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,186,186,186,186,0
09/06/2016,AIMS,Akbar Indo Makmur Stimec Tbk,212,212,212,212,2800
09/06/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,2130,2140,2100,2110,1084300
09/06/2016,AKKU,Alam Karya Unggul Tbk.,216,228,216,216,7400
09/06/2016,AKPI,Argha Karya Prima Industry Tbk.,860,860,860,860,0
09/06/2016,AKRA,AKR Corporindo Tbk.,6850,6900,6750,6900,4763200
09/06/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
09/06/2016,ALDO,Alkindo Naratama Tbk.,730,730,725,725,51500
09/06/2016,ALKA,Alakasa Industrindo Tbk,216,216,216,216,0
09/06/2016,ALMI,Alumindo Light Metal Industry Tbk.,184,187,184,186,193800
09/06/2016,ALTO,Tri Banyan Tirta Tbk.,328,330,328,330,650500
09/06/2016,AMAG,Asuransi Multi Artha Guna Tbk.,334,338,332,338,600
09/06/2016,AMFG,Asahimas Flat Glass Tbk.,6700,6700,6700,6700,0
09/06/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,170,172,170,172,5000
09/06/2016,AMRT,Sumber Alfaria Trijaya Tbk.,560,575,560,570,51300
09/06/2016,ANJT,Austindo Nusantara Jaya Tbk.,1785,1785,1785,1785,0
09/06/2016,ANTM,Aneka Tambang (Persero) Tbk.,710,715,700,705,27145500
09/06/2016,APEX,Apexindo Pratama Duta Tbk.,3270,3280,3270,3270,59100
09/06/2016,APIC,Pacific Strategic Financial Tbk.,650,660,640,650,9593900
09/06/2016,APII,Arita Prima Indonesia Tbk.,368,368,368,368,0
09/06/2016,APLI,Asiaplast Industries Tbk.,78,79,77,79,21100
09/06/2016,APLN,Agung Podomoro Land Tbk.,296,300,294,298,4757200
09/06/2016,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
09/06/2016,ARGO,Argo Pantes Tbk,900,900,900,900,0
09/06/2016,ARII,Atlas Resources Tbk.,510,510,510,510,0
09/06/2016,ARNA,Arwana Citramulia Tbk.,575,575,560,570,403000
09/06/2016,ARTA,Arthavest Tbk,280,280,280,280,100
09/06/2016,ARTI,Ratu Prabu Energi Tbk,160,161,158,160,19283900
09/06/2016,ARTO,Bank Artos Indonesia Tbk.,154,154,154,154,0
09/06/2016,ASBI,Asuransi Bintang Tbk.,470,470,460,460,1200
09/06/2016,ASDM,Asuransi Dayin Mitra Tbk.,945,945,945,945,0
09/06/2016,ASGR,Astra Graphia Tbk.,2050,2050,2050,2050,1300
09/06/2016,ASII,Astra International Tbk.,8300,8300,8200,8300,20643400
09/06/2016,ASJT,Asuransi Jasa Tania Tbk.,206,206,206,206,2800
09/06/2016,ASMI,Asuransi Kresna Mitra Tbk.,452,452,444,450,2295600
09/06/2016,ASRI,Alam Sutera Realty Tbk.,505,505,496,498,30351200
09/06/2016,ASRM,Asuransi Ramayana Tbk.,2700,2700,2700,2700,0
09/06/2016,ASSA,Adi Sarana Armada Tbk.,202,206,202,204,4848600
09/06/2016,ATIC,Anabatic Technologies Tbk.,720,725,700,725,104300
09/06/2016,ATPK,Bara Jaya Internasional Tbk.,194,194,194,194,0
09/06/2016,AUTO,Astra Otoparts Tbk.,2210,2300,2200,2210,44500
09/06/2016,BABP,Bank MNC Internasional Tbk.,77,78,76,77,3319000
09/06/2016,BACA,Bank Capital Indonesia Tbk.,188,188,186,187,19181900
09/06/2016,BAJA,Saranacentral Bajatama Tbk.,266,282,262,262,13716600
09/06/2016,BALI,Bali Towerindo Sentra Tbk.,915,920,900,900,12300
09/06/2016,BAPA,Bekasi Asri Pemula Tbk.,51,51,50,51,6100
09/06/2016,BATA,Sepatu Bata Tbk.,885,885,885,885,0
