<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
03/10/2014,AALI,Astra Agro Lestari Tbk.,27000,27900,27000,27900,2628300
03/10/2014,ABBA,Mahaka Media Tbk.,104,104,98,98,15500
03/10/2014,ABDA,Asuransi Bina Dana Arta Tbk.,4150,4150,4125,4150,12100
03/10/2014,ABMM,ABM Investama Tbk.,2955,2955,2955,2955,100
03/10/2014,ACES,Ace Hardware Indonesia Tbk.,795,795,780,785,3830300
03/10/2014,ACST,Acset Indonusa Tbk.,2100,2200,2100,2175,584700
03/10/2014,ADES,Akasha Wira International Tbk.,2140,2185,2140,2160,401700
03/10/2014,ADHI,Adhi Karya (Persero) Tbk.,2121,2181,2117,2155,24830616
03/10/2014,ADMF,Adira Dinamika Multi Finance Tbk.,9350,9350,9300,9300,3300
03/10/2014,ADMG,Polychem Indonesia Tbk,220,222,220,220,846500
03/10/2014,ADRO,Adaro Energy Tbk.,1005,1020,995,1000,57831400
03/10/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,117,118,112,117,2105367
03/10/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,159,159,159,159,0
03/10/2014,AIMS,Akbar Indo Makmur Stimec Tbk,720,800,700,720,27100
03/10/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,1935,1955,1915,1930,3694600
03/10/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
03/10/2014,AKPI,Argha Karya Prima Industry Tbk.,750,750,750,750,0
03/10/2014,AKRA,AKR Corporindo Tbk.,4745,4825,4715,4795,7229500
03/10/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
03/10/2014,ALDO,Alkindo Naratama Tbk.,660,660,650,655,4698900
03/10/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
03/10/2014,ALMI,Alumindo Light Metal Industry Tbk.,301,301,301,301,0
03/10/2014,ALTO,Tri Banyan Tirta Tbk.,555,555,550,555,3382900
03/10/2014,AMAG,Asuransi Multi Artha Guna Tbk.,231,231,231,231,0
03/10/2014,AMFG,Asahimas Flat Glass Tbk.,7025,7025,7025,7025,1900
03/10/2014,AMRT,Sumber Alfaria Trijaya Tbk.,465,480,465,475,974000
03/10/2014,ANJT,Austindo Nusantara Jaya Tbk.,1630,1630,1630,1630,0
03/10/2014,ANTM,Aneka Tambang (Persero) Tbk.,945,949,920,924,66743829
03/10/2014,APEX,Apexindo Pratama Duta Tbk.,2570,2570,2560,2560,62700
03/10/2014,APIC,Pacific Strategic Financial Tbk.,525,525,515,515,4637400
03/10/2014,APII,Arita Prima Indonesia Tbk.,253,253,251,251,351500
03/10/2014,APLI,Asiaplast Industries Tbk.,60,69,60,66,10500
03/10/2014,APLN,Agung Podomoro Land Tbk.,243,244,237,239,60639700
03/10/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,100
03/10/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
03/10/2014,ARII,Atlas Resources Tbk.,715,715,715,715,4360500
03/10/2014,ARNA,Arwana Citramulia Tbk.,835,850,830,840,1727700
03/10/2014,ARTA,Arthavest Tbk,197,197,197,197,0
03/10/2014,ARTI,Ratu Prabu Energi Tbk,175,175,172,174,111100
03/10/2014,ASBI,Asuransi Bintang Tbk.,480,480,480,480,10000
03/10/2014,ASDM,Asuransi Dayin Mitra Tbk.,720,720,720,720,0
03/10/2014,ASGR,Astra Graphia Tbk.,1970,1990,1950,1955,249800
03/10/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
03/10/2014,ASII,Astra International Tbk.,6950,7300,6950,7275,94212200
03/10/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
03/10/2014,ASMI,Asuransi Kresna Mitra Tbk.,450,450,446,448,3384600
03/10/2014,ASRI,Alam Sutera Realty Tbk.,600,610,590,595,103106300
03/10/2014,ASRM,Asuransi Ramayana Tbk.,1000,1000,1000,1000,0
03/10/2014,ASSA,Adi Sarana Armada Tbk.,295,295,290,293,3504700
03/10/2014,ATPK,Bara Jaya Internasional Tbk.,265,265,265,265,0
03/10/2014,AUTO,Astra Otoparts Tbk.,3715,3780,3680,3735,2807400
03/10/2014,BABP,Bank MNC Internasional Tbk.,132,132,129,131,12237162
03/10/2014,BACA,Bank Capital Indonesia Tbk.,81,82,80,82,52900
03/10/2014,BAEK,Bank Ekonomi Raharja Tbk.,2000,2000,2000,2000,100
03/10/2014,BAJA,Saranacentral Bajatama Tbk.,1220,1225,1205,1210,1279600
03/10/2014,BAPA,Bekasi Asri Pemula Tbk.,60,60,60,60,0
03/10/2014,BATA,Sepatu Bata Tbk.,980,990,950,975,50100
03/10/2014,BAYU,Bayu Buana Tbk,429,429,429,429,100
03/10/2014,BBCA,Bank Central Asia Tbk.,10600,10600,10425,10500,13463300
03/10/2014,BBKP,Bank Bukopin Tbk.,640,640,615,620,4374900
03/10/2014,BBLD,Buana Finance Tbk.,930,930,930,930,0
03/10/2014,BBMD,Bank Mestika Dharma Tbk.,1655,1680,1650,1675,4452000
03/10/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,4650,4840,4650,4840,22549300
03/10/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1480,1480,1480,1480,0
03/10/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,9150,9225,9025,9075,40890900
03/10/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,158,158,158,158,0
03/10/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1195,1210,1165,1165,49140700
03/10/2014,BCAP,MNC Kapital Indonesia Tbk.,1086,1121,1086,1086,356193
03/10/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
03/10/2014,BCIP,Bumi Citra Permai Tbk.,485,485,481,481,6690400
03/10/2014,BDMN,Bank Danamon Indonesia Tbk.,4300,4300,4175,4175,3676500
03/10/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,86,88,85,87,277600
03/10/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,610,615,590,600,29365500
03/10/2014,BFIN,BFI Finance  Indonesia Tbk.,2100,2100,2100,2100,0
03/10/2014,BHIT,MNC Investama Tbk.,326,327,320,323,9166800
03/10/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
03/10/2014,BINA,Bank Ina Perdana Tbk.,241,241,241,241,1000
03/10/2014,BIPI,Benakat Integra Tbk.,105,109,104,106,60324900
03/10/2014,BIPP,Bhuwanatala Indah Permai Tbk.,98,98,97,97,43063
03/10/2014,BISI,BISI International Tbk.,695,700,665,700,2640600
03/10/2014,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,1035,1040,1020,1025,4969200
03/10/2014,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,472,472,465,468,2938000
03/10/2014,BKDP,Bukit Darmo Property Tbk,69,69,69,69,120000
03/10/2014,BKSL,Sentul City Tbk.,172,174,170,171,84051300
03/10/2014,BKSW,Bank QNB Indonesia Tbk.,425,425,425,425,0
03/10/2014,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
03/10/2014,BMAS,Bank Maspion Indonesia Tbk.,289,289,280,280,16000
