<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
12/18/2015,AALI,Astra Agro Lestari Tbk.,16450,16450,16025,16025,896900
12/18/2015,ABBA,Mahaka Media Tbk.,50,50,50,50,0
12/18/2015,ABDA,Asuransi Bina Dana Arta Tbk.,7500,7500,7500,7500,0
12/18/2015,ABMM,ABM Investama Tbk.,2700,2870,2700,2870,35000
12/18/2015,ACES,Ace Hardware Indonesia Tbk.,800,810,790,800,14922000
12/18/2015,ACST,Acset Indonusa Tbk.,2550,2645,2550,2640,11900
12/18/2015,ADES,Akasha Wira International Tbk.,1035,1035,1020,1025,25100
12/18/2015,ADHI,Adhi Karya (Persero) Tbk.,2180,2185,2135,2145,20730400
12/18/2015,ADMF,Adira Dinamika Multi Finance Tbk.,3450,3470,3450,3470,3000
12/18/2015,ADMG,Polychem Indonesia Tbk,90,92,89,89,324300
12/18/2015,ADRO,Adaro Energy Tbk.,505,515,490,490,53107300
12/18/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,99,99,93,96,154100
12/18/2015,AGRS,Bank Agris Tbk.,92,92,85,85,4100
12/18/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,171,171,165,170,1000
12/18/2015,AIMS,Akbar Indo Makmur Stimec Tbk,420,420,420,420,0
12/18/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,1350,1365,1305,1365,1990600
12/18/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
12/18/2015,AKPI,Argha Karya Prima Industry Tbk.,900,900,900,900,100
12/18/2015,AKRA,AKR Corporindo Tbk.,7050,7075,6950,7075,6636700
12/18/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
12/18/2015,ALDO,Alkindo Naratama Tbk.,700,700,700,700,61500
12/18/2015,ALKA,Alakasa Industrindo Tbk,720,720,720,720,0
12/18/2015,ALMI,Alumindo Light Metal Industry Tbk.,189,189,188,188,10000
12/18/2015,ALTO,Tri Banyan Tirta Tbk.,326,328,326,328,22000
12/18/2015,AMAG,Asuransi Multi Artha Guna Tbk.,355,360,350,350,4300
12/18/2015,AMFG,Asahimas Flat Glass Tbk.,6500,6500,6500,6500,100
12/18/2015,AMIN,Ateliers Mecaniques D Indonesie Tbk.,125,130,125,130,861200
12/18/2015,AMRT,Sumber Alfaria Trijaya Tbk.,580,580,550,580,1000
12/18/2015,ANJT,Austindo Nusantara Jaya Tbk.,1610,1610,1610,1610,0
12/18/2015,ANTM,Aneka Tambang (Persero) Tbk.,302,307,298,301,32061200
12/18/2015,APEX,Apexindo Pratama Duta Tbk.,3330,3330,3330,3330,0
12/18/2015,APIC,Pacific Strategic Financial Tbk.,645,645,645,645,1487600
12/18/2015,APII,Arita Prima Indonesia Tbk.,222,222,222,222,0
12/18/2015,APLI,Asiaplast Industries Tbk.,62,62,62,62,100
12/18/2015,APLN,Agung Podomoro Land Tbk.,316,322,310,322,10048100
12/18/2015,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
12/18/2015,ARGO,Argo Pantes Tbk,900,900,900,900,0
12/18/2015,ARII,Atlas Resources Tbk.,423,423,423,423,0
