<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
06/20/2014,AALI,Astra Agro Lestari Tbk.,27150,27400,26675,27400,1090100
06/20/2014,ABBA,Mahaka Media Tbk.,78,79,77,77,2000
06/20/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5000,5000,5000,5000,0
06/20/2014,ABMM,ABM Investama Tbk.,2850,2850,2850,2850,0
06/20/2014,ACES,Ace Hardware Indonesia Tbk.,845,880,845,865,9551100
06/20/2014,ACST,Acset Indonusa Tbk.,2390,2390,2390,2390,2800
06/20/2014,ADES,Akasha Wira International Tbk.,1720,1725,1680,1680,73800
06/20/2014,ADHI,Adhi Karya (Persero) Tbk.,2321,2346,2295,2325,25724102
06/20/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11500,11500,11500,11500,23000
06/20/2014,ADMG,Polychem Indonesia Tbk,182,183,179,182,687900
06/20/2014,ADRO,Adaro Energy Tbk.,1235,1245,1185,1185,66531500
06/20/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,100,100,98,98,2257267
06/20/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,185,185,185,185,123529
06/20/2014,AIMS,Akbar Indo Makmur Stimec Tbk,450,545,450,545,300
06/20/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2240,2255,2220,2230,2377500
06/20/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
06/20/2014,AKPI,Argha Karya Prima Industry Tbk.,790,790,790,790,0
06/20/2014,AKRA,AKR Corporindo Tbk.,4510,4510,4400,4410,2173300
06/20/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
06/20/2014,ALDO,Alkindo Naratama Tbk.,665,675,665,670,4283700
06/20/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
06/20/2014,ALMI,Alumindo Light Metal Industry Tbk.,349,349,349,349,0
06/20/2014,ALTO,Tri Banyan Tirta Tbk.,540,540,540,540,0
06/20/2014,AMAG,Asuransi Multi Artha Guna Tbk.,232,232,232,232,0
06/20/2014,AMFG,Asahimas Flat Glass Tbk.,7200,7200,7200,7200,0
06/20/2014,AMRT,Sumber Alfaria Trijaya Tbk.,500,500,470,470,2197500
06/20/2014,ANJT,Austindo Nusantara Jaya Tbk.,1500,1500,1500,1500,0
06/20/2014,ANTM,Aneka Tambang (Persero) Tbk.,962,970,945,945,13811264
06/20/2014,APEX,Apexindo Pratama Duta Tbk.,3815,3820,3815,3815,26700
06/20/2014,APIC,Pacific Strategic Financial Tbk.,535,545,535,545,49997400
06/20/2014,APII,Arita Prima Indonesia Tbk.,255,255,255,255,1000
06/20/2014,APLI,Asiaplast Industries Tbk.,70,70,69,70,150100
06/20/2014,APLN,Agung Podomoro Land Tbk.,287,287,282,284,14271400
06/20/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,0
06/20/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
06/20/2014,ARII,Atlas Resources Tbk.,680,690,680,685,4109600
06/20/2014,ARNA,Arwana Citramulia Tbk.,985,985,975,975,153500
06/20/2014,ARTA,Arthavest Tbk,248,248,248,248,0
06/20/2014,ARTI,Ratu Prabu Energi Tbk,197,201,195,197,4580000
06/20/2014,ASBI,Asuransi Bintang Tbk.,490,500,490,500,20000
06/20/2014,ASDM,Asuransi Dayin Mitra Tbk.,805,805,805,805,0
06/20/2014,ASGR,Astra Graphia Tbk.,2295,2310,2275,2280,332000
06/20/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
06/20/2014,ASII,Astra International Tbk.,7200,7225,7150,7150,22344100
06/20/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
06/20/2014,ASMI,Asuransi Kresna Mitra Tbk.,474,475,474,475,1501800
06/20/2014,ASRI,Alam Sutera Realty Tbk.,437,460,437,459,49569700
06/20/2014,ASRM,Asuransi Ramayana Tbk.,980,1015,980,1015,5000
06/20/2014,ASSA,Adi Sarana Armada Tbk.,261,270,260,269,17700
06/20/2014,ATPK,Bara Jaya Internasional Tbk.,225,234,223,232,74600
06/20/2014,AUTO,Astra Otoparts Tbk.,3655,3685,3655,3680,85500
06/20/2014,BABP,Bank MNC Internasional Tbk.,120,124,120,122,331993
06/20/2014,BACA,Bank Capital Indonesia Tbk.,97,97,97,97,0
06/20/2014,BAEK,Bank Ekonomi Raharja Tbk.,1600,1600,1600,1600,0
06/20/2014,BAJA,Saranacentral Bajatama Tbk.,1670,1685,1660,1665,3504400
06/20/2014,BALI,Bali Towerindo Sentra Tbk.,480,496,480,481,43000
