<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
01/23/2015,AALI,Astra Agro Lestari Tbk.,24425,24500,23775,24000,1051900
01/23/2015,ABBA,Mahaka Media Tbk.,64,67,56,62,114100
01/23/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6450,6500,6450,6475,14700
01/23/2015,ABMM,ABM Investama Tbk.,2760,2760,2760,2760,0
01/23/2015,ACES,Ace Hardware Indonesia Tbk.,750,775,750,770,50834000
01/23/2015,ACST,Acset Indonusa Tbk.,3710,3745,3705,3725,428400
01/23/2015,ADES,Akasha Wira International Tbk.,1435,1435,1405,1405,49500
01/23/2015,ADHI,Adhi Karya (Persero) Tbk.,3118,3203,3118,3131,81660175
01/23/2015,ADMF,Adira Dinamika Multi Finance Tbk.,7000,7050,6975,7025,6800
01/23/2015,ADMG,Polychem Indonesia Tbk,154,157,152,154,1946200
01/23/2015,ADRO,Adaro Energy Tbk.,1025,1030,985,1000,62477500
01/23/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,105,105,103,105,1256033
01/23/2015,AGRS,Bank Agris Tbk.,130,132,125,130,568200
01/23/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,189,189,189,189,0
01/23/2015,AIMS,Akbar Indo Makmur Stimec Tbk,425,425,425,425,100
01/23/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2145,2200,2145,2190,10347300
01/23/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
01/23/2015,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,0
01/23/2015,AKRA,AKR Corporindo Tbk.,4595,4600,4400,4460,30789000
01/23/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
01/23/2015,ALDO,Alkindo Naratama Tbk.,720,730,720,720,692200
01/23/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
01/23/2015,ALMI,Alumindo Light Metal Industry Tbk.,258,258,245,245,8500
01/23/2015,ALTO,Tri Banyan Tirta Tbk.,343,348,343,343,1035800
01/23/2015,AMAG,Asuransi Multi Artha Guna Tbk.,240,241,239,240,463200
01/23/2015,AMFG,Asahimas Flat Glass Tbk.,8250,8250,8100,8100,42400
01/23/2015,AMRT,Sumber Alfaria Trijaya Tbk.,485,485,484,484,16600
01/23/2015,ANJT,Austindo Nusantara Jaya Tbk.,1260,1260,1260,1260,100
01/23/2015,ANTM,Aneka Tambang (Persero) Tbk.,890,899,886,890,21093964
01/23/2015,APEX,Apexindo Pratama Duta Tbk.,3325,3325,3325,3325,0
01/23/2015,APIC,Pacific Strategic Financial Tbk.,555,560,550,555,15540000
01/23/2015,APII,Arita Prima Indonesia Tbk.,430,430,430,430,0
01/23/2015,APLI,Asiaplast Industries Tbk.,74,74,68,69,5468400
01/23/2015,APLN,Agung Podomoro Land Tbk.,420,437,420,421,79243200
01/23/2015,APOL,Arpeni Pratama Ocean Line Tbk.,74,75,73,75,26974900
01/23/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
01/23/2015,ARII,Atlas Resources Tbk.,437,437,437,437,88000
01/23/2015,ARNA,Arwana Citramulia Tbk.,940,1000,940,995,4620100
01/23/2015,ARTA,Arthavest Tbk,290,290,290,290,0
01/23/2015,ARTI,Ratu Prabu Energi Tbk,100,102,100,100,1780300
01/23/2015,ASBI,Asuransi Bintang Tbk.,800,800,800,800,400
01/23/2015,ASDM,Asuransi Dayin Mitra Tbk.,1090,1090,1090,1090,0
01/23/2015,ASGR,Astra Graphia Tbk.,1825,1845,1825,1845,104500
01/23/2015,ASII,Astra International Tbk.,7800,8100,7800,8075,83763300
01/23/2015,ASJT,Asuransi Jasa Tania Tbk.,147,150,147,147,576400
01/23/2015,ASMI,Asuransi Kresna Mitra Tbk.,600,605,595,605,1636200
01/23/2015,ASRI,Alam Sutera Realty Tbk.,605,620,605,605,215688100
01/23/2015,ASRM,Asuransi Ramayana Tbk.,1200,1200,1200,1200,0
01/23/2015,ASSA,Adi Sarana Armada Tbk.,160,160,150,155,5326500
01/23/2015,ATPK,Bara Jaya Internasional Tbk.,203,203,201,202,150500
01/23/2015,AUTO,Astra Otoparts Tbk.,3800,3850,3800,3840,48200
01/23/2015,BABP,Bank MNC Internasional Tbk.,91,93,91,91,8458450
01/23/2015,BACA,Bank Capital Indonesia Tbk.,100,102,99,100,926900
01/23/2015,BAEK,Bank Ekonomi Raharja Tbk.,2000,2090,2000,2090,1200
01/23/2015,BAJA,Saranacentral Bajatama Tbk.,235,270,235,243,4821600
01/23/2015,BALI,Bali Towerindo Sentra Tbk.,420,420,420,420,0
01/23/2015,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,14600
01/23/2015,BATA,Sepatu Bata Tbk.,1065,1065,1065,1065,0
01/23/2015,BAYU,Bayu Buana Tbk,1045,1045,1045,1045,200
01/23/2015,BBCA,Bank Central Asia Tbk.,13225,13400,13225,13325,24202200
01/23/2015,BBKP,Bank Bukopin Tbk.,760,765,755,760,12688600
