<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
01/21/2015,AALI,Astra Agro Lestari Tbk.,24700,24700,24125,24175,597300
01/21/2015,ABBA,Mahaka Media Tbk.,60,60,59,60,33200
01/21/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6350,6400,6350,6350,50100
01/21/2015,ABMM,ABM Investama Tbk.,2600,2750,2600,2750,46300
01/21/2015,ACES,Ace Hardware Indonesia Tbk.,710,715,700,705,20101200
01/21/2015,ACST,Acset Indonusa Tbk.,3520,3645,3500,3600,132800
01/21/2015,ADES,Akasha Wira International Tbk.,1385,1385,1370,1370,100600
01/21/2015,ADHI,Adhi Karya (Persero) Tbk.,3042,3063,2987,3012,45655014
01/21/2015,ADMF,Adira Dinamika Multi Finance Tbk.,7050,7075,6950,6975,28600
01/21/2015,ADMG,Polychem Indonesia Tbk,151,152,150,152,296700
01/21/2015,ADRO,Adaro Energy Tbk.,985,1010,970,1005,82277900
01/21/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,103,105,103,104,724500
01/21/2015,AGRS,Bank Agris Tbk.,140,140,130,139,30509800
01/21/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,189,189,189,189,5188
01/21/2015,AIMS,Akbar Indo Makmur Stimec Tbk,346,430,346,430,600
01/21/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2020,2055,2000,2030,3130600
01/21/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
01/21/2015,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,0
01/21/2015,AKRA,AKR Corporindo Tbk.,4525,4595,4500,4575,8764200
01/21/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
01/21/2015,ALDO,Alkindo Naratama Tbk.,715,720,710,715,403100
01/21/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
01/21/2015,ALMI,Alumindo Light Metal Industry Tbk.,244,244,243,244,80200
01/21/2015,ALTO,Tri Banyan Tirta Tbk.,345,348,345,347,1008400
01/21/2015,AMAG,Asuransi Multi Artha Guna Tbk.,235,240,234,239,156100
