<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
05/08/2014,AALI,Astra Agro Lestari Tbk.,29600,29600,29000,29025,436300
05/08/2014,ABBA,Mahaka Media Tbk.,86,86,78,79,31800
05/08/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5475,5475,5475,5475,100
05/08/2014,ABMM,ABM Investama Tbk.,2925,2925,2925,2925,0
05/08/2014,ACES,Ace Hardware Indonesia Tbk.,795,815,795,810,10984200
05/08/2014,ACST,Acset Indonusa Tbk.,2300,2375,2300,2370,4000
05/08/2014,ADES,Akasha Wira International Tbk.,1875,1880,1865,1865,73400
05/08/2014,ADHI,Adhi Karya (Persero) Tbk.,2673,2749,2668,2736,125150787
05/08/2014,ADMF,Adira Dinamika Multi Finance Tbk.,10000,10200,9900,10050,14800
05/08/2014,ADMG,Polychem Indonesia Tbk,199,199,196,197,262900
05/08/2014,ADRO,Adaro Energy Tbk.,1135,1150,1100,1100,67819400
05/08/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,115,116,112,112,1462067
05/08/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,181,181,181,181,0
05/08/2014,AIMS,Akbar Indo Makmur Stimec Tbk,345,345,345,345,100
05/08/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2300,2315,2260,2265,3693200
05/08/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
05/08/2014,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,0
05/08/2014,AKRA,AKR Corporindo Tbk.,4555,4600,4550,4555,7334400
05/08/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
05/08/2014,ALDO,Alkindo Naratama Tbk.,665,670,655,660,3243000
05/08/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
05/08/2014,ALMI,Alumindo Light Metal Industry Tbk.,369,369,369,369,900
05/08/2014,ALTO,Tri Banyan Tirta Tbk.,540,540,540,540,0
05/08/2014,AMAG,Asuransi Multi Artha Guna Tbk.,258,258,246,246,33300
05/08/2014,AMFG,Asahimas Flat Glass Tbk.,7200,7200,6925,6925,500
05/08/2014,AMRT,Sumber Alfaria Trijaya Tbk.,510,530,500,500,2781100
05/08/2014,ANJT,Austindo Nusantara Jaya Tbk.,1595,1595,1595,1595,0
05/08/2014,ANTM,Aneka Tambang (Persero) Tbk.,1000,1021,987,1008,103880959
05/08/2014,APEX,Apexindo Pratama Duta Tbk.,4215,4215,4200,4210,51700
05/08/2014,APIC,Pacific Strategic Financial Tbk.,510,515,505,510,25187600
05/08/2014,APII,Arita Prima Indonesia Tbk.,242,242,242,242,30700
05/08/2014,APLI,Asiaplast Industries Tbk.,66,71,66,68,75400
05/08/2014,APLN,Agung Podomoro Land Tbk.,271,278,270,276,23723700
05/08/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,0
05/08/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
05/08/2014,ARII,Atlas Resources Tbk.,705,710,685,700,3465700
05/08/2014,ARNA,Arwana Citramulia Tbk.,995,1015,985,1005,6375800
05/08/2014,ARTA,Arthavest Tbk,220,220,205,219,87900
05/08/2014,ARTI,Ratu Prabu Energi Tbk,181,190,181,190,12865500
05/08/2014,ASBI,Asuransi Bintang Tbk.,498,498,498,498,800
05/08/2014,ASDM,Asuransi Dayin Mitra Tbk.,800,800,800,800,0
05/08/2014,ASGR,Astra Graphia Tbk.,2150,2175,2070,2095,436400
05/08/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
05/08/2014,ASII,Astra International Tbk.,7550,7575,7475,7475,23525300
05/08/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
05/08/2014,ASMI,Asuransi Kresna Mitra Tbk.,474,476,473,475,3398200
05/08/2014,ASRI,Alam Sutera Realty Tbk.,515,520,505,510,74799300
05/08/2014,ASRM,Asuransi Ramayana Tbk.,1100,1100,1100,1100,0
05/08/2014,ASSA,Adi Sarana Armada Tbk.,305,305,296,300,611000
05/08/2014,ATPK,Bara Jaya Internasional Tbk.,230,235,225,228,285500
05/08/2014,AUTO,Astra Otoparts Tbk.,3990,3995,3965,3980,171100
