<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
12/15/2014,AALI,Astra Agro Lestari Tbk.,23450,23450,23125,23125,1052900
12/15/2014,ABBA,Mahaka Media Tbk.,63,67,62,63,1420300
12/15/2014,ABDA,Asuransi Bina Dana Arta Tbk.,6175,6175,6175,6175,14500
12/15/2014,ABMM,ABM Investama Tbk.,2475,2580,2475,2580,385000
12/15/2014,ACES,Ace Hardware Indonesia Tbk.,785,785,765,765,6974600
12/15/2014,ACST,Acset Indonusa Tbk.,3390,3400,3350,3400,134700
12/15/2014,ADES,Akasha Wira International Tbk.,1365,1365,1360,1365,82500
12/15/2014,ADHI,Adhi Karya (Persero) Tbk.,2588,2605,2554,2571,43860554
12/15/2014,ADMF,Adira Dinamika Multi Finance Tbk.,7300,7325,7150,7250,19700
12/15/2014,ADMG,Polychem Indonesia Tbk,168,197,166,188,7777700
12/15/2014,ADRO,Adaro Energy Tbk.,1005,1025,995,1025,37507800
12/15/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,112,112,109,111,4641233
12/15/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,189,189,189,189,0
12/15/2014,AIMS,Akbar Indo Makmur Stimec Tbk,380,380,380,380,0
12/15/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2135,2150,2120,2125,3788100
12/15/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
12/15/2014,AKPI,Argha Karya Prima Industry Tbk.,790,790,790,790,0
12/15/2014,AKRA,AKR Corporindo Tbk.,4650,4675,4620,4670,9652300
12/15/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
12/15/2014,ALDO,Alkindo Naratama Tbk.,750,750,740,745,1253100
12/15/2014,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
12/15/2014,ALMI,Alumindo Light Metal Industry Tbk.,260,265,255,265,140400
12/15/2014,ALTO,Tri Banyan Tirta Tbk.,355,355,350,355,473000
12/15/2014,AMAG,Asuransi Multi Artha Guna Tbk.,235,239,234,239,193300
12/15/2014,AMFG,Asahimas Flat Glass Tbk.,7800,8000,7750,7900,24700
12/15/2014,AMRT,Sumber Alfaria Trijaya Tbk.,505,505,495,500,629500
12/15/2014,ANJT,Austindo Nusantara Jaya Tbk.,1325,1325,1325,1325,0
12/15/2014,ANTM,Aneka Tambang (Persero) Tbk.,806,815,802,802,14397926
12/15/2014,APEX,Apexindo Pratama Duta Tbk.,3000,3150,2325,3150,53600
12/15/2014,APIC,Pacific Strategic Financial Tbk.,550,550,540,550,28117400
12/15/2014,APII,Arita Prima Indonesia Tbk.,430,430,430,430,0
12/15/2014,APLI,Asiaplast Industries Tbk.,97,103,81,87,2138900
12/15/2014,APLN,Agung Podomoro Land Tbk.,343,343,331,338,15367300
12/15/2014,APOL,Arpeni Pratama Ocean Line Tbk.,77,102,72,102,921758900
12/15/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
12/15/2014,ARII,Atlas Resources Tbk.,375,375,375,375,0
12/15/2014,ARNA,Arwana Citramulia Tbk.,920,920,885,890,748600
12/15/2014,ARTA,Arthavest Tbk,223,223,223,223,4300
12/15/2014,ARTI,Ratu Prabu Energi Tbk,102,105,100,102,2994600
12/15/2014,ASBI,Asuransi Bintang Tbk.,950,950,950,950,0
12/15/2014,ASDM,Asuransi Dayin Mitra Tbk.,1190,1190,1190,1190,0
12/15/2014,ASGR,Astra Graphia Tbk.,1950,1950,1915,1930,1991500
12/15/2014,ASII,Astra International Tbk.,7100,7150,6975,7025,31417200
12/15/2014,ASJT,Asuransi Jasa Tania Tbk.,435,435,435,435,0
12/15/2014,ASMI,Asuransi Kresna Mitra Tbk.,545,550,545,545,1350500
12/15/2014,ASRI,Alam Sutera Realty Tbk.,575,575,550,560,148428300
12/15/2014,ASRM,Asuransi Ramayana Tbk.,1285,1285,1285,1285,2000
12/15/2014,ASSA,Adi Sarana Armada Tbk.,175,176,174,176,7000
12/15/2014,ATPK,Bara Jaya Internasional Tbk.,212,212,209,210,1171500
12/15/2014,AUTO,Astra Otoparts Tbk.,3750,3800,3700,3775,73300
12/15/2014,BABP,Bank MNC Internasional Tbk.,99,101,94,95,59383100
12/15/2014,BACA,Bank Capital Indonesia Tbk.,90,90,90,90,100
12/15/2014,BAEK,Bank Ekonomi Raharja Tbk.,1800,1800,1800,1800,0
12/15/2014,BAJA,Saranacentral Bajatama Tbk.,328,360,325,336,12657500
12/15/2014,BALI,Bali Towerindo Sentra Tbk.,410,410,410,410,500
12/15/2014,BAPA,Bekasi Asri Pemula Tbk.,51,51,50,50,43200
12/15/2014,BATA,Sepatu Bata Tbk.,1040,1070,1040,1070,84000
12/15/2014,BAYU,Bayu Buana Tbk,1015,1015,1015,1015,0
12/15/2014,BBCA,Bank Central Asia Tbk.,13000,13100,12875,13050,18926600
12/15/2014,BBKP,Bank Bukopin Tbk.,755,760,755,755,2282500
12/15/2014,BBLD,Buana Finance Tbk.,2000,2000,2000,2000,0
12/15/2014,BBMD,Bank Mestika Dharma Tbk.,1600,1600,1600,1600,0
12/15/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,5925,6000,5875,5875,35327100
12/15/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1850,1850,1850,1850,0
12/15/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,11450,11600,11400,11450,19320200
12/15/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,203,203,190,194,470600
12/15/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1170,1170,1155,1165,32433200
12/15/2014,BCAP,MNC Kapital Indonesia Tbk.,1003,1003,993,993,268600
12/15/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
12/15/2014,BCIP,Bumi Citra Permai Tbk.,675,710,675,695,30005000
12/15/2014,BDMN,Bank Danamon Indonesia Tbk.,4450,4475,4400,4455,1737400
12/15/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,80,80,77,79,123800
12/15/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,725,725,690,700,24839700
12/15/2014,BFIN,BFI Finance  Indonesia Tbk.,2300,2340,2300,2300,151900
12/15/2014,BHIT,MNC Investama Tbk.,291,298,282,282,18784200
12/15/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
12/15/2014,BINA,Bank Ina Perdana Tbk.,279,279,279,279,0
12/15/2014,BIPI,Benakat Integra Tbk.,127,130,123,123,8049000
12/15/2014,BIPP,Bhuwanatala Indah Permai Tbk.,103,105,102,103,1454159
12/15/2014,BIRD,Blue Bird Tbk.,8550,8575,8450,8550,593300
12/15/2014,BISI,BISI International Tbk.,660,705,640,685,3375200
