<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
02/10/2015,AALI,Astra Agro Lestari Tbk.,25025,25425,24700,24725,1282200
02/10/2015,ABBA,Mahaka Media Tbk.,67,68,61,64,317800
02/10/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6600,6600,6575,6575,800
02/10/2015,ABMM,ABM Investama Tbk.,2925,2925,2925,2925,0
02/10/2015,ACES,Ace Hardware Indonesia Tbk.,760,760,750,750,7006100
02/10/2015,ACST,Acset Indonusa Tbk.,4400,4600,4400,4500,1559700
02/10/2015,ADES,Akasha Wira International Tbk.,1395,1395,1385,1385,12400
02/10/2015,ADHI,Adhi Karya (Persero) Tbk.,2974,2974,2923,2944,24581694
02/10/2015,ADMF,Adira Dinamika Multi Finance Tbk.,6875,6875,6850,6875,2400
02/10/2015,ADMG,Polychem Indonesia Tbk,153,157,153,155,1223500
02/10/2015,ADRO,Adaro Energy Tbk.,985,1005,980,995,75802100
02/10/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,103,105,103,103,1271200
02/10/2015,AGRS,Bank Agris Tbk.,131,131,130,131,2782800
02/10/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,194,194,194,194,0
02/10/2015,AIMS,Akbar Indo Makmur Stimec Tbk,415,415,415,415,0
02/10/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2045,2065,2030,2050,1319100
02/10/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
02/10/2015,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,0
02/10/2015,AKRA,AKR Corporindo Tbk.,4680,4720,4675,4700,7994500
02/10/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
02/10/2015,ALDO,Alkindo Naratama Tbk.,730,735,725,725,1315400
02/10/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
02/10/2015,ALMI,Alumindo Light Metal Industry Tbk.,245,245,244,244,600
02/10/2015,ALTO,Tri Banyan Tirta Tbk.,344,344,343,343,2092500
02/10/2015,AMAG,Asuransi Multi Artha Guna Tbk.,235,235,234,234,145500
02/10/2015,AMFG,Asahimas Flat Glass Tbk.,8400,8400,8400,8400,1900
02/10/2015,AMRT,Sumber Alfaria Trijaya Tbk.,475,475,467,468,25696500
02/10/2015,ANJT,Austindo Nusantara Jaya Tbk.,1190,1190,1190,1190,0
02/10/2015,ANTM,Aneka Tambang (Persero) Tbk.,869,878,865,869,6632365
02/10/2015,APEX,Apexindo Pratama Duta Tbk.,3325,3325,3325,3325,0
02/10/2015,APIC,Pacific Strategic Financial Tbk.,545,545,535,535,17243600
02/10/2015,APII,Arita Prima Indonesia Tbk.,400,400,400,400,0
02/10/2015,APLI,Asiaplast Industries Tbk.,74,74,74,74,0
02/10/2015,APLN,Agung Podomoro Land Tbk.,473,475,458,461,37167800
02/10/2015,APOL,Arpeni Pratama Ocean Line Tbk.,70,73,70,72,21209000
02/10/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
02/10/2015,ARII,Atlas Resources Tbk.,403,419,403,419,75600
02/10/2015,ARNA,Arwana Citramulia Tbk.,920,940,915,920,8628200
02/10/2015,ARTA,Arthavest Tbk,276,276,276,276,0
02/10/2015,ARTI,Ratu Prabu Energi Tbk,100,100,96,98,1393300
02/10/2015,ASBI,Asuransi Bintang Tbk.,620,620,620,620,100
02/10/2015,ASDM,Asuransi Dayin Mitra Tbk.,1000,1000,1000,1000,0
02/10/2015,ASGR,Astra Graphia Tbk.,1860,1875,1850,1855,290300
02/10/2015,ASII,Astra International Tbk.,7650,7700,7600,7625,27338800
02/10/2015,ASJT,Asuransi Jasa Tania Tbk.,153,153,151,153,615400
02/10/2015,ASMI,Asuransi Kresna Mitra Tbk.,635,640,630,640,1853100
02/10/2015,ASRI,Alam Sutera Realty Tbk.,640,640,625,630,73006800
02/10/2015,ASRM,Asuransi Ramayana Tbk.,1245,1245,1245,1245,0
02/10/2015,ASSA,Adi Sarana Armada Tbk.,185,196,183,183,35279800
02/10/2015,ATPK,Bara Jaya Internasional Tbk.,192,194,190,194,165000
02/10/2015,AUTO,Astra Otoparts Tbk.,3800,3830,3800,3830,254800
02/10/2015,BABP,Bank MNC Internasional Tbk.,90,91,89,89,19590900
02/10/2015,BACA,Bank Capital Indonesia Tbk.,112,114,112,112,362000
02/10/2015,BAEK,Bank Ekonomi Raharja Tbk.,2000,2000,2000,2000,1000
02/10/2015,BAJA,Saranacentral Bajatama Tbk.,244,246,241,241,1246400
02/10/2015,BALI,Bali Towerindo Sentra Tbk.,400,400,400,400,0
02/10/2015,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,100
02/10/2015,BATA,Sepatu Bata Tbk.,1100,1100,1100,1100,0
02/10/2015,BAYU,Bayu Buana Tbk,1000,1000,1000,1000,0
