<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
03/16/2015,AALI,Astra Agro Lestari Tbk.,25500,26525,25500,26025,1905400
03/16/2015,ABBA,Mahaka Media Tbk.,58,60,58,58,239800
03/16/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6200,6200,6200,6200,7500
03/16/2015,ABMM,ABM Investama Tbk.,2800,2800,2800,2800,0
03/16/2015,ACES,Ace Hardware Indonesia Tbk.,800,800,785,785,2717200
03/16/2015,ACST,Acset Indonusa Tbk.,5175,5200,5100,5200,286100
03/16/2015,ADES,Akasha Wira International Tbk.,1375,1380,1370,1375,81500
03/16/2015,ADHI,Adhi Karya (Persero) Tbk.,2630,2643,2605,2605,13434266
03/16/2015,ADMF,Adira Dinamika Multi Finance Tbk.,6550,6550,6550,6550,1000
03/16/2015,ADMG,Polychem Indonesia Tbk,139,139,136,138,496900
03/16/2015,ADRO,Adaro Energy Tbk.,960,965,945,945,41629200
03/16/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,104,104,103,103,1632400
03/16/2015,AGRS,Bank Agris Tbk.,177,177,152,152,17769700
03/16/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,194,194,194,194,247
03/16/2015,AIMS,Akbar Indo Makmur Stimec Tbk,355,355,355,355,0
03/16/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2175,2185,2155,2180,1109300
03/16/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
03/16/2015,AKPI,Argha Karya Prima Industry Tbk.,745,745,745,745,0
03/16/2015,AKRA,AKR Corporindo Tbk.,5125,5150,4995,5025,7715100
03/16/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
03/16/2015,ALDO,Alkindo Naratama Tbk.,725,725,725,725,217200
03/16/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
03/16/2015,ALMI,Alumindo Light Metal Industry Tbk.,240,245,240,245,25100
03/16/2015,ALTO,Tri Banyan Tirta Tbk.,351,353,349,351,3144500
03/16/2015,AMAG,Asuransi Multi Artha Guna Tbk.,237,237,235,235,2200200
03/16/2015,AMFG,Asahimas Flat Glass Tbk.,7400,7400,7225,7300,11100
03/16/2015,AMRT,Sumber Alfaria Trijaya Tbk.,465,466,450,450,7069300
03/16/2015,ANJT,Austindo Nusantara Jaya Tbk.,1170,1170,1170,1170,0
03/16/2015,ANTM,Aneka Tambang (Persero) Tbk.,823,823,802,802,12748374
03/16/2015,APEX,Apexindo Pratama Duta Tbk.,3300,3300,3300,3300,0
03/16/2015,APIC,Pacific Strategic Financial Tbk.,535,540,535,535,13677900
03/16/2015,APII,Arita Prima Indonesia Tbk.,320,320,315,315,32700
03/16/2015,APLI,Asiaplast Industries Tbk.,76,79,76,77,7674400
03/16/2015,APLN,Agung Podomoro Land Tbk.,411,412,407,409,12107300
03/16/2015,APOL,Arpeni Pratama Ocean Line Tbk.,71,73,70,70,19872600
03/16/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
03/16/2015,ARII,Atlas Resources Tbk.,408,413,408,413,108300
03/16/2015,ARNA,Arwana Citramulia Tbk.,885,885,835,840,558300
03/16/2015,ARTA,Arthavest Tbk,222,222,222,222,100
03/16/2015,ARTI,Ratu Prabu Energi Tbk,88,88,86,88,376700
03/16/2015,ASBI,Asuransi Bintang Tbk.,585,585,585,585,0
03/16/2015,ASDM,Asuransi Dayin Mitra Tbk.,995,995,995,995,0
03/16/2015,ASGR,Astra Graphia Tbk.,1900,1940,1900,1940,412600
03/16/2015,ASII,Astra International Tbk.,7900,8000,7875,7975,24470900
03/16/2015,ASJT,Asuransi Jasa Tania Tbk.,149,149,145,148,204800
03/16/2015,ASMI,Asuransi Kresna Mitra Tbk.,670,675,670,675,1295600
03/16/2015,ASRI,Alam Sutera Realty Tbk.,560,565,555,560,37383400
03/16/2015,ASRM,Asuransi Ramayana Tbk.,1040,1040,1040,1040,0
03/16/2015,ASSA,Adi Sarana Armada Tbk.,172,179,168,172,4660800
03/16/2015,ATPK,Bara Jaya Internasional Tbk.,179,179,179,179,5100
03/16/2015,AUTO,Astra Otoparts Tbk.,3600,3600,3515,3530,795500
03/16/2015,BABP,Bank MNC Internasional Tbk.,103,108,103,106,53496800
03/16/2015,BACA,Bank Capital Indonesia Tbk.,159,170,159,165,10474900
03/16/2015,BAEK,Bank Ekonomi Raharja Tbk.,2100,2100,2100,2100,0
03/16/2015,BAJA,Saranacentral Bajatama Tbk.,220,225,220,222,728900
03/16/2015,BALI,Bali Towerindo Sentra Tbk.,484,484,484,484,25000
03/16/2015,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,100
03/16/2015,BATA,Sepatu Bata Tbk.,1100,1100,1030,1100,5300
03/16/2015,BAYU,Bayu Buana Tbk,985,985,985,985,4100
03/16/2015,BBCA,Bank Central Asia Tbk.,14025,14325,14025,14150,12070700
03/16/2015,BBKP,Bank Bukopin Tbk.,760,760,735,745,4780700
03/16/2015,BBLD,Buana Finance Tbk.,925,925,925,925,0
03/16/2015,BBMD,Bank Mestika Dharma Tbk.,1575,1575,1575,1575,200
03/16/2015,BBNI,Bank Negara Indonesia (Persero) Tbk.,6725,6925,6675,6925,30810900
