<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
11/06/2015,AALI,Astra Agro Lestari Tbk.,19925,20225,19925,20025,704500
11/06/2015,ABBA,Mahaka Media Tbk.,50,50,50,50,5000
11/06/2015,ABDA,Asuransi Bina Dana Arta Tbk.,7075,7075,7075,7075,0
11/06/2015,ABMM,ABM Investama Tbk.,2450,2450,2450,2450,100
11/06/2015,ACES,Ace Hardware Indonesia Tbk.,710,715,675,675,12117500
11/06/2015,ACST,Acset Indonusa Tbk.,4120,4120,4120,4120,1000
11/06/2015,ADES,Akasha Wira International Tbk.,1005,1010,1005,1005,8500
11/06/2015,ADHI,Adhi Karya (Persero) Tbk.,2275,2295,2250,2255,8183300
11/06/2015,ADMF,Adira Dinamika Multi Finance Tbk.,3895,3895,3805,3825,74800
11/06/2015,ADMG,Polychem Indonesia Tbk,92,93,90,91,3280700
11/06/2015,ADRO,Adaro Energy Tbk.,640,645,620,620,16882600
11/06/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,102,104,102,103,2838800
11/06/2015,AGRS,Bank Agris Tbk.,95,95,95,95,0
11/06/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,173,173,173,173,0
11/06/2015,AIMS,Akbar Indo Makmur Stimec Tbk,420,420,420,420,0
11/06/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,1650,1685,1540,1605,2214000
11/06/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
11/06/2015,AKPI,Argha Karya Prima Industry Tbk.,800,800,800,800,0
11/06/2015,AKRA,AKR Corporindo Tbk.,6000,6075,5950,6025,6158300
11/06/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
11/06/2015,ALDO,Alkindo Naratama Tbk.,685,685,680,680,63800
11/06/2015,ALKA,Alakasa Industrindo Tbk,421,421,421,421,0
11/06/2015,ALMI,Alumindo Light Metal Industry Tbk.,204,204,188,203,27200
11/06/2015,ALTO,Tri Banyan Tirta Tbk.,328,330,328,330,120000
11/06/2015,AMAG,Asuransi Multi Artha Guna Tbk.,379,379,379,379,0
11/06/2015,AMFG,Asahimas Flat Glass Tbk.,6900,6900,6900,6900,500
11/06/2015,AMRT,Sumber Alfaria Trijaya Tbk.,545,545,545,545,100
11/06/2015,ANJT,Austindo Nusantara Jaya Tbk.,1610,1610,1610,1610,0
11/06/2015,ANTM,Aneka Tambang (Persero) Tbk.,353,361,353,355,101244200
11/06/2015,APEX,Apexindo Pratama Duta Tbk.,3330,3330,3330,3330,3100
11/06/2015,APIC,Pacific Strategic Financial Tbk.,630,635,630,635,1167000
11/06/2015,APII,Arita Prima Indonesia Tbk.,222,222,222,222,500
11/06/2015,APLI,Asiaplast Industries Tbk.,65,65,65,65,3000
11/06/2015,APLN,Agung Podomoro Land Tbk.,266,270,262,268,8757700
11/06/2015,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
11/06/2015,ARGO,Argo Pantes Tbk,900,900,900,900,0
11/06/2015,ARII,Atlas Resources Tbk.,400,400,400,400,12000
11/06/2015,ARNA,Arwana Citramulia Tbk.,429,438,429,434,70800
11/06/2015,ARTA,Arthavest Tbk,299,299,299,299,0
11/06/2015,ARTI,Ratu Prabu Energi Tbk,260,260,255,258,69392300
11/06/2015,ASBI,Asuransi Bintang Tbk.,440,440,440,440,2000
11/06/2015,ASDM,Asuransi Dayin Mitra Tbk.,900,1000,900,1000,5700
11/06/2015,ASGR,Astra Graphia Tbk.,1705,1705,1675,1675,3500
11/06/2015,ASII,Astra International Tbk.,6500,6650,6500,6600,44206300
11/06/2015,ASJT,Asuransi Jasa Tania Tbk.,160,160,160,160,7500
11/06/2015,ASMI,Asuransi Kresna Mitra Tbk.,860,860,850,855,1091200
11/06/2015,ASRI,Alam Sutera Realty Tbk.,382,389,376,384,56728700
11/06/2015,ASRM,Asuransi Ramayana Tbk.,2350,2350,2350,2350,0
11/06/2015,ASSA,Adi Sarana Armada Tbk.,110,112,110,111,23800
11/06/2015,ATIC,Anabatic Technologies Tbk.,705,705,695,695,1868100
11/06/2015,ATPK,Bara Jaya Internasional Tbk.,194,194,194,194,0
11/06/2015,AUTO,Astra Otoparts Tbk.,1765,1800,1760,1760,77200
11/06/2015,BABP,Bank MNC Internasional Tbk.,71,72,70,71,1003500
11/06/2015,BACA,Bank Capital Indonesia Tbk.,127,147,127,147,3900
11/06/2015,BAJA,Saranacentral Bajatama Tbk.,103,103,98,99,138000
11/06/2015,BALI,Bali Towerindo Sentra Tbk.,750,750,750,750,32500
11/06/2015,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,0
11/06/2015,BATA,Sepatu Bata Tbk.,1050,1050,1050,1050,0
11/06/2015,BAYU,Bayu Buana Tbk,910,910,910,910,0
11/06/2015,BBCA,Bank Central Asia Tbk.,13750,13750,13450,13550,5770700
11/06/2015,BBHI,Bank Harda Internasional Tbk.,100,100,100,100,598200
11/06/2015,BBKP,Bank Bukopin Tbk.,670,695,670,680,6495700
11/06/2015,BBLD,Buana Finance Tbk.,1110,1110,1110,1110,0
11/06/2015,BBMD,Bank Mestika Dharma Tbk.,1560,1560,1560,1560,0
11/06/2015,BBNI,Bank Negara Indonesia (Persero) Tbk.,4980,5025,4815,4815,11938300
11/06/2015,BBNP,Bank Nusantara Parahyangan Tbk.,1860,1860,1860,1860,0
11/06/2015,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10925,10975,10675,10700,11402800
11/06/2015,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,54,56,51,54,299400
11/06/2015,BBTN,Bank Tabungan Negara (Persero) Tbk.,1175,1180,1145,1145,14800900
11/06/2015,BBYB,Bank Yudha Bhakti Tbk.,120,120,110,113,35500
11/06/2015,BCAP,MNC Kapital Indonesia Tbk.,1470,1470,1460,1460,32300
11/06/2015,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
11/06/2015,BCIP,Bumi Citra Permai Tbk.,845,860,845,860,24668900
11/06/2015,BDMN,Bank Danamon Indonesia Tbk.,2990,3045,2975,2975,1418500
11/06/2015,BEKS,Bank Pembangunan Daerah Banten Tbk.,61,61,57,59,107700
11/06/2015,BEST,Bekasi Fajar Industrial Estate Tbk.,406,411,395,400,19896400
11/06/2015,BFIN,BFI Finance  Indonesia Tbk.,2600,2600,2600,2600,0
11/06/2015,BHIT,MNC Investama Tbk.,205,209,203,204,603500
11/06/2015,BIKA,Binakarya Jaya Abadi Tbk.,2020,2030,2015,2025,1151400
11/06/2015,BIMA,Primarindo Asia Infrastructure Tbk.,475,475,455,455,400
11/06/2015,BINA,Bank Ina Perdana Tbk.,290,290,290,290,0
11/06/2015,BIPI,Benakat Integra Tbk.,70,72,70,70,90369800
11/06/2015,BIPP,Bhuwanatala Indah Permai Tbk.,86,86,86,86,100
11/06/2015,BIRD,Blue Bird Tbk.,6900,6900,6350,6500,314800
11/06/2015,BISI,BISI International Tbk.,1360,1415,1335,1410,850700
11/06/2015,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,775,785,765,770,6226300
11/06/2015,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,455,457,445,457,724500
11/06/2015,BKDP,Bukit Darmo Property Tbk,81,81,81,81,0
11/06/2015,BKSL,Sentul City Tbk.,73,74,72,72,8869200
11/06/2015,BKSW,Bank QNB Indonesia Tbk.,329,329,329,329,0
11/06/2015,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
11/06/2015,BLTZ,Graha Layar Prima Tbk.,4800,4800,4800,4800,0
11/06/2015,BMAS,Bank Maspion Indonesia Tbk.,360,360,360,360,0
11/06/2015,BMRI,Bank Mandiri (Persero) Tbk.,8900,9075,8900,8975,9958900
11/06/2015,BMSR,Bintang Mitra Semestaraya Tbk,255,255,255,255,0
11/06/2015,BMTR,Global Mediacom Tbk.,870,895,865,895,2881000
11/06/2015,BNBA,Bank Bumi Arta Tbk.,175,175,175,175,1429200
11/06/2015,BNBR,Bakrie & Brothers Tbk,50,50,50,50,1000
11/06/2015,BNGA,Bank CIMB Niaga Tbk.,660,660,645,660,49900
11/06/2015,BNII,Bank Maybank Indonesia Tbk.,177,179,176,178,29400
11/06/2015,BNLI,Bank Permata Tbk.,1120,1120,1100,1120,4000
11/06/2015,BOLT,Garuda Metalindo Tbk.,1030,1105,1030,1080,14815400
11/06/2015,BORN,Borneo Lumbung Energi & Metal Tbk.,50,50,50,50,0
11/06/2015,BPFI,Batavia Prosperindo Finance Tbk.,600,600,600,600,0
11/06/2015,BPII,Batavia Prosperindo Internasional Tbk.,2600,2600,2600,2600,0
11/06/2015,BRAM,Indo Kordsa Tbk.,4590,4590,4590,4590,0
11/06/2015,BRAU,Berau Coal Energy Tbk.,82,82,82,82,0
11/06/2015,BRMS,Bumi Resources Minerals Tbk.,50,50,50,50,597300
11/06/2015,BRNA,Berlina Tbk.,650,650,650,650,2000
11/06/2015,BRPT,Barito Pacific Tbk.,128,133,128,133,2900
11/06/2015,BSDE,Bumi Serpong Damai Tbk.,1710,1735,1685,1705,4253300
11/06/2015,BSIM,Bank Sinarmas Tbk.,485,485,485,485,1014000
11/06/2015,BSSR,Baramulti Suksessarana Tbk.,1050,1095,1050,1095,200
11/06/2015,BSWD,Bank Of India Indonesia Tbk.,4330,4330,4330,4330,0
11/06/2015,BTEK,Bumi Teknokultura Unggul Tbk,1500,1570,1490,1495,49213400
11/06/2015,BTEL,Bakrie Telecom Tbk.,50,50,50,50,0
11/06/2015,BTON,Betonjaya Manunggal Tbk.,468,468,468,468,0
11/06/2015,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,2850,2850,2850,2850,5100
11/06/2015,BUDI,Budi Starch & Sweetener Tbk.,72,72,71,71,6100
11/06/2015,BUKK,Bukaka Teknik Utama Tbk.,710,715,630,630,21400
11/06/2015,BULL,Buana Listya Tama Tbk.,81,81,77,79,111600
11/06/2015,BUMI,Bumi Resources Tbk.,50,50,50,50,902200
11/06/2015,BUVA,Bukit Uluwatu Villa Tbk.,595,595,585,585,72400
11/06/2015,BVIC,Bank Victoria International Tbk.,106,107,102,107,56100
11/06/2015,BWPT,Eagle High Plantations Tbk.,232,239,224,228,19805800
11/06/2015,BYAN,Bayan Resources Tbk.,8100,8100,8100,8100,2000
11/06/2015,CANI,Capitol Nusantara Indonesia Tbk.,264,264,264,264,0
11/06/2015,CASS,Cardig Aero Services Tbk.,1200,1200,1200,1200,1300
11/06/2015,CEKA,Wilmar Cahaya Indonesia Tbk.,690,690,660,660,21800
11/06/2015,CENT,Centratama Telekomunikasi Indonesia Tbk.,155,155,155,155,0
11/06/2015,CFIN,Clipan Finance Indonesia Tbk.,285,285,280,280,6900
11/06/2015,CINT,Chitose Internasional Tbk.,341,341,341,341,4170000
11/06/2015,CITA,Cita Mineral Investindo Tbk.,940,940,940,940,0
11/06/2015,CKRA,Cakra Mineral Tbk.,59,59,58,58,622900
11/06/2015,CLPI,Colorpak Indonesia Tbk.,580,635,580,635,200
11/06/2015,CMNP,Citra Marga Nusaphala Persada Tbk.,1695,1695,1695,1695,0
11/06/2015,CMPP,Rimau Multi Putra Pratama Tbk.,117,123,116,116,1200
11/06/2015,CNKO,Exploitasi Energi Indonesia Tbk.,50,50,50,50,100
11/06/2015,CNTB,Saham Seri B ( Centex Tbk ),5000,5000,5000,5000,0
11/06/2015,CNTX,Century Textile Industry Tbk.,14550,14550,14550,14550,0
11/06/2015,COWL,Cowell Development Tbk.,605,605,600,605,1164300
11/06/2015,CPGT,Citra Maharlika Nusantara Corpora Tbk.,50,50,50,50,1100
11/06/2015,CPIN,Charoen Pokphand Indonesia Tbk,2705,2715,2650,2650,1110700
11/06/2015,CPRO,Central Proteina Prima Tbk.,50,50,50,50,0
11/06/2015,CSAP,Catur Sentosa Adiprana Tbk.,350,362,350,356,9884700
11/06/2015,CTBN,Citra Tubindo Tbk.,5225,5225,5225,5225,0
11/06/2015,CTRA,Ciputra Development Tbk.,1245,1290,1245,1270,7822600
11/06/2015,CTRP,Ciputra Property Tbk.,565,565,540,545,8363900
11/06/2015,CTRS,Ciputra Surya Tbk.,2600,2675,2495,2525,158600
11/06/2015,CTTH,Citatah Tbk.,59,59,59,59,0
11/06/2015,DAJK,Dwi Aneka Jaya Kemasindo Tbk.,243,257,239,243,376900
11/06/2015,DART,Duta Anggada Realty Tbk.,530,530,530,530,0
11/06/2015,DEFI,Danasupra Erapacific Tbk,1405,1405,1405,1405,0
11/06/2015,DEWA,Darma Henwa Tbk,50,50,50,50,0
11/06/2015,DGIK,Nusa Konstruksi Enjiniring Tbk.,78,80,77,78,498700
11/06/2015,DILD,Intiland Development Tbk.,515,515,505,505,17333500
11/06/2015,DKFT,Central Omega Resources Tbk.,397,397,397,397,0
11/06/2015,DLTA,Delta Djakarta Tbk.,5900,6250,5800,6000,66700
11/06/2015,DMAS,Puradelta Lestari Tbk.,219,226,215,221,26037500
11/06/2015,DNAR,Bank Dinar Indonesia Tbk.,125,125,125,125,0
11/06/2015,DNET,Indoritel Makmur Internasional Tbk.,1140,1140,1140,1140,50300
11/06/2015,DOID,Delta Dunia Makmur Tbk.,68,69,67,68,5923700
11/06/2015,DPNS,Duta Pertiwi Nusantara Tbk.,405,405,405,405,0
11/06/2015,DSFI,Dharma Samudera Fishing Industries Tbk.,134,136,133,133,4488400
11/06/2015,DSNG,Dharma Satya Nusantara Tbk.,610,630,600,600,553200
11/06/2015,DSSA,Dian Swastatika Sentosa Tbk,12100,12100,12100,12100,0
11/06/2015,DUTI,Duta Pertiwi Tbk,6500,6500,6500,6500,0
11/06/2015,DVLA,Darya-Varia Laboratoria Tbk.,1425,1425,1425,1425,200
11/06/2015,DYAN,Dyandra Media International Tbk.,67,67,65,65,1294400
11/06/2015,ECII,Electronic City Indonesia Tbk.,1020,1020,1020,1020,0
11/06/2015,EKAD,Ekadharma International Tbk.,410,413,400,412,40200
11/06/2015,ELSA,Elnusa Tbk.,335,351,333,350,68632700
11/06/2015,ELTY,Bakrieland Development Tbk.,50,50,50,50,0
11/06/2015,EMDE,Megapolitan Developments Tbk.,160,165,158,160,144300
11/06/2015,EMTK,Elang Mahkota Teknologi Tbk.,9975,9975,9975,9975,0
11/06/2015,ENRG,Energi Mega Persada Tbk.,50,50,50,50,13400
11/06/2015,EPMT,Enseval Putera Megatrading Tbk.,2055,2055,2055,2055,0
11/06/2015,ERAA,Erajaya Swasembada Tbk.,605,615,590,610,5656100
11/06/2015,ERTX,Eratex Djaja Tbk.,865,890,800,890,4900
11/06/2015,ESSA,Surya Esa Perkasa Tbk.,1900,1900,1900,1900,2400
11/06/2015,ESTI,Ever Shine Tex Tbk.,190,190,190,190,0
11/06/2015,ETWA,Eterindo Wahanatama Tbk,75,75,73,73,20100
11/06/2015,EXCL,XL Axiata Tbk.,3250,3250,3150,3150,387800
11/06/2015,FAST,Fast Food Indonesia Tbk.,1225,1225,1160,1160,300
11/06/2015,FASW,Fajar Surya Wisesa Tbk.,1135,1135,1130,1130,47700
11/06/2015,FISH,FKS Multi Agro Tbk.,1600,1600,1600,1600,0
11/06/2015,FMII,Fortune Mate Indonesia Tbk,387,389,387,389,894400
11/06/2015,FORU,Fortune Indonesia Tbk,680,680,680,680,100
11/06/2015,FPNI,Lotte Chemical Titan Tbk.,89,89,89,89,0
11/06/2015,FREN,Smartfren Telecom Tbk.,50,50,50,50,84700
11/06/2015,GAMA,Gading Development Tbk.,50,50,50,50,1000
11/06/2015,GDST,Gunawan Dianjaya Steel Tbk.,60,61,59,60,401300
11/06/2015,GDYR,Goodyear Indonesia Tbk.,1620,1620,1620,1620,0
11/06/2015,GEMA,Gema Grahasarana Tbk.,295,310,295,302,44500
11/06/2015,GEMS,Golden Energy Mines Tbk.,1500,1500,1500,1500,0
11/06/2015,GGRM,Gudang Garam Tbk.,48000,48450,47000,48100,841500
11/06/2015,GIAA,Garuda Indonesia (Persero) Tbk.,325,328,318,319,30211100
11/06/2015,GJTL,Gajah Tunggal Tbk.,600,615,600,600,842100
11/06/2015,GLOB,Global Teleshop Tbk.,775,775,775,775,500
11/06/2015,GMCW,Grahamas Citrawisata Tbk.,860,860,860,860,0
11/06/2015,GMTD,Gowa Makassar Tourism Development Tbk.,7600,7600,7600,7600,100
11/06/2015,GOLD,Visi Telekomunikasi Infrastruktur Tbk.,265,265,265,265,0
11/06/2015,GOLL,Golden Plantation Tbk.,97,98,97,98,400
11/06/2015,GPRA,Perdana Gapuraprima Tbk.,218,223,218,223,7000
11/06/2015,GREN,Evergreen Invesco Tbk.,141,142,141,142,772000
11/06/2015,GSMF,Equity Development Investment Tbk.,100,100,100,100,1000
11/06/2015,GTBO,Garda Tujuh Buana Tbk,260,260,260,260,0
11/06/2015,GWSA,Greenwood Sejahtera Tbk.,94,95,90,95,22000
11/06/2015,GZCO,Gozco Plantations Tbk.,84,84,82,83,594700
11/06/2015,HADE,HD Capital Tbk,51,51,51,51,0
11/06/2015,HDFA,Radana Bhaskara Finance Tbk.,219,219,219,219,0
11/06/2015,HDTX,Panasia Indo Resources Tbk.,950,950,950,950,0
11/06/2015,HERO,Hero Supermarket Tbk.,1450,1450,1450,1450,10000
11/06/2015,HEXA,Hexindo Adiperkasa Tbk.,1810,1810,1795,1795,6000
11/06/2015,HITS,Humpuss Intermoda Transportasi Tbk.,705,720,705,720,6000
11/06/2015,HMSP,H.M. Sampoerna Tbk.,95375,95800,95025,95400,884900
11/06/2015,HOME,Hotel Mandarine Regency Tbk.,197,203,195,203,911100
11/06/2015,HOTL,Saraswati Griya Lestari Tbk.,134,140,133,140,450500
11/06/2015,HRUM,Harum Energy Tbk.,840,840,825,830,667200
11/06/2015,IATA,Indonesia Transport & Infrastructure Tbk,50,50,50,50,100
11/06/2015,IBFN,Intan Baruprana Finance Tbk.,164,180,164,164,80700
11/06/2015,IBST,Inti Bangun Sejahtera Tbk.,2100,2100,2100,2100,0
11/06/2015,ICBP,Indofood CBP Sukses Makmur Tbk.,13100,13125,13000,13000,1651000
11/06/2015,ICON,Island Concepts Indonesia Tbk.,479,479,479,479,0
11/06/2015,IGAR,Champion Pacific Indonesia Tbk.,277,277,277,277,0
11/06/2015,IIKP,Inti Agri Resources Tbk,900,910,900,900,1676000
11/06/2015,IKAI,Intikeramik Alamasri Industri Tbk.,114,114,104,104,1200
11/06/2015,IKBI,Sumi Indo Kabel Tbk.,1045,1045,1045,1045,0
11/06/2015,IMAS,Indomobil Sukses Internasional Tbk.,2755,2755,2755,2755,100
11/06/2015,IMJS,Indomobil Multi Jasa Tbk.,440,440,440,440,0
11/06/2015,IMPC,Impack Pratama Industri Tbk.,9175,9200,9150,9175,243000
11/06/2015,INAF,Indofarma Tbk.,142,160,142,158,27820500
11/06/2015,INAI,Indal Aluminium Industry Tbk.,378,378,364,364,800
11/06/2015,INCI,Intanwijaya Internasional Tbk,310,312,305,309,10900
11/06/2015,INCO,Vale Indonesia Tbk.,2250,2265,2215,2225,1863900
