<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
06/09/2015,AALI,Astra Agro Lestari Tbk.,23775,23775,22500,23200,1130700
06/09/2015,ABBA,Mahaka Media Tbk.,50,51,50,51,211200
06/09/2015,ABDA,Asuransi Bina Dana Arta Tbk.,5975,5975,5975,5975,0
06/09/2015,ABMM,ABM Investama Tbk.,2750,2900,2700,2900,110700
06/09/2015,ACES,Ace Hardware Indonesia Tbk.,665,665,600,620,30882600
06/09/2015,ACST,Acset Indonusa Tbk.,4650,4800,4350,4800,323700
06/09/2015,ADES,Akasha Wira International Tbk.,1390,1395,1390,1395,147900
06/09/2015,ADHI,Adhi Karya (Persero) Tbk.,1926,1926,1778,1854,75778750
06/09/2015,ADMF,Adira Dinamika Multi Finance Tbk.,5000,5125,4825,4850,22900
06/09/2015,ADMG,Polychem Indonesia Tbk,124,124,116,120,272000
06/09/2015,ADRO,Adaro Energy Tbk.,875,875,830,835,32388000
06/09/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,95,95,91,92,777700
06/09/2015,AGRS,Bank Agris Tbk.,132,132,125,128,50500
06/09/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,162,162,162,162,37059
06/09/2015,AIMS,Akbar Indo Makmur Stimec Tbk,420,420,420,420,0
06/09/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,1830,1835,1700,1725,5602300
06/09/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
06/09/2015,AKPI,Argha Karya Prima Industry Tbk.,600,600,600,600,0
06/09/2015,AKRA,AKR Corporindo Tbk.,5400,5625,5100,5150,7746800
06/09/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
06/09/2015,ALDO,Alkindo Naratama Tbk.,735,735,735,735,324000
06/09/2015,ALKA,Alakasa Industrindo Tbk,760,760,760,760,0
06/09/2015,ALMI,Alumindo Light Metal Industry Tbk.,232,232,226,226,32000
06/09/2015,ALTO,Tri Banyan Tirta Tbk.,349,349,349,349,292000
06/09/2015,AMAG,Asuransi Multi Artha Guna Tbk.,367,367,344,362,1462600
06/09/2015,AMFG,Asahimas Flat Glass Tbk.,7250,7300,7050,7250,17600
06/09/2015,AMRT,Sumber Alfaria Trijaya Tbk.,560,560,555,555,123400
06/09/2015,ANJT,Austindo Nusantara Jaya Tbk.,1000,1195,1000,1195,88900
06/09/2015,ANTM,Aneka Tambang (Persero) Tbk.,634,634,613,613,8401471
06/09/2015,APEX,Apexindo Pratama Duta Tbk.,3320,3320,3320,3320,4800
06/09/2015,APIC,Pacific Strategic Financial Tbk.,550,550,540,545,12356200
06/09/2015,APII,Arita Prima Indonesia Tbk.,300,300,300,300,0
06/09/2015,APLI,Asiaplast Industries Tbk.,75,75,75,75,0
06/09/2015,APLN,Agung Podomoro Land Tbk.,369,369,335,340,14921900
06/09/2015,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
06/09/2015,ARGO,Argo Pantes Tbk,850,850,850,850,0
06/09/2015,ARII,Atlas Resources Tbk.,410,410,410,410,18300
06/09/2015,ARNA,Arwana Citramulia Tbk.,660,660,625,660,4975400
06/09/2015,ARTA,Arthavest Tbk,234,234,234,234,0
06/09/2015,ARTI,Ratu Prabu Energi Tbk,185,185,185,185,0
06/09/2015,ASBI,Asuransi Bintang Tbk.,450,450,440,440,7500
06/09/2015,ASDM,Asuransi Dayin Mitra Tbk.,1000,1000,1000,1000,2000
06/09/2015,ASGR,Astra Graphia Tbk.,2020,2020,1920,1995,1281400
06/09/2015,ASII,Astra International Tbk.,6950,6950,6550,6850,47627600
06/09/2015,ASJT,Asuransi Jasa Tania Tbk.,150,150,150,150,0
06/09/2015,ASMI,Asuransi Kresna Mitra Tbk.,775,775,765,770,689800
06/09/2015,ASRI,Alam Sutera Realty Tbk.,560,560,520,525,102219100
06/09/2015,ASRM,Asuransi Ramayana Tbk.,1320,1320,1320,1320,0
06/09/2015,ASSA,Adi Sarana Armada Tbk.,145,145,132,138,2017400
06/09/2015,ATPK,Bara Jaya Internasional Tbk.,201,201,198,198,86700
06/09/2015,AUTO,Astra Otoparts Tbk.,2520,2550,2340,2550,217300
06/09/2015,BABP,Bank MNC Internasional Tbk.,90,90,80,83,22685250
06/09/2015,BACA,Bank Capital Indonesia Tbk.,195,195,192,193,3226400
06/09/2015,BAEK,Bank Ekonomi Raharja Tbk.,2100,2100,2100,2100,0
06/09/2015,BAJA,Saranacentral Bajatama Tbk.,172,172,158,160,204100
06/09/2015,BALI,Bali Towerindo Sentra Tbk.,500,500,500,500,0
06/09/2015,BAPA,Bekasi Asri Pemula Tbk.,50,50,50,50,80000
06/09/2015,BATA,Sepatu Bata Tbk.,1035,1050,1035,1050,700
06/09/2015,BAYU,Bayu Buana Tbk,1000,1045,1000,1045,300
06/09/2015,BBCA,Bank Central Asia Tbk.,13400,13525,13050,13300,26388300
06/09/2015,BBKP,Bank Bukopin Tbk.,690,690,680,680,17179900
06/09/2015,BBLD,Buana Finance Tbk.,1140,1140,1140,1140,100
06/09/2015,BBMD,Bank Mestika Dharma Tbk.,1600,1600,1600,1600,0
