<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
01/02/2015,AALI,Astra Agro Lestari Tbk.,24300,25000,24250,24575,1320600
01/02/2015,ABBA,Mahaka Media Tbk.,61,63,61,62,93000
01/02/2015,ABDA,Asuransi Bina Dana Arta Tbk.,6225,6225,6225,6225,5000
01/02/2015,ABMM,ABM Investama Tbk.,3050,3050,3050,3050,0
01/02/2015,ACES,Ace Hardware Indonesia Tbk.,785,790,775,780,15328600
01/02/2015,ACST,Acset Indonusa Tbk.,3725,3725,3535,3650,136600
01/02/2015,ADES,Akasha Wira International Tbk.,1375,1375,1350,1360,296900
01/02/2015,ADHI,Adhi Karya (Persero) Tbk.,2953,3042,2944,3033,68178755
01/02/2015,ADMF,Adira Dinamika Multi Finance Tbk.,7200,7225,7150,7175,14000
01/02/2015,ADMG,Polychem Indonesia Tbk,166,167,163,164,158400
01/02/2015,ADRO,Adaro Energy Tbk.,1045,1050,1035,1040,6216800
01/02/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,105,108,104,107,2513467
01/02/2015,AGRS,Bank Agris Tbk.,143,154,130,143,2544100
01/02/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,216,216,216,216,0
01/02/2015,AIMS,Akbar Indo Makmur Stimec Tbk,375,375,375,375,0
01/02/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2100,2115,2080,2080,996500
01/02/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
01/02/2015,AKPI,Argha Karya Prima Industry Tbk.,830,830,830,830,0
01/02/2015,AKRA,AKR Corporindo Tbk.,4120,4500,4110,4500,22088600
01/02/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
01/02/2015,ALDO,Alkindo Naratama Tbk.,735,745,735,735,1188000
01/02/2015,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
01/02/2015,ALMI,Alumindo Light Metal Industry Tbk.,255,255,255,255,4000
01/02/2015,ALTO,Tri Banyan Tirta Tbk.,355,355,352,352,514100
01/02/2015,AMAG,Asuransi Multi Artha Guna Tbk.,233,238,231,235,92600
01/02/2015,AMFG,Asahimas Flat Glass Tbk.,8075,8175,7950,8175,52200
01/02/2015,AMRT,Sumber Alfaria Trijaya Tbk.,490,497,490,497,4400
01/02/2015,ANJT,Austindo Nusantara Jaya Tbk.,1325,1325,1325,1325,0
01/02/2015,ANTM,Aneka Tambang (Persero) Tbk.,895,895,869,878,8353052
01/02/2015,APEX,Apexindo Pratama Duta Tbk.,3300,3300,3300,3300,0
01/02/2015,APIC,Pacific Strategic Financial Tbk.,560,570,555,565,18042200
01/02/2015,APII,Arita Prima Indonesia Tbk.,430,430,430,430,0
01/02/2015,APLI,Asiaplast Industries Tbk.,81,81,81,81,0
01/02/2015,APLN,Agung Podomoro Land Tbk.,336,339,334,337,17719700
01/02/2015,APOL,Arpeni Pratama Ocean Line Tbk.,78,93,77,86,216580300
01/02/2015,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
01/02/2015,ARII,Atlas Resources Tbk.,448,485,430,440,4000
01/02/2015,ARNA,Arwana Citramulia Tbk.,870,870,860,870,243600
01/02/2015,ARTA,Arthavest Tbk,333,333,333,333,0
01/02/2015,ARTI,Ratu Prabu Energi Tbk,102,116,102,112,11665000
01/02/2015,ASBI,Asuransi Bintang Tbk.,950,950,950,950,0
01/02/2015,ASDM,Asuransi Dayin Mitra Tbk.,1150,1150,1150,1150,0
01/02/2015,ASGR,Astra Graphia Tbk.,1900,1900,1895,1895,142100
01/02/2015,ASII,Astra International Tbk.,7475,7475,7375,7400,11250600
01/02/2015,ASJT,Asuransi Jasa Tania Tbk.,148,151,148,149,3227200
01/02/2015,ASMI,Asuransi Kresna Mitra Tbk.,540,540,535,540,1644100
01/02/2015,ASRI,Alam Sutera Realty Tbk.,560,585,555,580,101460100
01/02/2015,ASRM,Asuransi Ramayana Tbk.,1285,1285,1285,1285,0
01/02/2015,ASSA,Adi Sarana Armada Tbk.,162,162,156,156,133100
01/02/2015,ATPK,Bara Jaya Internasional Tbk.,208,209,208,208,201300
01/02/2015,AUTO,Astra Otoparts Tbk.,4125,4125,3920,4050,5100
01/02/2015,BABP,Bank MNC Internasional Tbk.,94,95,93,94,4654650
01/02/2015,BACA,Bank Capital Indonesia Tbk.,96,96,96,96,0
01/02/2015,BAEK,Bank Ekonomi Raharja Tbk.,1800,1800,1800,1800,0
01/02/2015,BAJA,Saranacentral Bajatama Tbk.,295,297,285,285,1353900
01/02/2015,BALI,Bali Towerindo Sentra Tbk.,420,420,420,420,500
01/02/2015,BAPA,Bekasi Asri Pemula Tbk.,50,51,50,50,15900
01/02/2015,BATA,Sepatu Bata Tbk.,1100,1130,1100,1130,5000
01/02/2015,BAYU,Bayu Buana Tbk,980,980,980,980,200
01/02/2015,BBCA,Bank Central Asia Tbk.,13275,13275,13150,13225,5860500
01/02/2015,BBKP,Bank Bukopin Tbk.,745,750,735,745,3720900
01/02/2015,BBLD,Buana Finance Tbk.,1875,1875,1875,1875,0
01/02/2015,BBMD,Bank Mestika Dharma Tbk.,1400,1400,1400,1400,100
