<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
03/07/2014,AALI,Astra Agro Lestari Tbk.,27600,27850,27275,27575,1424600
03/07/2014,ABBA,Mahaka Media Tbk.,92,116,92,104,90800
03/07/2014,ABDA,Asuransi Bina Dana Arta Tbk.,4200,4200,4200,4200,1000
03/07/2014,ABMM,ABM Investama Tbk.,2840,2840,2840,2840,0
03/07/2014,ACES,Ace Hardware Indonesia Tbk.,800,800,790,795,7844300
03/07/2014,ACST,Acset Indonusa Tbk.,2150,2150,2130,2150,53500
03/07/2014,ADES,Akasha Wira International Tbk.,2125,2190,2120,2140,1028900
03/07/2014,ADHI,Adhi Karya (Persero) Tbk.,2142,2172,2134,2138,35121592
03/07/2014,ADMF,Adira Dinamika Multi Finance Tbk.,9350,9450,9350,9350,3500
03/07/2014,ADMG,Polychem Indonesia Tbk,220,222,218,221,506000
03/07/2014,ADRO,Adaro Energy Tbk.,1030,1035,1010,1015,58485800
03/07/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,120,121,118,118,2804667
03/07/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,159,159,159,159,0
03/07/2014,AIMS,Akbar Indo Makmur Stimec Tbk,725,725,690,690,9100
03/07/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,1945,1975,1925,1935,5577700
03/07/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
03/07/2014,AKPI,Argha Karya Prima Industry Tbk.,705,750,705,750,2700
03/07/2014,AKRA,AKR Corporindo Tbk.,4800,4805,4710,4745,7905300
03/07/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
03/07/2014,ALDO,Alkindo Naratama Tbk.,665,675,660,665,5858400
03/07/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
03/07/2014,ALMI,Alumindo Light Metal Industry Tbk.,300,301,300,301,15500
03/07/2014,ALTO,Tri Banyan Tirta Tbk.,555,555,550,555,1707500
03/07/2014,AMAG,Asuransi Multi Artha Guna Tbk.,230,231,225,231,872400
03/07/2014,AMFG,Asahimas Flat Glass Tbk.,7000,7000,7000,7000,0
03/07/2014,AMRT,Sumber Alfaria Trijaya Tbk.,455,460,452,460,342500
03/07/2014,ANJT,Austindo Nusantara Jaya Tbk.,1630,1630,1630,1630,0
03/07/2014,ANTM,Aneka Tambang (Persero) Tbk.,949,974,937,949,145724319
03/07/2014,APEX,Apexindo Pratama Duta Tbk.,2570,2575,2570,2575,61600
03/07/2014,APIC,Pacific Strategic Financial Tbk.,525,525,515,520,6486200
03/07/2014,APII,Arita Prima Indonesia Tbk.,252,253,252,253,12000
03/07/2014,APLI,Asiaplast Industries Tbk.,70,70,63,66,37000
03/07/2014,APLN,Agung Podomoro Land Tbk.,245,245,240,243,69894200
03/07/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,1400
03/07/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
03/07/2014,ARII,Atlas Resources Tbk.,715,715,710,715,5036800
03/07/2014,ARNA,Arwana Citramulia Tbk.,830,845,825,835,11026600
03/07/2014,ARTA,Arthavest Tbk,197,197,197,197,0
03/07/2014,ARTI,Ratu Prabu Energi Tbk,182,182,173,175,129100
03/07/2014,ASBI,Asuransi Bintang Tbk.,475,475,475,475,0
03/07/2014,ASDM,Asuransi Dayin Mitra Tbk.,720,720,720,720,0
03/07/2014,ASGR,Astra Graphia Tbk.,2005,2005,1960,1970,283600
03/07/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
03/07/2014,ASII,Astra International Tbk.,7100,7100,6975,7000,34527600
03/07/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
03/07/2014,ASMI,Asuransi Kresna Mitra Tbk.,454,454,450,451,1770400
03/07/2014,ASRI,Alam Sutera Realty Tbk.,610,620,605,605,245383900
03/07/2014,ASRM,Asuransi Ramayana Tbk.,965,1000,965,1000,200
03/07/2014,ASSA,Adi Sarana Armada Tbk.,295,297,295,296,959100
03/07/2014,ATPK,Bara Jaya Internasional Tbk.,265,265,265,265,0
03/07/2014,AUTO,Astra Otoparts Tbk.,3800,3830,3685,3705,2502000
03/07/2014,BABP,Bank MNC Internasional Tbk.,132,133,130,132,8254449
03/07/2014,BACA,Bank Capital Indonesia Tbk.,83,83,80,81,552800
03/07/2014,BAEK,Bank Ekonomi Raharja Tbk.,2000,2000,2000,2000,0
03/07/2014,BAJA,Saranacentral Bajatama Tbk.,1220,1230,1215,1220,1735600
03/07/2014,BAPA,Bekasi Asri Pemula Tbk.,60,60,60,60,0
03/07/2014,BATA,Sepatu Bata Tbk.,980,990,960,990,40800
03/07/2014,BAYU,Bayu Buana Tbk,429,429,429,429,100
03/07/2014,BBCA,Bank Central Asia Tbk.,10600,10675,10550,10600,18001300
03/07/2014,BBKP,Bank Bukopin Tbk.,645,645,630,630,4785000
03/07/2014,BBLD,Buana Finance Tbk.,930,930,930,930,0
03/07/2014,BBMD,Bank Mestika Dharma Tbk.,1645,1670,1645,1660,3685700
03/07/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,4820,4875,4760,4825,26276300
03/07/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1480,1480,1480,1480,0
03/07/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,9500,9500,9225,9250,31414000
03/07/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,164,164,143,158,50549
03/07/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1180,1195,1160,1195,56210500
03/07/2014,BCAP,MNC Kapital Indonesia Tbk.,1082,1136,1077,1086,979200
03/07/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
03/07/2014,BCIP,Bumi Citra Permai Tbk.,488,490,487,487,16121200
03/07/2014,BDMN,Bank Danamon Indonesia Tbk.,4350,4365,4285,4345,3293400
03/07/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,86,86,85,85,448300
03/07/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,600,620,590,595,30770100
03/07/2014,BFIN,BFI Finance  Indonesia Tbk.,2100,2100,2100,2100,0
03/07/2014,BHIT,MNC Investama Tbk.,320,327,319,325,19009600
03/07/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
03/07/2014,BINA,Bank Ina Perdana Tbk.,241,241,241,241,100
03/07/2014,BIPI,Benakat Integra Tbk.,105,106,104,105,52622300
03/07/2014,BIPP,Bhuwanatala Indah Permai Tbk.,99,99,96,97,1042352
03/07/2014,BISI,BISI International Tbk.,705,715,695,695,3010800
03/07/2014,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,1060,1065,1040,1040,4876900
03/07/2014,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,472,479,470,472,3112500
03/07/2014,BKDP,Bukit Darmo Property Tbk,70,71,69,69,330100
03/07/2014,BKSL,Sentul City Tbk.,175,176,172,173,120994900
03/07/2014,BKSW,Bank QNB Indonesia Tbk.,425,425,425,425,200
03/07/2014,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
03/07/2014,BMAS,Bank Maspion Indonesia Tbk.,315,315,315,315,0
03/07/2014,BMRI,Bank Mandiri (Persero) Tbk.,9500,9500,9225,9250,17013500
03/07/2014,BMSR,Bintang Mitra Semestaraya Tbk,180,180,180,180,0
03/07/2014,BMTR,Global Mediacom Tbk.,2250,2410,2245,2400,20450400
03/07/2014,BNBA,Bank Bumi Arta Tbk.,170,175,170,175,222500
03/07/2014,BNBR,Bakrie & Brothers Tbk,50,50,50,50,0
03/07/2014,BNGA,Bank CIMB Niaga Tbk.,1000,1005,980,985,1252900
03/07/2014,BNII,Bank Maybank Indonesia Tbk.,316,319,312,313,5864000
03/07/2014,BNLI,Bank Permata Tbk.,1300,1350,1290,1345,258800
03/07/2014,BORN,Borneo Lumbung Energi & Metal Tbk.,145,146,143,143,8264800
03/07/2014,BPFI,Batavia Prosperindo Finance Tbk.,397,397,397,397,0
03/07/2014,BRAM,Indo Kordsa Tbk.,2150,2150,2150,2150,0
03/07/2014,BRAU,Berau Coal Energy Tbk.,175,176,174,174,1448900
03/07/2014,BRMS,Bumi Resources Minerals Tbk.,239,242,234,242,12639300
03/07/2014,BRNA,Berlina Tbk.,492,499,492,499,260700
03/07/2014,BRPT,Barito Pacific Tbk.,353,354,350,350,1091700
03/07/2014,BSDE,Bumi Serpong Damai Tbk.,1580,1620,1570,1620,123816400
03/07/2014,BSIM,Bank Sinarmas Tbk.,245,250,245,250,645100
03/07/2014,BSSR,Baramulti Suksessarana Tbk.,1980,1980,1980,1980,2500
03/07/2014,BSWD,Bank Of India Indonesia Tbk.,2534,2534,2534,2534,0
03/07/2014,BTEK,Bumi Teknokultura Unggul Tbk,1490,1490,1485,1485,4787000
03/07/2014,BTEL,Bakrie Telecom Tbk.,50,50,50,50,0
03/07/2014,BTON,Betonjaya Manunggal Tbk.,620,620,620,620,0
03/07/2014,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,4300,4300,4255,4285,236700
03/07/2014,BUDI,Budi Starch & Sweetener Tbk.,102,103,101,101,622500
03/07/2014,BULL,Buana Listya Tama Tbk.,400,400,400,400,13
03/07/2014,BUMI,Bumi Resources Tbk.,405,411,401,405,67682429
03/07/2014,BUVA,Bukit Uluwatu Villa Tbk.,615,615,610,610,62600
03/07/2014,BVIC,Bank Victoria International Tbk.,129,130,126,129,1401400
03/07/2014,BWPT,Eagle High Plantations Tbk.,1172,1180,1160,1168,41225100
03/07/2014,BYAN,Bayan Resources Tbk.,8500,8500,8500,8500,5000
03/07/2014,CANI,Capitol Nusantara Indonesia Tbk.,264,271,264,271,3141100
03/07/2014,CASS,Cardig Aero Services Tbk.,955,965,950,950,256100
03/07/2014,CEKA,Wilmar Cahaya Indonesia Tbk.,900,900,853,855,230800
03/07/2014,CENT,Centratama Telekomunikasi Indonesia Tbk.,192,197,192,193,633850
03/07/2014,CFIN,Clipan Finance Indonesia Tbk.,430,435,426,435,2113900
03/07/2014,CITA,Cita Mineral Investindo Tbk.,940,940,940,940,0
03/07/2014,CKRA,Cakra Mineral Tbk.,202,207,202,203,43200
03/07/2014,CLPI,Colorpak Indonesia Tbk.,605,610,600,600,28300
03/07/2014,CMNP,Citra Marga Nusaphala Persada Tbk.,2592,2620,2592,2620,395750
03/07/2014,CMPP,Rimau Multi Putra Pratama Tbk.,145,145,145,145,0
03/07/2014,CNKO,Exploitasi Energi Indonesia Tbk.,249,251,247,247,31001500
03/07/2014,CNTB,Saham Seri B ( Centex Tbk ),5000,5000,5000,5000,0
03/07/2014,CNTX,Century Textile Industry Tbk.,6550,6550,6550,6550,0
03/07/2014,COWL,Cowell Development Tbk.,530,545,525,530,31465200
03/07/2014,CPGT,Citra Maharlika Nusantara Corpora Tbk.,258,258,250,257,2221800
03/07/2014,CPIN,Charoen Pokphand Indonesia Tbk,4180,4210,4175,4195,9865100
03/07/2014,CPRO,Central Proteina Prima Tbk.,50,50,50,50,5000
03/07/2014,CSAP,Catur Sentosa Adiprana Tbk.,227,232,221,222,1299000
03/07/2014,CTBN,Citra Tubindo Tbk.,4600,4600,4600,4600,0
03/07/2014,CTRA,Ciputra Development Tbk.,1055,1080,1050,1050,48435900
03/07/2014,CTRP,Ciputra Property Tbk.,825,835,810,825,32499700
03/07/2014,CTRS,Ciputra Surya Tbk.,2195,2205,2125,2155,2404000
03/07/2014,CTTH,Citatah Tbk.,85,85,75,80,559400
03/07/2014,DART,Duta Anggada Realty Tbk.,600,620,595,615,111700
03/07/2014,DAVO,Davomas Abadi Tbk,50,50,50,50,0
03/07/2014,DEFI,Danasupra Erapacific Tbk,1170,1170,1170,1170,0
03/07/2014,DEWA,Darma Henwa Tbk,50,50,50,50,600
03/07/2014,DGIK,Nusa Konstruksi Enjiniring Tbk.,164,171,161,168,15599600
03/07/2014,DILD,Intiland Development Tbk.,396,406,392,400,63655100
03/07/2014,DKFT,Central Omega Resources Tbk.,397,397,397,397,0
03/07/2014,DLTA,Delta Djakarta Tbk.,350000,350000,350000,350000,0
03/07/2014,DNET,Indoritel Makmur Internasional Tbk.,800,805,770,785,771500
03/07/2014,DOID,Delta Dunia Makmur Tbk.,104,104,101,102,13442500
03/07/2014,DPNS,Duta Pertiwi Nusantara Tbk.,406,418,406,412,658300
03/07/2014,DSFI,Dharma Samudera Fishing Industries Tbk.,52,53,52,53,117700
