<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
07/29/2015,AALI,Astra Agro Lestari Tbk.,20650,21450,20575,20700,1471300
07/29/2015,ABBA,Mahaka Media Tbk.,50,50,50,50,10000
07/29/2015,ABDA,Asuransi Bina Dana Arta Tbk.,7725,7725,7725,7725,0
07/29/2015,ABMM,ABM Investama Tbk.,2970,2970,2970,2970,0
07/29/2015,ACES,Ace Hardware Indonesia Tbk.,625,635,620,625,23969400
07/29/2015,ACST,Acset Indonusa Tbk.,4500,4500,4415,4500,232100
07/29/2015,ADES,Akasha Wira International Tbk.,1400,1405,1395,1395,71100
07/29/2015,ADHI,Adhi Karya (Persero) Tbk.,2223,2261,2210,2236,53133381
07/29/2015,ADMF,Adira Dinamika Multi Finance Tbk.,4530,4530,4495,4500,55500
07/29/2015,ADMG,Polychem Indonesia Tbk,114,114,102,102,71600
07/29/2015,ADRO,Adaro Energy Tbk.,600,615,575,590,122011200
07/29/2015,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,90,91,89,90,1836000
07/29/2015,AGRS,Bank Agris Tbk.,91,99,91,91,4000
07/29/2015,AHAP,Asuransi Harta Aman Pratama Tbk.,160,160,160,160,0
07/29/2015,AIMS,Akbar Indo Makmur Stimec Tbk,420,420,420,420,0
07/29/2015,AISA,Tiga Pilar Sejahtera Food Tbk.,2025,2035,2020,2020,1126500
07/29/2015,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
07/29/2015,AKPI,Argha Karya Prima Industry Tbk.,680,680,680,680,0
07/29/2015,AKRA,AKR Corporindo Tbk.,6025,6100,5900,5900,8406900
07/29/2015,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
07/29/2015,ALDO,Alkindo Naratama Tbk.,720,725,720,725,404000
07/29/2015,ALKA,Alakasa Industrindo Tbk,580,580,580,580,0
07/29/2015,ALMI,Alumindo Light Metal Industry Tbk.,251,251,251,251,0
07/29/2015,ALTO,Tri Banyan Tirta Tbk.,337,340,335,335,772400
07/29/2015,AMAG,Asuransi Multi Artha Guna Tbk.,395,395,395,395,0
07/29/2015,AMFG,Asahimas Flat Glass Tbk.,6700,7000,6700,7000,40100
07/29/2015,AMRT,Sumber Alfaria Trijaya Tbk.,605,605,595,600,6753800
07/29/2015,ANJT,Austindo Nusantara Jaya Tbk.,1340,1340,1340,1340,153200
07/29/2015,ANTM,Aneka Tambang (Persero) Tbk.,449,454,441,441,10394430
07/29/2015,APEX,Apexindo Pratama Duta Tbk.,3330,3330,3330,3330,4400
07/29/2015,APIC,Pacific Strategic Financial Tbk.,560,570,560,565,15550000
07/29/2015,APII,Arita Prima Indonesia Tbk.,300,300,300,300,0
07/29/2015,APLI,Asiaplast Industries Tbk.,66,66,63,65,31500
07/29/2015,APLN,Agung Podomoro Land Tbk.,349,356,349,355,6886600
07/29/2015,APOL,Arpeni Pratama Ocean Line Tbk.,58,58,58,58,0
07/29/2015,ARGO,Argo Pantes Tbk,850,850,850,850,0
