<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
12/08/2014,AALI,Astra Agro Lestari Tbk.,24400,24550,23750,23900,1352000
12/08/2014,ABBA,Mahaka Media Tbk.,68,69,66,67,367600
12/08/2014,ABDA,Asuransi Bina Dana Arta Tbk.,6100,6100,6100,6100,0
12/08/2014,ABMM,ABM Investama Tbk.,2550,2650,2550,2650,1300
12/08/2014,ACES,Ace Hardware Indonesia Tbk.,790,790,760,760,31884800
12/08/2014,ACST,Acset Indonusa Tbk.,3400,3400,3350,3385,148000
12/08/2014,ADES,Akasha Wira International Tbk.,1360,1370,1350,1370,329500
12/08/2014,ADHI,Adhi Karya (Persero) Tbk.,2584,2596,2486,2499,61893187
12/08/2014,ADMF,Adira Dinamika Multi Finance Tbk.,7500,7550,7400,7450,29000
12/08/2014,ADMG,Polychem Indonesia Tbk,162,166,162,164,2785600
12/08/2014,ADRO,Adaro Energy Tbk.,1125,1135,1090,1095,32592400
12/08/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,119,120,108,109,6841567
12/08/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,194,194,194,194,0
12/08/2014,AIMS,Akbar Indo Makmur Stimec Tbk,395,395,395,395,100
12/08/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2175,2185,2130,2135,5478000
12/08/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
12/08/2014,AKPI,Argha Karya Prima Industry Tbk.,710,790,710,790,3600
12/08/2014,AKRA,AKR Corporindo Tbk.,4530,4560,4490,4535,7201900
12/08/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
12/08/2014,ALDO,Alkindo Naratama Tbk.,745,745,735,745,1177400
12/08/2014,ALKA,Alakasa Industrindo Tbk,900,900,900,900,0
12/08/2014,ALMI,Alumindo Light Metal Industry Tbk.,248,265,248,255,281300
12/08/2014,ALTO,Tri Banyan Tirta Tbk.,345,360,345,359,502800
