<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
05/30/2016,AALI,Astra Agro Lestari Tbk.,15000,15100,14900,14925,3452400
05/30/2016,ABBA,Mahaka Media Tbk.,50,50,50,50,1800
05/30/2016,ABDA,Asuransi Bina Dana Arta Tbk.,7500,7500,7500,7500,0
05/30/2016,ABMM,ABM Investama Tbk.,2750,2750,2750,2750,0
05/30/2016,ACES,Ace Hardware Indonesia Tbk.,900,920,895,905,4613400
05/30/2016,ACST,Acset Indonusa Tbk.,3570,3680,3570,3600,111700
05/30/2016,ADES,Akasha Wira International Tbk.,1040,1040,1035,1035,600
05/30/2016,ADHI,Adhi Karya (Persero) Tbk.,2560,2620,2560,2580,15136300
05/30/2016,ADMF,Adira Dinamika Multi Finance Tbk.,4330,4340,4250,4320,74700
05/30/2016,ADMG,Polychem Indonesia Tbk,115,116,112,113,1105100
05/30/2016,ADRO,Adaro Energy Tbk.,700,710,695,695,27024600
05/30/2016,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,155,159,153,156,2787000
05/30/2016,AGRS,Bank Agris Tbk.,89,94,88,94,2600
05/30/2016,AHAP,Asuransi Harta Aman Pratama Tbk.,177,177,177,177,0
05/30/2016,AIMS,Akbar Indo Makmur Stimec Tbk,300,300,300,300,0
05/30/2016,AISA,Tiga Pilar Sejahtera Food Tbk.,1350,1405,1350,1395,15727500
05/30/2016,AKKU,Alam Karya Unggul Tbk.,220,220,220,220,400
05/30/2016,AKPI,Argha Karya Prima Industry Tbk.,895,895,895,895,0
05/30/2016,AKRA,AKR Corporindo Tbk.,6100,6375,6050,6300,8867000
05/30/2016,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
05/30/2016,ALDO,Alkindo Naratama Tbk.,730,735,730,730,240000
05/30/2016,ALKA,Alakasa Industrindo Tbk,160,160,160,160,0
05/30/2016,ALMI,Alumindo Light Metal Industry Tbk.,181,181,175,175,1174200
05/30/2016,ALTO,Tri Banyan Tirta Tbk.,326,326,326,326,20000
05/30/2016,AMAG,Asuransi Multi Artha Guna Tbk.,402,402,386,386,30900
05/30/2016,AMFG,Asahimas Flat Glass Tbk.,6650,6650,6625,6625,700
05/30/2016,AMIN,Ateliers Mecaniques D Indonesie Tbk.,120,120,120,120,10000
05/30/2016,AMRT,Sumber Alfaria Trijaya Tbk.,605,605,605,605,100
05/30/2016,ANJT,Austindo Nusantara Jaya Tbk.,1790,1790,1790,1790,200
05/30/2016,ANTM,Aneka Tambang (Persero) Tbk.,670,685,660,670,64263000
05/30/2016,APEX,Apexindo Pratama Duta Tbk.,3230,3230,3230,3230,0
