<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
06/03/2014,AALI,Astra Agro Lestari Tbk.,27000,27200,26825,26850,955000
06/03/2014,ABBA,Mahaka Media Tbk.,80,87,80,85,80000
06/03/2014,ABDA,Asuransi Bina Dana Arta Tbk.,5050,5050,5050,5050,0
06/03/2014,ABMM,ABM Investama Tbk.,3000,3000,3000,3000,0
06/03/2014,ACES,Ace Hardware Indonesia Tbk.,900,910,885,900,8240200
06/03/2014,ACST,Acset Indonusa Tbk.,2375,2375,2300,2370,16200
06/03/2014,ADES,Akasha Wira International Tbk.,1885,1895,1875,1890,18400
06/03/2014,ADHI,Adhi Karya (Persero) Tbk.,2596,2639,2575,2592,25789064
06/03/2014,ADMF,Adira Dinamika Multi Finance Tbk.,11600,11675,11500,11650,18700
06/03/2014,ADMG,Polychem Indonesia Tbk,189,189,186,186,468600
06/03/2014,ADRO,Adaro Energy Tbk.,1290,1290,1245,1275,82437100
06/03/2014,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,107,109,106,107,1711267
06/03/2014,AHAP,Asuransi Harta Aman Pratama Tbk.,180,180,180,180,0
06/03/2014,AIMS,Akbar Indo Makmur Stimec Tbk,366,378,366,378,10100
06/03/2014,AISA,Tiga Pilar Sejahtera Food Tbk.,2585,2610,2555,2555,5268500
06/03/2014,AKKU,Alam Karya Unggul Tbk.,305,305,305,305,0
06/03/2014,AKPI,Argha Karya Prima Industry Tbk.,790,790,790,790,0
06/03/2014,AKRA,AKR Corporindo Tbk.,4300,4365,4270,4360,9164800
06/03/2014,AKSI,Majapahit Inti Corpora Tbk.,125,125,125,125,0
06/03/2014,ALDO,Alkindo Naratama Tbk.,670,675,665,675,1454200
06/03/2014,ALKA,Alakasa Industrindo Tbk,600,600,600,600,0
06/03/2014,ALMI,Alumindo Light Metal Industry Tbk.,331,335,330,335,1200
06/03/2014,ALTO,Tri Banyan Tirta Tbk.,540,540,540,540,0
06/03/2014,AMAG,Asuransi Multi Artha Guna Tbk.,238,240,238,240,131100
06/03/2014,AMFG,Asahimas Flat Glass Tbk.,6950,7075,6925,7075,16100
06/03/2014,AMRT,Sumber Alfaria Trijaya Tbk.,500,505,500,505,233500
06/03/2014,ANJT,Austindo Nusantara Jaya Tbk.,1550,1550,1550,1550,0
06/03/2014,ANTM,Aneka Tambang (Persero) Tbk.,987,1016,983,1008,64104845
06/03/2014,APEX,Apexindo Pratama Duta Tbk.,3895,3895,3880,3885,50000
06/03/2014,APIC,Pacific Strategic Financial Tbk.,515,525,515,525,33660800
06/03/2014,APII,Arita Prima Indonesia Tbk.,261,261,250,250,350000
06/03/2014,APLI,Asiaplast Industries Tbk.,69,69,69,69,0
06/03/2014,APLN,Agung Podomoro Land Tbk.,272,273,268,269,13473000
06/03/2014,APOL,Arpeni Pratama Ocean Line Tbk.,50,50,50,50,20500
06/03/2014,ARGO,Argo Pantes Tbk,1150,1150,1150,1150,0
06/03/2014,ARII,Atlas Resources Tbk.,690,695,690,695,4605000
06/03/2014,ARNA,Arwana Citramulia Tbk.,1005,1005,995,1000,1799100
06/03/2014,ARTA,Arthavest Tbk,237,238,237,238,24800
06/03/2014,ARTI,Ratu Prabu Energi Tbk,207,208,200,206,5614700
06/03/2014,ASBI,Asuransi Bintang Tbk.,499,500,499,500,1100
06/03/2014,ASDM,Asuransi Dayin Mitra Tbk.,810,810,805,805,1300
06/03/2014,ASGR,Astra Graphia Tbk.,2210,2215,2190,2210,441900
06/03/2014,ASIA,Asia Natural Resources Tbk,50,50,50,50,0
06/03/2014,ASII,Astra International Tbk.,7275,7275,7175,7225,24445300
06/03/2014,ASJT,Asuransi Jasa Tania Tbk.,200,200,200,200,0
06/03/2014,ASMI,Asuransi Kresna Mitra Tbk.,478,479,477,477,2283600
06/03/2014,ASRI,Alam Sutera Realty Tbk.,490,499,489,494,19359300
06/03/2014,ASRM,Asuransi Ramayana Tbk.,1260,1350,1240,1300,2100
06/03/2014,ASSA,Adi Sarana Armada Tbk.,294,295,292,293,112900
06/03/2014,ATPK,Bara Jaya Internasional Tbk.,225,230,225,230,50700
06/03/2014,AUTO,Astra Otoparts Tbk.,3775,3785,3760,3785,190900
06/03/2014,BABP,Bank MNC Internasional Tbk.,127,130,119,122,12774587
06/03/2014,BACA,Bank Capital Indonesia Tbk.,100,100,100,100,300
06/03/2014,BAEK,Bank Ekonomi Raharja Tbk.,1600,1600,1600,1600,0
06/03/2014,BAJA,Saranacentral Bajatama Tbk.,1630,1655,1625,1625,12798800
06/03/2014,BALI,Bali Towerindo Sentra Tbk.,554,566,540,544,1507500
06/03/2014,BAPA,Bekasi Asri Pemula Tbk.,50,53,50,52,33500
06/03/2014,BATA,Sepatu Bata Tbk.,970,970,965,965,400
06/03/2014,BAYU,Bayu Buana Tbk,625,625,625,625,0
06/03/2014,BBCA,Bank Central Asia Tbk.,11150,11400,11025,11250,16224400
06/03/2014,BBKP,Bank Bukopin Tbk.,650,655,645,650,4376000
06/03/2014,BBLD,Buana Finance Tbk.,1150,1150,1150,1150,0
06/03/2014,BBMD,Bank Mestika Dharma Tbk.,1545,1555,1535,1540,5511300
06/03/2014,BBNI,Bank Negara Indonesia (Persero) Tbk.,4810,4920,4760,4905,23007800
06/03/2014,BBNP,Bank Nusantara Parahyangan Tbk.,1480,1480,1480,1480,0
06/03/2014,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10350,10375,10250,10350,21077800
06/03/2014,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,137,137,137,137,12305
06/03/2014,BBTN,Bank Tabungan Negara (Persero) Tbk.,1050,1060,1040,1055,10871200
06/03/2014,BCAP,MNC Kapital Indonesia Tbk.,993,993,988,988,273292
06/03/2014,BCIC,Bank JTrust Indonesia Tbk.,50,50,50,50,0
06/03/2014,BCIP,Bumi Citra Permai Tbk.,570,585,570,580,17956300
06/03/2014,BDMN,Bank Danamon Indonesia Tbk.,4190,4315,4170,4310,3687300
06/03/2014,BEKS,Bank Pembangunan Daerah Banten Tbk.,82,82,81,81,219400
06/03/2014,BEST,Bekasi Fajar Industrial Estate Tbk.,499,500,490,490,14270200
06/03/2014,BFIN,BFI Finance  Indonesia Tbk.,2500,2500,2500,2500,206000
06/03/2014,BHIT,MNC Investama Tbk.,318,318,314,316,17119400
06/03/2014,BIMA,Primarindo Asia Infrastructure Tbk.,700,700,700,700,0
06/03/2014,BINA,Bank Ina Perdana Tbk.,263,263,263,263,0
06/03/2014,BIPI,Benakat Integra Tbk.,137,138,135,136,62444300
06/03/2014,BIPP,Bhuwanatala Indah Permai Tbk.,97,98,96,97,2549556
06/03/2014,BISI,BISI International Tbk.,575,575,555,560,735800
06/03/2014,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,865,870,860,860,4830200
06/03/2014,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,428,431,425,431,11617500
06/03/2014,BKDP,Bukit Darmo Property Tbk,70,70,67,68,220000
06/03/2014,BKSL,Sentul City Tbk.,143,143,137,137,112525800
06/03/2014,BKSW,Bank QNB Indonesia Tbk.,409,409,409,409,0
06/03/2014,BLTA,Berlian Laju Tanker Tbk,196,196,196,196,0
06/03/2014,BLTZ,Graha Layar Prima Tbk.,3185,3185,3185,3185,1800
06/03/2014,BMAS,Bank Maspion Indonesia Tbk.,285,299,285,299,6600
06/03/2014,BMRI,Bank Mandiri (Persero) Tbk.,10200,10225,10075,10200,31530900
06/03/2014,BMSR,Bintang Mitra Semestaraya Tbk,160,160,160,160,0
06/03/2014,BMTR,Global Mediacom Tbk.,2020,2040,2015,2040,17820300
06/03/2014,BNBA,Bank Bumi Arta Tbk.,161,161,160,160,20100
