SEKTOR;SUBSEKTOR;KODE_SAHAM
TRADE, SERVICES & INVESTMENT;RESTAURANT, HOTEL AND TOURISM;PNSE
TRADE, SERVICES & INVESTMENT;RESTAURANT, HOTEL AND TOURISM;PUDP
TRADE, SERVICES & INVESTMENT;RESTAURANT, HOTEL AND TOURISM;PSKT
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;EMTK
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;KBLV
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;FORU
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;IDKM
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;JTPE
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;ABBA
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;MNCN
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;LPLI
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;SCMA
TRADE, SERVICES & INVESTMENT;ADVERTISING , PRINTING AND MEDIA;TMPO
TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICE;ASGR
TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICE;CENT
TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICE;DNET
TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICE;ITTG
TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICE;LMAS
TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICE;MTDL
TRADE, SERVICES & INVESTMENT;COMPUTER AND SERVICE;MYOH
TRADE, SERVICES & INVESTMENT;INVESTMENT COMPANY;BNBR
TRADE, SERVICES & INVESTMENT;INVESTMENT COMPANY;BHIT
TRADE, SERVICES & INVESTMENT;INVESTMENT COMPANY;BRMS
TRADE, SERVICES & INVESTMENT;INVESTMENT COMPANY;BMTR
TRADE, SERVICES & INVESTMENT;INVESTMENT COMPANY;MLPL
TRADE, SERVICES & INVESTMENT;INVESTMENT COMPANY;PLAS
TRADE, SERVICES & INVESTMENT;INVESTMENT COMPANY;POOL
TRADE, SERVICES & INVESTMENT;OTHERS;GEMA
TRADE, SERVICES & INVESTMENT;OTHERS;MFMI
FINANCE;BANK;BBKP
FINANCE;INSURANCE;PNLF
AGRICULTURE;PLANTATION;SIMP
