Kode;Nama;Bidang
RIMO;Rimo International Lestari Tbk;Perdagangan
SAME;Sarana Meditama Metropolitan T;Perdagangan
SCMA;Surya Citra Media Tbk.;Perdagangan
SDPC;Millennium Pharmacon Internati;Perdagangan
SHID;Hotel Sahid Jaya International;Perdagangan
SILO;Siloam International Hospitals;Perdagangan
SKYB;Skybee Tbk.;Perdagangan
SONA;Sona Topas Tourism Industry Tb;Perdagangan
SQMI;Renuka Coalindo Tbk.;Perdagangan
SRAJ;Sejahteraraya Anugrahjaya Tbk.;Perdagangan
SRTG;Saratoga Investama Sedaya Tbk.;Perdagangan
SUGI;Sugih Energy Tbk.;Perdagangan
TELE;Tiphone Mobile Indonesia Tbk.;Perdagangan
TGKA;Tigaraksa Satria Tbk.;Perdagangan
TIRA;Tira Austenite Tbk;Perdagangan
TMPI;Sigmagold Inti Perkasa Tbk.;Perdagangan
TMPO;Tempo Intimedia Tbk.;Perdagangan
TRIL;Triwira Insanlestari Tbk.;Perdagangan
TRIO;Trikomsel Oke Tbk.;Perdagangan
TURI;Tunas Ridean Tbk.;Perdagangan
UNTR;United Tractors Tbk.;Perdagangan
VIVA;Visi Media Asia Tbk.;Perdagangan
WAPO;Wahana Pronatural Tbk.;Perdagangan
WICO;Wicaksana Overseas Internation;Perdagangan
