Kode,Nama
KDSI,Kedawung Setia Industrial Tbk.
KIAS,Keramika Indonesia Assosiasi Tbk.
KICI,Kedaung Indah Can Tbk.
KIJA,Kawasan Industri Jababeka Tbk.
KINO,Kino Indonesia Tbk.
KKGI,Resource Alam Indonesia Tbk.
KLBF,Kalbe Farma Tbk.
KOBX,Kobexindo Tractors Tbk.
KOIN,Kokoh Inti Arebama Tbk.
KPIG,MNC Land Tbk.
KRAS,Krakatau Steel (Persero) Tbk.
LAMI,Lamicitra Nusantara Tbk.
LAPD,Leyand International Tbk.
LINK,Link Net Tbk.
LION,Lion Metal Works Tbk.
LMPI,Langgeng Makmur Industri Tbk.
LMSH,Lionmesh Prima Tbk.
LPCK,Lippo Cikarang Tbk.
LPKR,Lippo Karawaci Tbk.
LPPF,Matahari Department Store Tbk.
LRNA,Eka Sari Lorena Transport Tbk.
LSIP,PP London Sumatra Indonesia Tbk.
LTLS,Lautan Luas Tbk.
MAMI,Mas Murni Indonesia Tbk.
MAPI,Mitra Adiperkasa Tbk.
MASA,Multistrada Arah Sarana Tbk.
MBAP,Mitrabara Adiperdana Tbk.
MBSS,Mitrabahtera Segara Sejati Tbk.
MBTO,Martina Berto Tbk.
MDIA,Intermedia Capital Tbk.
MDLN,Modernland Realty Tbk.
MERK,Merck Tbk.
META,Nusantara Infrastructure Tbk.
MFMI,Multifiling Mitra Indonesia Tbk.
MICE,Multi Indocitra Tbk.
MIKA,Mitra Keluarga Karyasehat Tbk.
MIRA,Mitra International Resources Tbk.
MITI,Mitra Investindo Tbk.
MKNT,Mitra Komunikasi Nusantara Tbk.
MKPI,Metropolitan Kentjana Tbk.
MLPL,Multipolar Tbk.
MLPT,Multipolar Technology Tbk.
MPPA,Matahari Putra Prima Tbk.
MRAT,Mustika Ratu Tbk.
MTDL,Metrodata Electronics Tbk.
MTLA,Metropolitan Land Tbk.
MTRA,Mitra Pemuda Tbk.
MTSM,Metro Realty Tbk.
MYOH,Samindo Resources Tbk.
MYOR,Mayora Indah Tbk.
NELY,Pelayaran Nelly Dwi Putri Tbk.
NIKL,Pelat Timah Nusantara Tbk.
NIPS,Nipress Tbk.
NIRO,Nirvana Development Tbk.
NRCA,Nusa Raya Cipta Tbk.
OMRE,Indonesia Prima Property Tbk.
PBRX,Pan Brothers Tbk.
PDES,Destinasi Tirta Nusantara Tbk.
PGAS,Perusahaan Gas Negara (Persero) Tbk.
PGLI,Pembangunan Graha Lestari Indah Tbk.
PICO,Pelangi Indah Canindo Tbk.
PJAA,Pembangunan Jaya Ancol Tbk.
PLIN,Plaza Indonesia Realty Tbk.
PNBS,Bank Panin Syariah Tbk.
PNSE,Pudjiadi & Sons Tbk.
PPRO,PP Properti Tbk.
PRAS,Prima Alloy Steel Universal Tbk.
PSAB,J Resources Asia Pasifik Tbk.
PSDN,Prasidha Aneka Niaga Tbk.
PSKT,Red Planet Indonesia Tbk.
PTBA,Tambang Batubara Bukit Asam (Persero) Tbk.
PTPP,PP (Persero) Tbk.
PTRO,Petrosea Tbk.
PTSN,Sat Nusapersada Tbk.
PTSP,Pioneerindo Gourmet International Tbk.
PUDP,Pudjiadi Prestige Tbk.
PWON,Pakuwon Jati Tbk.
PYFA,Pyridam Farma Tbk.
RAJA,Rukun Raharja Tbk.
RALS,Ramayana Lestari Sentosa Tbk.
RANC,Supra Boga Lestari Tbk.
RDTX,Roda Vivatex Tbk.
RICY,Ricky Putra Globalindo Tbk.
RIGS,Rig Tenders Indonesia Tbk.
RIMO,Rimo International Lestari Tbk.
RODA,Pikko Land Development Tbk.
ROTI,Nippon Indosari Corpindo Tbk.
SAME,Sarana Meditama Metropolitan Tbk.
SCBD,Danayasa Arthatama Tbk.
SCCO,Supreme Cable Manufacturing & Commerce Tbk.
SCMA,Surya Citra Media Tbk.
SDMU,Sidomulyo Selaras Tbk.
SDPC,Millennium Pharmacon International Tbk.
SGRO,Sampoerna Agro Tbk.
SHID,Hotel Sahid Jaya International Tbk.
SHIP,Sillo Maritime Perdana Tbk.
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.
SILO,Siloam International Hospitals Tbk.
SIMP,Salim Ivomas Pratama Tbk.
SKBM,Sekar Bumi Tbk.
SKLT,Sekar Laut Tbk.
SMBR,Semen Baturaja (Persero) Tbk.
SMCB,Holcim Indonesia Tbk.
SMDM,Suryamas Dutamakmur Tbk.
SMDR,Samudera Indonesia Tbk.
SMGR,Semen Indonesia (Persero) Tbk.
SMRA,Summarecon Agung Tbk.
SMRU,SMR Utama Tbk.
SMSM,Selamat Sempurna Tbk.
SOBI,Sorini Agro Asia Corporindo Tbk.
SOCI,Soechi Lines Tbk.
SONA,Sona Topas Tourism Industry Tbk.
SQBB,Taisho Pharmaceutical Indonesia Tbk.
SQMI,Renuka Coalindo Tbk.
SRAJ,Sejahteraraya Anugrahjaya Tbk.
SRSN,Indo Acidatama Tbk.
SRTG,Saratoga Investama Sedaya Tbk.
SSIA,Surya Semesta Internusa Tbk.
SSMS,Sawit Sumbermas Sarana Tbk.
SSTM,Sunson Textile Manufacturer Tbk.
STAR,Star Petrochem Tbk.
STTP,Siantar Top Tbk.
TARA,Sitara Propertindo Tbk.
TBMS,Tembaga Mulia Semanan Tbk.
TCID,Mandom Indonesia Tbk.
TFCO,Tifico Fiber Indonesia Tbk.
TGKA,Tigaraksa Satria Tbk.
TINS,Timah (Persero) Tbk.
TIRA,Tira Austenite Tbk.
